row,u,x,A0prime,local_rank,max_scaled_projection_residual,l2_scaled_projection_residual,smallest_retained_singular
947,0.7133821428571429,1.401773243152588,0.2331003545777721,4,0.033094614966809995,0.03309853424497309,1.1319786626852912e-09
948,0.7133857142857143,1.4017662254440597,0.2314719364654916,4,0.03320284305089826,0.03320678936003943,7.755755781700456e-10
949,0.7133892857142857,1.4017592078057963,0.229847465121754,4,0.033310806709974404,0.03331478034944261,1.2324052055857575e-09
950,0.7133928571428572,1.4017521902377972,0.228226968031385,4,0.03341850011586874,0.03342250148348436,1.7779062464547706e-09
951,0.7133964285714285,1.4017451727400616,0.2266104727396428,4,0.03352591419078228,0.033529943647679826,8.768420405775842e-10
952,0.7133999999999999,1.4017381553125878,0.2249980068502249,4,0.03363303690771018,0.03363709481249121,1.027698116742178e-09
953,0.7134035714285714,1.401731137955375,0.2233895980237464,4,0.03373985709021416,0.03374394384120659,1.8042137797418578e-09
954,0.7134071428571428,1.4017241206684223,0.2217852739756801,4,0.03384637958644422,0.03385049555333151,1.1495889012610207e-09
955,0.7134107142857142,1.4017171034517284,0.2201850624745154,4,0.03395260882297178,0.03395675440306149,6.476118897752586e-10
956,0.7134142857142857,1.4017100863052925,0.2185889913398304,4,0.03405855518265704,0.03406273076770133,9.294979597102938e-10
957,0.7134178571428571,1.4017030692291137,0.2169970884403314,4,0.03416422783750402,0.03416843382826845,9.394200645792898e-10
958,0.7134214285714285,1.40169605222319,0.2154093816918547,4,0.03426963418343387,0.03427387097322709,2.34355633338126e-10
959,0.713425,1.4016890352875215,0.213825899055337,4,0.03437477827233826,0.03437904631671612,1.4490560855722725e-09
960,0.7134285714285714,1.4016820184221066,0.2122466685347465,4,0.03447963864899657,0.034483938363470946,1.1529023536750426e-09
961,0.7134321428571428,1.401675001626944,0.2106717181749831,4,0.03458420163706512,0.03458853341447101,9.666705066693388e-11
962,0.7134357142857143,1.4016679849020337,0.2091010760597368,4,0.0346884675832576,0.0346928319317502,2.5524210747434444e-10
963,0.7134392857142857,1.401660968247373,0.2075347703093176,4,0.03479244042040587,0.034796837749747525,1.2328437535492737e-10
964,0.7134428571428572,1.4016539516629622,0.2059728290784436,4,0.03489612491076309,0.03490055566284515,5.68816946284402e-10
965,0.7134464285714286,1.4016469351488,0.204415280553995,4,0.03499952485589199,0.03500398948707843,1.488294248531548e-09
966,0.7134499999999999,1.401639918704885,0.2028621529527806,4,0.03510264095608703,0.035107139951997254,1.3553820640147401e-09
