r_over_rs,u,photon_sphere_factor_rfprime_minus_2f,control_rank,sigma_max_normalized,sigma_min_normalized,sigma_ratio_normalized,dc2_dG2XX
1.7492847077194646,0.5716622317608298,-0.35148157822578247,5,2.272050854808622,0.17595603809063504,0.07744370585642374,0.044264895017443726
1.749365665915069,0.5716357760325163,-0.3515587268423367,5,2.272044635019339,0.17598878788388594,0.07745833209935507,0.044248478193217755
1.7494466241106732,0.5716093227527576,-0.3516358541935448,5,2.2720384197182266,0.176021523999351,0.07747295224927614,0.044232071051677334
1.7495275823062777,0.5715828719212139,-0.3517129602809226,5,2.2720322024346986,0.17605424488748414,0.07748756584472054,0.044215673588861845
1.7496085405018815,0.5715564235375453,-0.351790045114983,5,2.272025991960013,0.1760869526623255,0.07750217351625464,0.04419928579778042
1.749689498697486,0.571529977601412,-0.3518671087024499,5,2.2720197810946017,0.17611964560217744,0.07751677475155055,0.0441829076693739
1.7497704568930903,0.5715035341124743,-0.35194415105040044,5,2.2720135739785015,0.17615232470447073,0.07753136984829367,0.04416653919858648
1.7498514150886948,0.5714770930703925,-0.3520211721809183,5,2.272007368911289,0.1761849895750765,0.07754595869092698,0.044150180377176225
1.749932373284299,0.571450654474827,-0.35209817208356436,5,2.2720011651089336,0.17621764001980358,0.07756054122065321,0.04413383120016381
1.7500133314799031,0.5714242183254383,-0.35217515077843536,5,2.271994966735587,0.17625027705074953,0.07757511774068178,0.044117491658141904
1.7500942896755076,0.571397784621887,-0.3522521082818883,5,2.271988767666792,0.17628289920781154,0.07758968781735855,0.04410116174428249
1.750175247871112,0.5713713533638335,-0.3523290445911871,5,2.2719825726784357,0.17631550763647108,0.07760425179169093,0.044084841453530615
1.7502562060667162,0.5713449245509387,-0.3524059597193531,5,2.271976380332311,0.17634810199964213,0.07761880956431798,0.04406853077645565
1.7503371642623209,0.5713184981828628,-0.35248285367095644,5,2.2719701875154255,0.17638068155233788,0.0776333609136059,0.04405222970961852
1.750418122457925,0.5712920742592672,-0.35255972646018824,5,2.2719640023197525,0.17641324824836296,0.07764790642291824,0.04403593824302954
1.7504990806535292,0.5712656527798124,-0.3526365780999245,5,2.2719578143659698,0.17644579960078635,0.07766244535223762,0.04401965636972299
1.7505800388491335,0.5712392337441595,-0.3527134085923662,5,2.2719516318266226,0.17647833757629205,0.07767697828778403,0.04400338408563909
1.7506609970447378,0.5712128171519693,-0.3527902179478166,5,2.2719454510444232,0.17651086130197643,0.07769150497025958,0.0439871213807778
1.750741955240342,0.5711864030029028,-0.3528670061786512,5,2.2719392728325167,0.17654337098127917,0.07770602546131242,0.0439708682488924
1.7508229134359463,0.5711599912966212,-0.3529437732948229,5,2.2719330959948936,0.1765758663327439,0.07772053967787297,0.04395462468424997
1.7509038716315506,0.5711335820327855,-0.35302051929950745,5,2.271926923710806,0.17660834812396387,0.07773504784894408,0.043938390678500666
1.7509848298271549,0.5711071752110571,-0.35309724420740596,5,2.271920751690956,0.1766408153315008,0.07774954967070473,0.04392216622477145
1.7510657880227591,0.5710807708310972,-0.35317394802271646,5,2.271914582699334,0.17667326862380034,0.07776404534271232,0.04390595131821121
1.7511467462183636,0.5710543688925671,-0.35325063075534924,5,2.2719084164085928,0.17670570792844967,0.07777853484419238,0.04388974595075055
1.751227704413968,0.5710279693951282,-0.3533272924159811,5,2.271902252901829,0.176738133272317,0.07779301818402395,0.04387355011464756
1.7513086626095722,0.5710015723384422,-0.3534039330181876,5,2.271896091486909,0.17677054449719448,0.07780749531617083,0.04385736380297312
1.7513896208051765,0.5709751777221702,-0.35348055256406113,5,2.2718899315925802,0.17680294146690834,0.07782196620017177,0.043841187010481834
1.7514705790007807,0.5709487855459742,-0.35355715105780133,5,2.2718837754302434,0.1768353247176867,0.07783643099621067,0.04382501972975623
1.751551537196385,0.5709223958095156,-0.3536337285287192,5,2.2718776219098986,0.1768676940047939,0.07785088963379401,0.04380886195189263
1.7516324953919893,0.5708960085124561,-0.3537102849720298,5,2.2718714691998976,0.17690004888373342,0.07786534197994646,0.043792713671878765
1.7517134535875938,0.5708696236544577,-0.35378682039017195,5,2.2718653201757837,0.17693239005027747,0.07787978824228342,0.043776574883318944
1.751794411783198,0.570843241235182,-0.35386333480031257,5,2.2718591730663857,0.1769647170876821,0.07789422829797515,0.04376044557835563
1.7518753699788023,0.5708168612542912,-0.3539398282155942,5,2.2718530290095784,0.17699703027905772,0.07790866223253012,0.04374432574997646
1.7519563281744066,0.5707904837114469,-0.3540163006442004,5,2.271846886750887,0.17702932932672297,0.07792308995783774,0.0437282153913315
1.7520372863700109,0.5707641086063114,-0.35409275208444924,5,2.271840746234883,0.17706161421659938,0.07793751146951794,0.04371211449732736
1.7521182445656152,0.5707377359385467,-0.35416918255068924,5,2.2718346097445927,0.17709388550948324,0.07795192693599853,0.04369602305989938
1.7521992027612194,0.5707113657078149,-0.3542455920570757,5,2.2718284753318723,0.1771261427435158,0.07796633622071356,0.04367994107054019
1.7522801609568237,0.5706849979137782,-0.3543219806133217,5,2.2718223421852803,0.17715838572866952,0.07798073926778083,0.04366386852443927
1.752361119152428,0.570658632556099,-0.35439834822188243,5,2.2718162123502084,0.1771906149614602,0.07799513622545874,0.04364780541514052
1.7524420773480325,0.5706322696344397,-0.3544746948902831,5,2.2718100847997746,0.17722283019846716,0.0780095270217478,0.04363175173483038
1.7525230355436368,0.5706059091484624,-0.3545510206369833,5,2.271803959965751,0.17725503155572842,0.07802391169280322,0.04361570747649706
1.752603993739241,0.5705795510978299,-0.3546273254649342,5,2.271797837244626,0.1772872188893593,0.07803829019591989,0.04359967263336428
1.7526849519348453,0.5705531954822045,-0.35470360937857986,5,2.2717917162083126,0.17731939209871542,0.07805266250141396,0.04358364720004924
