u,x,phi,f,h,phiprime,A0prime,X,f2phi,f2X,f2F,f2Y,f3,f3X,f3XX,f4,f4X,f4XX,f4XXX,tf4,f2XX,f2XF,f2XY,f2FF,f2FY,f2YY
0.714525,1.399531157062384,0.8596083440065364,0.2891725253007612,0.4090406441062277,-1.2443983244023362,0.0001133208825462,-0.3167052795608563,0.4606580501829115,-0.0182608067488701,630159.0045377959,497433.29613150447,-0.0005629557602417,-0.0033397185575371,22449117.25026817,-0.0003889411173842,0.0001467620309224,1.783567378392017,123869817.43734804,0.0,-8.394524049649366e-05,-2010902.1465717093,-16709.97771115924,7756756.442502305,9267036.10011387,7435797.954800535
0.7145214285714285,1.3995381524097048,0.8595996389033715,0.2891752326389477,0.4090239636593371,-1.2444282460208071,0.0001226885670397,-0.3167075944479179,0.4912853966534302,-0.021322072347430374,628302.770175563,495964.4014719253,-0.000609291876943,-0.0036135778243553,22366884.36141987,-0.0004209504172207,0.0001588485406646,1.832868184215013,123409294.40838468,0.0,-7.384438747575209e-05,-2004352.6981792282,-16177.95895077776,7784191.9725197945,9118357.864903674,7311681.026611175
0.7145178571428571,1.3995451478269565,0.8595909335039825,0.2891779401072847,0.4090072846371499,-1.2444581399406847,0.0001326762619894,-0.316709895463804,0.5234003462149435,-0.024840614615929072,626450.3358422556,494498.54955593863,-0.0006586755888105,-0.0039053503332282,22280266.677435167,-0.0004550646366876,0.000171730639945,1.8800877975527182,122924854.28202029,0.0,-6.282867420435318e-05,-1997833.8233473082,-15660.47039862406,7804560.484267324,8970418.657474512,7188400.644961071
0.7145142857142857,1.3995521433141396,0.8595822278085017,0.2891806477057355,0.4089906070405724,-1.2444880164851089,0.0001433139574517,-0.3167121878643516,0.5570420766072054,-0.02887602748169639,624601.708336106,493035.737308935,-0.0007112527441229,-0.0042158852305717,22189379.868218947,-0.0004913844782263,0.0001854464550824,1.9252655507224317,122417130.22457857,0.0,-5.087077037656713e-05,-1991345.2068458376,-15157.272857798715,7818038.0000952035,8823237.675681168,7065967.146905946
0.7145107142857142,1.3995591388712556,0.8595735218170611,0.2891833554342634,0.4089739308705108,-1.244517872166733,0.0001546324702603,-0.3167144698758481,0.5922516890355362,-0.03349447689044821,622756.8805092341,491575.96165630507,-0.0007671731054712,-0.004546053889288,22094339.603676062,-0.0005300133444994,0.0002000351391257,1.9684407760414528,121886755.40238312,0.0,-3.794334568666465e-05,-1984886.5334447047,-14668.127131402285,7824800.542353745,8676834.117378417,6944390.869501518
0.7145071428571428,1.3995661344983057,0.8595648155297931,0.2891860632928317,0.4089572561278715,-1.2445477105443392,0.0001666634408726,-0.3167167433109468,0.6290708035408508,-0.03876928411636254,620915.852285349,490119.2195234393,-0.0008265903282808,-0.0048967497506011,21995261.5537114,-0.0005710573233874,0.000215536866431,2.0096528058270806,121334362.9817576,0.0,-2.4019069828915997e-05,-1978457.487913797,-14192.79402253534,7825024.133393258,8531227.18042104,6823682.149803512
0.7145035714285713,1.3995731301952905,0.8595561089468298,0.2891887712814038,0.4089405828135606,-1.2445775209920722,0.000179439329395,-0.3167190027627908,0.6675368404442377,-0.04478154585832288,619078.6094334283,488665.5078357282,-0.0008896619353505,-0.005268888142697,21892261.38822982,-0.0006146251702309,0.0002319928261956,2.048940972396613,120760586.12902562,0.0,-9.070612497591931e-06,-1972057.7550230022,-13731.034334298438,7818884.795564055,8386436.062663812,6703851.324867644
0.7144999999999999,1.3995801259622116,0.8595474020682674,0.2891914793999541,0.4089239109282194,-1.244607357717661,0.0001929934107997,-0.3167212758217158,0.7076858418518385,-0.05162079497058704,617245.2021540984,487214.82351856213,-0.0009565492863267,-0.0056634060658558,21785454.77713619,-0.0006608282866514,0.0002494452147086,2.0863446080673507,120166058.01051085,0.0,6.929356613037285e-06,-1965687.019542208,-13282.608869792151,7806558.551216447,8242479.961961512,6584908.731749637
0.7144964285714286,1.3995871217990692,0.859538694893722,0.2891941876486074,0.4089072404689318,-1.2446372360910407,0.0002073597693535,-0.3167235703072967,0.7495654134432065,-0.05938569744700971,615415.6415919081,485767.16349737695,-0.0010274175228024,-0.0060812617644922,21674957.39033888,-0.0007097806839306,0.0002679372220807,2.1219030451555145,119551411.7925563,0.0,2.400816780815323e-05,-1959344.9662414999,-12847.278432130377,7788221.422701409,8099378.076173357,6466864.707508867
0.7144928571428572,1.3995941177058653,0.8595299874231558,0.2891968960273803,0.4088905714353509,-1.2446670977464187,0.0002225732922735,-0.3167258565140557,0.7932158505054135,-0.06818479146157283,613589.866014455,484322.5246974729,-0.0011024355466372,-0.0065234346225555,21560884.897735883,-0.0007615989667768,0.0002875130264026,2.155655615980614,118917280.64144742,0.0,4.2193151394546484e-05,-1953031.27989037,-12424.803824386618,7764049.432368105,7957149.603145223,6349729.589193714
