u,x,cminus,cplus,c55,c56,disc,cV,delta_c4,delta_c5,delta_d3,delta_e4,delta_v13,delta_v5,delta_a9
0.689688672168042,1.4499295701877948,67.73954203695348,5759.16370867218,5826.903250709133,390123.11214129656,32392309.04455948,0.20280789032418942,14.482219195606575,-14.917533881290975,96.73092508096998,-103.199426026516,136.65167371168758,-463.1698940503462,17.065603389305537
0.689662415603901,1.449984771352739,67.75473279975904,5643.073435574366,5710.828168374125,382344.9327967605,31084178.637508325,0.20308001213252816,14.468887046523273,-14.876172124032427,96.76374790652392,-103.26890908056308,136.51363297985773,-462.65244060208914,17.019651303888445
0.6896361590397599,1.4500399767210386,67.83530367541061,5575.965820810499,5643.80112448591,378247.3347383907,30339501.79379486,0.20335210579674584,14.455723394029253,-14.835614482384607,96.8020488140587,-103.33847526301496,136.38899957739645,-462.1466062850042,16.973696399470143
0.6896099024756188,1.450095186293174,67.90938788936046,5619.731391679385,5687.6407795687455,381632.51891157066,30822727.561767086,0.20362409548433272,14.442732558203367,-14.795872830979896,96.84589907482348,-103.40813893402611,136.27793912641272,-461.6525974821888,16.92774249983391
0.6895836459114778,1.4501504000696248,67.947757833369,5650.38120495574,5718.328962789109,383930.7337805519,31163563.19155056,0.20389606240146807,14.429917797958801,-14.756956048561044,96.89535281653671,-103.47791140240315,136.18057655476036,-461.1705696295588,16.88179240115922
0.6895573893473368,1.4502056180508716,67.99777554356751,5623.298678722989,5691.296454266557,382371.801370246,30861368.124866094,0.20416805711750247,14.41728135530627,-14.718870142119451,96.95044771967576,-103.54780104950562,136.09699775680951,-460.70062932516817,16.835847916785703
0.6895311327831958,1.4502608402373949,68.06176172016058,5607.9491709017475,5676.010932621908,381686.9002086866,30690352.506408677,0.2044400730733113,14.404824502858219,-14.681618380144785,97.01120576512679,-103.61781346226411,136.0272513765967,-460.24283659332104,16.7899099252194
0.6895048762190548,1.4503160666296744,68.13817720108045,5579.87945398079,5648.0176311818705,380202.81499601057,30379291.902157225,0.2047121113021684,14.392547593722433,-14.645201432585996,97.07763401960158,-103.68795157290877,135.97135068099468,-459.7972072627142,16.743978420538596
0.6894786196549137,1.4503712972281912,68.22355874092,5597.551314569513,5665.774873310434,381884.87091484683,30573465.431376472,0.20498416834574812,14.380450113035215,-14.609617515409932,97.14972544682436,-103.75821580328261,135.92927549436016,-459.3637154226948,16.698052564459992
0.6894523630907726,1.4504265320334264,68.26428269449434,5668.202543632688,5736.4668263271815,386935.78080819244,31359308.526319474,0.20525627436226507,14.36853073047798,-14.574862537908423,97.22745973400123,-103.82860421187968,135.90097416970355,-458.9422959262169,16.652130739417736
0.6894261065266316,1.4504817710458595,68.29895149195772,5620.722124803826,5689.021076295783,383889.42775174964,30829403.095530633,0.20552854802665219,14.356787353210024,-14.540930251154382,97.31080412449046,-103.8991126419986,135.8863655747778,-458.5328469123229,16.606210602096567
0.6893998499624906,1.4505370142659717,68.4180978696645,5484.808686208726,5553.22678407839,375260.17748941475,29337287.005447954,0.20580093884526512,14.345217178730191,-14.507812396233488,97.39971424889585,-103.96973486963621,135.88534107456786,-458.1352323248229,16.560289136936845
0.6893735933983496,1.450592261694244,68.62110016703582,5366.594363666976,5435.215463834013,368261.6093850412,28068520.700760216,0.20607330383043554,14.333816747256394,-14.475498851092292,97.4941349479802,-104.04046274994683,135.89776649448905,-457.74928440746675,16.514362709209323
0.6893473368342086,1.4506475133311567,68.8998452980577,5258.580031014525,5327.479876312583,362315.3506243564,26932780.430018105,0.20634551018032674,14.32258199327729,-14.443977775027896,97.59400108187901,-104.1112863612929,135.92348405115172,-457.37480615905844,16.468427117317372
0.6893210802700674,1.4507027691771917,69.26580008924748,5114.5448334469875,5183.8106335362345,354263.039981033,25454840.524439204,0.2066174227475817,14.311508295991882,-14.413235750017472,97.6992383210543,-104.18219414607796,135.96231423984736,-457.0115737348856,16.422477644047923
0.6892948237059264,1.4507580292328288,69.73003397217781,5010.5818759035465,5080.311909875724,349388.0444271318,24412016.9239166,0.20688889094808577,14.300590528406754,-14.383257918237746,97.80976391528638,-104.2531730477054,136.0140576699587,-456.6593387834238,16.376509106545875
0.6892685671417854,1.4508132934985498,70.18579629180113,5106.44547944188,5176.631275733681,358399.9421952964,25363911.59612293,0.20715978475558464,14.289823104907327,-14.354028115256284,97.92548743777269,-104.32420864314724,136.07849684130943,-456.31783070951883,16.330515904829976
0.6892423105776444,1.4508685619748356,70.5244183664795,5296.33733839846,5366.86175676494,373521.1102632191,27309120.67517318,0.20743025215659505,14.279200027163238,-14.325528998499346,98.04631150205701,-104.3952852707158,136.1553978560609,-455.986758857322,16.284492068716524
0.6892160540135034,1.4509238346621676,70.7538958289847,5453.841752666665,5524.5956484956505,385880.55123594607,28977634.874433294,0.20770053225130403,14.268714928263059,-14.297742170699998,98.1721324501141,-104.46638615274534,136.24451206216227,-455.66581460795356,16.238431303046962
0.6891897974493624,1.450979111561027,70.87446156292526,5631.950255280284,5702.82471684321,399161.4418921706,30925563.983469155,0.20797085814855928,14.258361115006222,-14.270648298122302,98.30284101041201,-104.53749351297445,136.34557762556443,-455.3546733884207,16.192327031150782
0.6891635408852212,1.4510343926718954,70.87202014482091,5794.767021043479,5865.6390411883,410686.8450499356,32762973.98131266,0.2082414664518963,14.248131608307297,-14.244227223434052,98.43832292521722,-104.60858868849961,136.4583210294531,-455.05299658962633,16.146172436501104
0.6891372843210802,1.4510896779952538,70.83523559144533,5762.07009638911,5832.905331980555,408157.59277214564,32390154.24075861,0.20851258391826516,14.238019181691438,-14.218458073167227,98.57845954677636,-104.67965223623558,136.5824584996432,-454.76043339243154,16.099960502544793
0.6891110277569392,1.451144967531584,70.89659562135557,5605.314251036394,5676.210846657749,397397.69778635015,30629778.784569684,0.20878419381248572,14.228016397878898,-14.193319359759244,98.72312840233786,-104.75066403387888,136.71769735604195,-454.47662250166286,16.053684050704984
0.6890847711927982,1.4512002612813673,71.04067468802077,5506.909044769515,5577.949719457536,391214.5339859895,29548664.936852448,0.20905611511752045,14.218115643474707,-14.168789078218932,98.87220372822392,-104.82160337540927,136.86373729070516,-454.201193788799,16.007335776576912
0.6890585146286572,1.4512555592450858,71.23995283744716,5424.935222118293,5496.17517495574,386472.1293699128,28662053.036320105,0.20932824905328415,14.208309161792023,-14.144844797496571,99.02555697340311,-104.89244906121245,137.02027157355602,-453.93376984469506,15.96090828434531
0.6890322580645161,1.451310861423221,71.51002278039141,5318.516410070992,5390.026432851383,380327.2296420629,27531076.028268352,0.20960048371710302,14.198589083849999,-14.12146374667168,99.18305727318678,-104.9631794829349,137.18698818726057,-453.6739674442721,15.914394119466671
0.689006001500375,1.4513661678162548,71.85264903043662,5232.663934805604,5304.516583836041,375980.76520180976,26633973.127384342,0.20987271047300896,14.188947457596186,-14.098622896098103,99.3445718938166,-105.03377270320631,137.3635708930991,-453.42139892554076,15.867785799668946
0.688979744936234,1.4514214784246688,72.21451105916594,5258.838194635697,5331.052705694862,379764.42896488286,26901065.23503698,0.21014482309819288,14.17937627541001,-14.076299033664796,99.50996664884205,-105.10420653039301,137.54970022996886,-453.17567348565814,15.82107584432469
0.688953488372093,1.4514767932489452,72.533507459259,5320.820719821755,5393.354227281015,385937.78937057155,27544518.663447704,0.21041686381630914,14.169867499951145,-14.054468836350098,99.67910628825277,-105.17445858855072,137.74505444884196,-452.93639839702956,15.774256802266247
0.688927231807952,1.451532112289566,72.84984862149349,5309.593464915961,5382.443313537455,386803.08016079897,27423483.702800862,0.21068891569567724,14.160413088419128,-14.033108937255673,99.85185486142173,-105.24450638276753,137.94931038518567,-452.70318014662365,15.72732127810879
0.6889009752438109,1.4515874355470133,73.18350325518395,5303.396404456049,5376.579907711233,388121.12802903994,27355126.991887975,0.21096097246546444,14.151005015294825,-14.012195988317144,100.0280760549503,-105.31432736009077,138.16214427195774,-452.47562550184995,15.680261957154432
0.6888747186796699,1.4516427630217692,73.52210200974696,5291.510442280851,5365.032544290598,389042.9705230139,27227402.31920519,0.2112330358330773,14.141635293635948,-13.991706718893555,100.20763350653512,-105.38389896623619,138.38323249585582,-452.25334250642595,15.633071628952173
0.6888484621155289,1.451698094714316,73.87751186545847,5294.556864154672,5368.434376020131,391148.6875539311,27255492.899418928,0.21150510731673838,14.132295994999367,-13.971617990439327,100.39039109601049,-105.45319869828805,138.6122522995636,-452.03594140970654,15.585743209586006
0.6888222055513878,1.451753430625136,74.19599003890971,5382.326850879928,5456.5228409188385,399347.0694140433,28176253.23581282,0.21177718800528458,14.122979268064736,-13.951906847466518,100.57621321469821,-105.52220415358849,138.84888243271516,-451.82303553299323,15.538269762770852
0.6887959489872468,1.4518087707547118,74.47711436304735,5389.972614706738,5464.449729069785,401429.60683920566,28254492.414174017,0.21204939740008397,14.113677356031982,-13.93255056500092,100.76496501421647,-105.59089307502335,139.0928037543167,-451.61424207629113,15.490644519828454
0.6887696924231057,1.451864115103526,74.82529318328898,5275.180711591567,5350.006004774857,394716.943339671,27043696.47776834,0.21232174523027425,14.104382612865685,-13.913526692735482,100.95651263587354,-105.65924339290551,139.34369978931954,-451.4091828689669,15.442860898619228
0.6887434358589647,1.4519194636720605,75.2641437632924,5159.89956485151,5235.163708614803,388355.42265313317,25853517.365384966,0.21259409041112456,14.095087518457687,-13.894813096080757,101.15072342174946,-105.72723326365066,139.60125724198602,-451.2074850677001,15.39491252150443
0.6887171792948237,1.4519748164607975,75.78045043040493,5067.626423150783,5143.406873581188,384027.012959389,24918526.215364654,0.21286630059885628,14.08578469277727,-13.876387994306079,101.3474661085612,-105.79484110544361,139.8651664686523,-451.00878180502536,15.34679323240777
0.6886909227306827,1.4520301734702217,76.37871915294681,4947.142794673331,5023.521513826278,377856.43012387806,23724342.67937995,0.21313823711579255,14.076466909077595,-13.858229995962956,101.54661100534706,-105.86204563107773,140.13512191238476,-450.8127127917097,15.298497113050775
0.6886646661665417,1.4520855347008137,77.08604505189487,4820.216669224524,4897.302714276419,371571.4393237363,22497288.11796423,0.21340976534881093,14.067127106223808,-13.840318131773394,101.74803015600295,-105.92882587815254,140.41082250198394,-450.61892487607764,15.250018498427398
0.6886384096024005,1.452140900153058,77.82631094049793,4873.134873281279,4950.961184221777,379258.1099029735,22994984.20805881,0.21368071180634404,14.057758400206717,-13.822631885161432,101.95159748765002,-105.99516123680537,140.69197201768512,-450.427072563309,15.201351991585042
0.6886121530382595,1.452196269827436,78.45753629504497,5070.349060193705,5148.80659648875,397807.09541869437,24918980.98637129,0.21395115265071438,14.048354094903654,-13.805151220599383,102.15718894577573,-106.06103147514352,140.9782794258136,-450.2368184976243,15.152492477777063
0.6885858964741185,1.4522516437244315,78.96162289177482,5249.003601836396,5327.965224728171,414469.84296577197,26729334.06404962,0.21422132309019823,14.038907692145061,-13.787856609932373,102.36468261706972,-106.12641676254415,141.26945918458748,-450.04783391013996,15.103435138045533
0.6885596399099775,1.452307021844528,79.34852576673711,5427.960128123723,5507.30865389046,430700.6340872469,28607646.072867762,0.21449145631383298,14.029412901144145,-13.770729056840105,102.57395884080553,-106.19129769097158,141.56523152312243,-449.8597990350902,15.054175462297712
0.6885333833458365,1.452362404188208,79.59718902430723,5628.2470480178745,5707.844237042182,447992.64415657794,30787515.25770933,0.2147617862672573,14.019863647343202,-13.753750119585655,102.78490030961018,-106.25565529446432,141.8653226956443,-449.6724034969626,15.004709261930088
0.6885071267816953,1.4524177907559548,79.757112845969,5672.135918478183,5751.893031324153,452393.1845277383,31274700.705684397,0.21503255781102795,14.01025408072858,-13.736901932195305,102.9973921604074,-106.3194710669321,142.16946521279402,-449.48534667099625,14.95503268205583
0.6884808702175543,1.4524731815482514,79.98931879117299,5534.204567086446,5614.193885877619,442677.2533722424,29748463.974736672,0.21530384596463273,14.000578583663753,-13.720167224206946,103.21132205628074,-106.38272697839601,142.4773980518209,-449.2983380193751,14.905142213388771
0.6884546136534133,1.4525285765655818,80.32088329759472,5430.972825926692,5511.293709224286,436220.5345436668,28629476.211160526,0.21557546937198666,13.990831778286879,-13.703529339116113,103.42658025998188,-106.44540548980343,142.78886684738973,-449.1110974053164,14.855034703830947
0.6884283570892723,1.452583975808429,80.70625139952017,5362.5165165563885,5443.222767955909,432788.60611927765,27897519.677116476,0.21584731979874813,13.981008533518205,-13.68697225164475,103.6430596997423,-106.50748956653369,143.10362406459797,-448.92335538717384,14.80470736981534
0.6884021005251313,1.4526393792772765,81.16019585137337,5271.907861403031,5353.068057254405,427869.07454186614,26943861.327429987,0.2161192866242527,13.971103971718994,-13.670480583948876,103.8606560280386,-106.56896269071274,143.4214291557522,-448.7348534945304,14.754157807446154
0.6883758439609902,1.452694786972608,81.68875216179094,5180.736298909463,5262.425051071254,423207.8835372085,26000285.88399345,0.21639126342622333,13.96111347504236,-13.654039620876459,104.07926767391173,-106.62980887244433,143.74204870234922,-448.54534448817793,14.703384003480863
0.6883495873968491,1.4527501988949074,82.25964963990009,5183.171346533313,5265.430996173213,426365.85898939864,26019300.13950404,0.2166631328869414,13.951032691514023,-13.63763532438069,104.29879588940277,-106.69001266005809,144.065256543618,-448.3545926057619,14.65238434619611
0.6883233308327081,1.4528056150446578,82.7871829035762,5262.372075501364,5345.1592584049395,435656.95952120464,26828099.659627225,0.21693488777671321,13.940857540878248,-13.621254347186671,104.51914479065563,-106.74955914947529,144.39083389293384,-448.1623737947683,14.601157636173143
0.6882970742685671,1.4528610354223437,83.28923777104183,5275.5525117736015,5358.841749544644,439396.74752672826,26959597.906555783,0.21720662801028523,13.930584220243638,-13.604884045806205,104.74022139417212,-106.80843399277747,144.71856944328795,-447.9684759344503,14.549703097043993
0.6882708177044261,1.452916460028448,83.80566821815728,5272.853378494272,5356.65904671243,441895.0008010802,26926216.139521796,0.21747835951875108,13.920209209559943,-13.588512492987546,104.96193564870629,-106.86662340606733,145.04825946297302,-447.7726990481784,14.498020386230015
0.6882445611402851,1.4529718888634555,84.32188283100095,5274.083677063232,5358.405559894233,444720.6658582193,26933627.480872553,0.2177500827295271,13.909729276956138,-13.572128489683076,105.1842004632369,-106.92411417670056,145.37970788254566,-447.5748555076227,14.446109605707
0.688218304576144,1.4530273219278502,84.85251490410565,5268.76028280647,5353.612797710575,447067.5604229952,26872899.74611847,0.21802179980387787,13.899141483967865,-13.555721576612363,105.40693173143691,-106.98089366996358,145.71272637407188,-447.3747702300816,14.393971312827421
0.688192048012003,1.4530827592221158,85.35775674093975,5348.430197844988,5433.787954585927,456530.0037735474,27699931.52030892,0.21829350198024886,13.888443190680754,-13.539282045493543,105.63004835302227,-107.03694983526673,146.0471344235843,-447.1722808701966,14.34160653123019
0.6881657914478619,1.4531382007467364,85.8007290101391,5401.781127895321,5487.581856905461,463476.75872663065,28259647.601331465,0.21856528055210447,13.877632060813792,-13.522800950010009,105.85347225236032,-107.09227121192203,146.38275939765063,-446.9672380071966,14.289016761861982
0.6881395348837209,1.4531936465021966,86.27885147026927,5315.270106205131,5401.5489576754,458595.4000176338,27342349.54209366,0.2188372028946906,13.866706066766493,-13.50627011657701,106.07712839465677,-107.14684693456167,146.71943660484314,-446.75950532876243,14.236203994139816
0.6881132783195799,1.4532490964889806,86.85277353326637,5198.231780865542,5285.084554398808,451480.84763694287,26126195.356597077,0.21910914864257178,13.855663494650727,-13.489682154966257,106.30094480005307,-107.20066673825845,147.0570093528919,-446.54895981250286,14.183170717275305
0.6880870217554388,1.453304550707573,87.50796292352697,5108.4494529136855,5195.9574158372125,447030.0053222825,25209853.445904594,0.21938098303734613,13.844502949327131,-13.473030468843287,106.52485255592295,-107.2537209633994,147.3953290022235,-446.3354919059741,14.129919931783302
0.6880607651912978,1.4533600091584578,88.24286219643272,5002.733471685755,5090.976333882188,441455.52034744684,24152217.950758733,0.21965256851150605,13.833223359464741,-13.456309266268747,106.74878582763665,-107.30600056036106,147.7342550165347,-446.1190057061061,14.076455161196119
0.6880345086271568,1.4534154718421195,89.08641057648993,4865.538627046182,4954.625037622672,433453.371804806,22814495.776218235,0.2199237752519854,13.821823982639906,-13.439513570208788,106.97268186805982,-107.35749709403508,148.07365501102865,-445.899419138814,14.022780463997929
0.6880082520630157,1.4534709387590434,90.0022059008943,4859.308557497781,4949.310763398676,437348.4893278926,22746283.07538241,0.2201944245090975,13.81030441049064,-13.422639229098605,107.19648102600084,-107.40820274824121,148.41340479884394,-445.6766641395302,13.96890044580009
0.6879819954988747,1.4535264099097134,90.83268162520653,5035.091501557559,5125.924183182766,457350.8633147601,24445695.278478865,0.2204645048184483,13.798664573939636,-13.40568292749662,107.42012675383572,-107.45811033006952,148.7533884362118,-445.4506868353052,13.914820271768221
0.6879557389347337,1.4535818852946147,91.51425291754867,5227.1834259701445,5318.697678887693,478361.7860906496,26375097.855042733,0.2207342324334932,13.786904748498463,-13.388642196864446,107.64356561450109,-107.50721327418518,149.09349826679855,-445.221447729067,13.860545679314642
0.6879294823705926,1.4536373649142322,92.06324346995643,5399.200190809627,5491.263434279584,497067.88170954084,28165702.577817842,0.22100384199163167,13.775025559663769,-13.371515426503425,107.86674728803658,-107.55550564712819,149.4336349656624,-444.98892188656754,13.806082991065916
0.6879032258064516,1.4536928487690506,92.4630315819486,5604.80081558426,5697.2638471662085,518236.8748218996,30385867.844939508,0.2212735667502278,13.763027988415097,-13.354301874675167,108.0896245778327,-107.60298215163407,149.77370758319634,-444.75309912647526,13.751439128114807
0.6878769692423106,1.4537483368595547,92.72719957189156,5708.687664865245,5801.414864437136,529350.6203935543,31539011.947737936,0.22154365217980612,13.750913376821451,-13.337001679928287,108.31215341674519,-107.64963813100519,150.1136335894196,-444.5139842139997,13.696621623559082
0.6878507126781696,1.4538038291862296,93.01517660809304,5603.063073919551,5696.078250527644,521169.9013669119,30360627.830666415,0.22181425032106203,13.73868343376377,-13.31961587265183,108.53429287318583,-107.69546957354883,150.453338918886,-444.2715970583861,13.641638636334845
0.6878244561140285,1.453859325749561,93.41586481516515,5475.743046717211,5569.158911532376,511521.2722147158,28969445.89304162,0.22208522251335852,13.726340240777361,-13.302146386869907,108.75600515731992,-107.74047311710511,150.7927580164917,-444.0259729145337,13.58649896534201
0.6877981995498874,1.4539148265500337,93.88102839197245,5402.474765483694,5496.355793875666,507189.88684529014,28181167.46548944,0.22235643315116102,13.713886258017439,-13.284596072288695,108.97725562746243,-107.78464605367866,151.1318338843887,-443.77716258892275,13.531212063860846
