u,x,cminus,cplus,c55,c56,disc,cV,alpha7
0.7085933983495873,1.411246565843175,-1626.6952168201778,-1626.6952168201778,-3253.3904336403557,4150494.2478142944,-6017427.677554596,0.045244738247932834,12.247277358753637
0.7085671417854463,1.4112988607970187,-1608.2763217856086,-1608.2763217856086,-3216.5526435712172,4053420.1529170987,-5867469.702803409,0.0453798721775055,12.22496806878054
0.7085408852213053,1.4113511596266748,-1552.0260481549626,-1552.0260481549626,-3104.052096309925,3779787.98128961,-5484012.5085523985,0.04551523920290797,12.202738899284173
0.7085146286571643,1.4114034623325744,-1555.3861700150746,-1555.3861700150746,-3110.7723400301493,3787647.667672023,-5473686.119191442,0.04565093514275121,12.180572953339428
0.7084883720930233,1.4114557689151486,-1590.936843637884,-1590.936843637884,-3181.873687275768,3945684.4272656953,-5658417.547284888,0.0457869396268968,12.158473588918469
0.7084621155288822,1.411508079374828,-1616.1259523676595,-1616.1259523676595,-3232.251904735319,4053728.182932078,-5767460.356063215,0.04592318609253241,12.136451958331344
0.7084358589647411,1.4115603937120438,-1637.2474923634913,-1637.2474923634913,-3274.4949847269827,4141220.2855922254,-5842563.73736674,0.04605961496983665,12.114517789471464
0.7084096024006001,1.4116127119272273,-1667.4710309943785,-1667.4710309943785,-3334.942061988757,4268702.137926486,-5952969.994884124,0.0461961636773149,12.09268110721851
0.7083833458364591,1.4116650340208097,-1696.676658668621,-1696.676658668621,-3393.353317337242,4388244.583362669,-6038131.5971670095,0.046332766858127775,12.070952183847158
0.7083570892723181,1.411717359993222,-1663.8398848795332,-1663.8398848795332,-3327.6797697590664,4224068.274285266,-5822820.447077312,0.04646934356125021,12.049343645611327
0.708330832708177,1.411769689844896,-1590.0933500088615,-1590.0933500088615,-3180.186700017723,3879468.037909411,-5404284.704668028,0.0466059376602203,12.027847146691899
0.708304576144036,1.4118220235762629,-1525.326588031322,-1525.326588031322,-3050.653176062644,3579968.7932620593,-5013390.372427139,0.04674266161869745,12.006443206781897
0.708278319579895,1.411874361187754,-1463.963765579072,-1463.963765579072,-2927.927531158144,3298428.084485955,-4620952.710229995,0.04687962643250157,11.98511298013058
0.7082520630157539,1.4119267026798008,-1394.5926194605017,-1394.5926194605017,-2789.1852389210035,2982288.490695817,-4149599.665768453,0.04701694498359298,11.963837697333716
0.7082258064516129,1.4119790480528354,-1359.4518809976328,-1359.4518809976328,-2718.9037619952655,2818381.958233839,-3881090.165943348,0.04715473895177391,11.942597543774092
0.7081995498874718,1.412031397307289,-1394.3853994566216,-1394.3853994566216,-2788.770798913243,2967462.8374034096,-4092608.78074243,0.04729308430447938,11.921380501872529
0.7081732933233308,1.4120837504435937,-1436.4116373455843,-1436.4116373455843,-2872.8232746911685,3148822.950075969,-4342178.232696587,0.04743191711855957,11.900197280844111
0.7081470367591898,1.4121361074621803,-1459.584966736941,-1459.584966736941,-2919.169933473882,3245850.716983041,-4461849.767434254,0.04757116580733207,11.879059580767235
0.7081207801950488,1.4121884683634822,-1483.790987996707,-1483.790987996707,-2967.581975993414,3347205.8483734354,-4582280.609252768,0.04771078033892408,11.857975428119174
0.7080945236309077,1.4122408331479304,-1511.7357747257597,-1511.7357747257597,-3023.4715494515194,3464586.34963709,-4716965.188205589,0.04785070540006024,11.83695351645426
0.7080682670667666,1.412293201815957,-1533.4121310646126,-1533.4121310646126,-3066.824262129225,3553190.943354874,-4807352.718635028,0.04799088534050269,11.816002409010887
0.7080420105026256,1.412345574367994,-1514.3005179374536,-1514.3005179374536,-3028.601035874907,3461074.817047354,-4671875.033686854,0.04813126665729728,11.79513015215191
0.7080157539384846,1.4123979508044735,-1483.7066430721586,-1483.7066430721586,-2967.413286144317,3319336.7392408345,-4471805.346177522,0.04827187323298375,11.774332587291545
