u,x,phi,f,h,phi_r,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,F_tensor,G_tensor,H_tensor,K_scalar,mu,crS2
0.5045533348439761,1.981951026662487,0.4446514777250924,0.4791525764050797,0.5214134848156847,-0.3380246181407977,-0.1417058857041661,-2.1013041376948474,-0.4294661252327133,0.20460449366594913,-2.8590249462441424,0.4518146275634475,-0.7364345603983289,-0.19620176656754004,0.20394262832101814,0.21350661954176234,0.5914854377590437,2.080014806145332,1.7926069748173032,-0.4270132390835247,0.5671942277903771,0.1726635810704999,,-0.06918625005220469,-0.16330207411123845,0.22666348689470014,0.21350661954176234,-0.0721492874820988,-0.015855325182378532,0.052086998222685074,-1.064808533478341,-0.010323547874551886,,1.055568725454739,2.0488494989377615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000326931012399,-0.2499182939591389,0.0,0.0,0.0,0.8186855408808189,0.8186855408808189,0.8186855408808189,0.009742284077322,3.436852248222614,1.0
0.504505635148967,1.9821384149747443,0.4445881441812805,0.4791945912811337,0.5214336080180011,-0.3379358387127524,-0.1420064263333958,-2.1035535374753707,-0.4296041495540497,0.20463233853748272,-2.859671170328701,0.4521327828822984,-0.7367023306673819,-0.1962208950390654,0.20397420777161218,0.2135169535098416,0.592687934785489,2.082068703368157,1.7930258703692659,-0.4270339070196832,0.568325406793714,0.17305448047188712,,-0.0693172016726951,-0.16332274378551087,0.22673361511936468,0.2135169535098416,-0.07228863713180965,-0.015977182529686385,0.05208423748105733,-1.0678944859347115,-0.01021346310224169,,1.0564894123611541,2.049186647008824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002637749803012,-0.2499340736446478,0.0,0.0,0.0,0.8187452617141977,0.8187452617141977,0.8187452617141977,0.009742284072902,3.437739747041085,0.9999999999999997
0.5044579319445257,1.9823258525152263,0.4445248106374688,0.4792366116835919,0.5214537241134427,-0.3378470852183074,-0.1423073671495928,-2.105803648188142,-0.4297422603116686,0.20466019509285582,-2.8603295302012075,0.4524507013913498,-0.7369699546658183,-0.19624003591192285,0.20400574445313946,0.21352729539367848,0.5938918842183489,2.0841233493198636,1.7934450325151656,-0.42705459078735697,0.5694578989037455,0.1734459110000004,,-0.06944828422427478,-0.16334343186429073,0.22680380404677977,0.21352729539367848,-0.07242813288407388,-0.016099122359299667,0.05208147723892543,-1.0709850623794006,-0.01010296162107588,,1.0574102492034783,2.0495238962857956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002006285737561,-0.24994985291749866,0.0,0.0,0.0,0.8188050231036077,0.8188050231036077,0.8188050231036077,0.0097422838685312,3.4386278311075014,0.9999999999999997
0.5044127361992969,1.9825034703423767,0.4444648104380681,0.4792764255845626,0.5214727749233319,-0.33776302686380755,-0.14259283836655637,-2.1079359401281503,-0.42987318182094025,0.20468659628775604,-2.8608820175517895,0.4527516644662561,-0.7372233548706564,-0.1962581808013367,0.20403558109753034,0.2135371002632817,0.5950338082772968,2.086070470055302,1.7938423793602352,-0.4270742005265634,0.5705319979214447,0.17381722957812668,,-0.06957258848014392,-0.16336304805641202,0.22687035474938058,0.2135371002632817,-0.07256042154667935,-0.016214712265171016,0.05207886273157307,-1.0739172221085171,-0.009997892592832174,,1.0582827491935145,2.0498434890121002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001408145276782,-0.24996480132456533,0.0,0.0,0.0,0.8188616765365374,0.8188616765365374,0.8188616765365374,0.0097422838634322,3.439469713679999,1.0000000000000007
0.5043650261653666,1.9826910037813152,0.4444014768942563,0.4793184567517476,0.5214928772169541,-0.33767432381964274,-0.14289455925821928,-2.11018735095035,-0.4300114609220859,0.204714475584185,-2.861567051852713,0.4530691123919637,-0.737490686822042,-0.19627734579682346,0.20406703290424236,0.21354745754158633,0.596240588049078,2.0881264467614935,1.7942620604939519,-0.42709491508317265,0.571667048676704,0.17420969417414234,,-0.0697039260314045,-0.16338377192182324,0.2269406617384036,0.21354745754158633,-0.07270020187886976,-0.016336799760554133,0.05207610345612635,-1.077016761147137,-0.009886580797543962,,1.0592038561631263,2.0501809355488967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000776868226078,-0.24998057980304142,0.0,0.0,0.0,0.8189215168053399,0.8189215168053399,0.8189215168053399,0.0097422840611256,3.4403589371693593,1.0000000000000002
0.5043173126267971,1.982878586482348,0.4443381433504444,0.4793604934481942,0.521512972442622,-0.3375856466523401,-0.14319668112304243,-2.112439467149177,-0.4301498264802695,0.20474236655245054,-2.862200115190852,0.4533863233367566,-0.7377578723652503,-0.19629652316556398,0.20409844198673951,0.21355782271466808,0.5974488222547614,2.0901831619854847,1.794682008048112,-0.42711564542933617,0.5728034141283935,0.17460269101659576,,-0.06983539454371192,-0.1634045141368313,0.22701102939214368,0.21355782271466808,-0.07284012838038893,-0.016458968442167432,0.052073344673996616,-1.080120924062855,-0.009774849481942504,,1.0601251111289258,2.0505184834710395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000145686989048,-0.2499963578783348,0.0,0.0,0.0,0.8189813975293676,0.8189813975293676,0.8189813975293676,0.0097422840554742,3.4412487456286036,0.9999999999999998
0.5042695955852126,1.983066218456984,0.4442748098066326,0.4794025356748723,0.5215330606135513,-0.3374969953445488,-0.14349920422710644,-2.1146922565587025,-0.430288278502503,0.20477026918847707,-2.862828982077165,0.4537032972326661,-0.7380249114499295,-0.19631571289802563,0.20412980835839267,0.2135681957754088,0.5986585115787818,2.0922405490439386,1.7951022219637225,-0.4271363915508176,0.5739410948123759,0.17499622047686292,,-0.06996699402672289,-0.16342527468308976,0.2270814576975848,0.2135681957754088,-0.0729802010733737,-0.016581210168813865,0.05207058638308819,-1.0832297113237668,-0.009662697712293517,,1.0610465134539915,2.050856132839505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999514601415788,-0.25001213555366336,0.0,0.0,0.0,0.8190413186744071,0.8190413186744071,0.8190413186744071,0.0097422838503513,3.4421391389630736,0.9999999999999994
0.5042243867370272,1.9832440205267965,0.444214809607232,0.4794423702549509,0.5215520850167537,-0.3374130337324915,-0.1437861754235273,-2.1168271157763914,-0.4304195233406504,0.20479671402389604,-2.8634749149884,0.4540033651999191,-0.7382777573612037,-0.19633390404077997,0.20415948371448026,0.2135780301551073,0.5998058759265135,2.0941903299393534,1.795500565007503,-0.4271560603102146,0.5750201112773292,0.17536952888660493,,-0.07009178804294484,-0.16344495946175983,0.22714823513335403,0.2135780301551073,-0.07311303639270049,-0.016697093745971614,0.05206797371663225,-1.0861791237011116,-0.009556061811535777,,1.0619195467843205,2.0511761048217854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998916818980709,-0.25002708245900285,0.0,0.0,0.0,0.8190981233302066,0.8190981233302066,0.8190981233302066,0.0097422838474832,3.442983208918791,1.0000000000000009
0.5041766628784382,1.983431748488346,0.4441514760634202,0.4794844232538113,0.5215721594874612,-0.3373244327263014,-0.144089480654875,-2.119081237481382,-0.43055814376030693,0.2048246393696503,-2.86407770074438,0.45431986806349767,-0.7385445040370022,-0.1963531178225919,0.20419076532921365,0.21358841855559926,0.6010184008776542,2.0962491185317678,1.7959212974574332,-0.4271768371111985,0.5761603547515491,0.17576409532312776,,-0.07022364260302047,-0.1634657556516992,0.2272187814005096,0.21358841855559926,-0.07325339383906614,-0.016819491641320905,0.05206521637630056,-1.0892968733343737,-0.009443092419724214,,1.0628412141525097,2.0515139519187766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998285919269854,-0.25004285936469484,0.0,0.0,0.0,0.8191581230916402,0.8191581230916402,0.8191581230916402,0.0097422840427261,3.4438747409485138,0.9999999999999999
0.5041289355216145,1.983619525757464,0.4440881425196084,0.4795264817857629,0.5215922269424192,-0.3372358575246388,-0.14439318791172895,-2.12133603184074,-0.43069685066458857,0.20485257637114457,-2.8647025555914194,0.4546361337076451,-0.7388111041172766,-0.19637234394000957,0.20422200427819934,0.21359881482277152,0.6022323829708291,2.098308579164453,1.7963422960945468,-0.42719762964554303,0.5773019150430247,0.17615919549223596,,-0.07035562816270928,-0.16348657011828963,0.2272893882814222,0.21359881482277152,-0.07339389754264064,-0.016941962559897217,0.05206245952101621,-1.0924192473499692,-0.009329699763202848,,1.0637630269471217,2.0518519006420797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997655114780954,-0.2500586358799169,0.0,0.0,0.0,0.8192181631732118,0.8192181631732118,0.8192181631732118,0.0097422840381883,3.4447668575734984,1.0000000000000009
