u,x,A0prime,alpha4,alpha6,alpha7,Codd,odd_tensor_cr2,odd_vector_cr2,odd_tensor_cOmega2,odd_vector_angular_margin_lb,region
0.6109452363090773,1.636807917582485,1.4721879901500106,1.8227512422482384,-0.3515357727600985,2.124033643801741,0.8351614285998568,1.0055230573835603,10.617468803369611,9.285748166703666,8.496134575206966,central_exact_SVT
0.6109714928732183,1.6367375755901403,1.4729188211881312,1.821937291944515,-0.3520472144896971,2.127439449284221,0.8372767798762499,1.0055357295576883,10.651032448207566,9.299206906822931,8.509757797136883,central_exact_SVT
0.6109977494373593,1.636667239643445,1.4736479873570465,1.8211218158079985,-0.3525586739455408,2.1308463754149685,0.839395982038639,1.0055484185899295,10.684694660178986,9.312666187796864,8.523385501659874,central_exact_SVT
0.6110240060015003,1.6365969097416193,1.474375484025758,1.82030427563701,-0.3530702513590065,2.134255015236651,0.8415197119256511,1.0055611307665984,10.718467480141774,9.326128658127526,8.537020060946604,central_exact_SVT
0.6110502625656414,1.636526585883884,1.4751013065691372,1.8194843150457265,-0.3535820252586633,2.1376658348444115,0.8436485072159657,1.0055738704986157,10.752360169405923,9.339596392996862,8.550663339377646,central_exact_SVT
0.6110765191297824,1.6364562680694603,1.4758254503679795,1.8186620108882705,-0.3540939976307973,2.141078848341281,0.8457824055396297,1.0055866372143738,10.786373091704393,9.353069445748066,8.564315393365124,central_exact_SVT
0.6111027756939235,1.636385956297569,1.4765479108093449,1.817837760157368,-0.3546060736075466,2.144493494832904,0.847920806967467,1.0055994253170706,10.82049656537568,9.366545311423742,8.577973979331615,central_exact_SVT
0.6111290322580645,1.636315650567432,1.4772686832866964,1.8170116990066207,-0.3551181829498602,2.147909356762689,0.8500632697965773,1.0056122317208105,10.854724435346943,9.380022135661177,8.591637427050756,central_exact_SVT
0.6111552888222055,1.63624535087827,1.4779877632000438,1.816184247128365,-0.3556302559309489,2.151326019332528,0.8522093541869047,1.0056250534004345,10.889048845528595,9.393498077668063,8.60530407733011,central_exact_SVT
0.6111815453863466,1.6361750572293037,1.4787051459561305,1.8153557606942583,-0.3561422185867827,2.154743042513698,0.8543585909910162,1.0056378870436335,10.923461897753391,9.406971184770612,8.618972170054793,central_exact_SVT
0.6112078019504876,1.636104769619756,1.4794208269684943,1.814526446880793,-0.3566539998566529,2.158160003156941,0.8565105285799921,1.0056507295560708,10.957956772368988,9.42043958102244,8.632640012627766,central_exact_SVT
0.6112340585146286,1.636034488048848,1.4801348016578322,1.813696724524974,-0.3571655287709827,2.161576478442159,0.8586647144389348,1.0056635778473697,10.992525323408872,9.433901392923085,8.646305913768636,central_exact_SVT
0.6112603150787697,1.6359642125158014,1.4808470654521473,1.8128668442760871,-0.3576767176073286,2.1649919454874578,0.8608205834630313,1.0056764281043815,11.027158934781372,9.447354304515091,8.659967781949831,central_exact_SVT
0.6112865716429107,1.6358939430198385,1.4815576137868518,1.812036828764872,-0.3581875533992651,2.168406326463821,0.8629780646438254,1.0056892798730297,11.061856675709768,9.460797974416728,8.673625305855284,central_exact_SVT
0.6113128282070518,1.6358236795601806,1.4822664421049931,1.8112064126984435,-0.3586980989344817,2.1718199946956624,0.865137589650985,1.005702136161222,11.096625822935383,9.474234062132986,8.68727997878265,central_exact_SVT
0.6113390847711928,1.635753422136051,1.4829735458573248,1.8103755159778343,-0.3592084169798898,2.175233323366233,0.8672995913075195,1.0057150000695625,11.1314725671195,9.48766422658452,8.700933293464931,central_exact_SVT
0.6113653413353338,1.6356831707466717,1.4836789205026544,1.8095438917932527,-0.3597184856254287,2.1786461811528226,0.8694639406415029,1.0057278709323665,11.166396934307809,9.501087890120854,8.71458472461129,central_exact_SVT
0.6113915978994748,1.635612925391265,1.4843825615080406,1.8087117190073725,-0.3602282936065541,2.182058500106137,0.8716305791198155,1.0057407485636776,11.201397237658888,9.514504756276308,8.728234000424546,central_exact_SVT
