u,x,f4_old,f4_new,f3_new,f2F_new,f2_new,f2X_new,E00,E11,JA,A2_res
0.6892948237059264,1.4507580292328288,-1.4780454794361364,14.954552299031606,-36.9541090663584,-82.27489206301506,-93.48699666306885,119.04069365908444,-2.9976021664879227e-15,4.929390229335695e-14,-3.0383464901676396e-14,-4.263256414560601e-14
0.6893210802700674,1.4507027691771917,-1.4788682324267537,15.025808253406852,-37.1067645514051,-82.64860573109202,-93.91914296100954,119.40169427036017,-1.4988010832439613e-15,-7.188694084447889e-15,-1.733905868910316e-14,9.947598300641403e-14
0.6893473368342086,1.4506475133311567,-1.479694319398961,15.085481088311855,-37.23493733276233,-82.96370512501333,-94.2853054488647,119.70436496740349,-3.774758283725532e-15,-8.743006318923108e-15,-3.4471498899599425e-14,5.684341886080802e-14
0.6893735933983496,1.450592261694244,-1.4805231857086638,15.136069124782665,-37.34391014670614,-83.23283421148781,-94.59972350347311,119.96129901486933,1.0602629885170245e-14,-8.409939411535561e-15,-8.25358024531399e-15,8.526512829121202e-14
0.6893998499624906,1.4505370142659717,-1.4813543306081651,15.178156346354916,-37.43491749696944,-83.45893718480457,-94.86570199153172,120.17543787136506,1.0436096431476471e-14,-7.577272143066693e-15,5.0441169178537455e-15,-1.4210854715202004e-14
0.6894261065266316,1.4504817710458595,-1.4821872581784168,15.210555615623885,-37.50544887510456,-83.63597945690165,-95.07641889075687,120.34079141232691,-3.902433931557425e-14,-4.191091917959966e-15,-5.4612708195047905e-15,-2.8421709430404007e-13
0.6894523630907726,1.4504265320334264,-1.483021429593531,15.234648970451564,-37.55842598229744,-83.77095138221364,-95.23974310189833,120.46432578639408,-2.6645352591003757e-15,2.1649348980190553e-14,-1.4049957774723078e-14,2.842170943040401e-14
0.6894786196549137,1.4503712972281912,-1.483856655503318,15.262739918067382,-37.61986270206622,-83.92623344243815,-95.42604064297427,120.60808870812639,-4.218847493575595e-15,1.1407541578023483e-14,-6.341574366421925e-14,-5.684341886080802e-14
0.6895048762190548,1.4503160666296744,-1.4846933935579063,15.297674423777753,-37.69577725687886,-84.11626823386774,-95.65161543969826,120.78643578547482,-9.325873406851315e-15,1.7180701306074297e-14,-4.440586128568585e-14,1.7053025658242404e-13
0.6895311327831958,1.4502608402373949,-1.485531765074843,15.332426637044623,-37.771315158335355,-84.30542988000586,-95.87627668931908,120.96393354223272,7.771561172376096e-16,-1.2545520178264269e-14,1.1675395285311477e-14,2.842170943040401e-14
0.6895573893473368,1.4502056180508716,-1.4863717628750817,15.367320514972231,-37.84716133809604,-84.49536147871598,-96.10187867527505,121.14221648851827,9.103828801926284e-15,5.467848396278896e-15,-2.0850020900879262e-15,-2.842170943040401e-14
0.6895836459114778,1.4501504000696248,-1.4872133970283496,15.40181143490258,-37.922164503592406,-84.68330030630443,-96.32530349988303,121.31853761220322,7.993605777301127e-15,-6.022959908591474e-15,-3.1443495664665274e-14,-1.4210854715202004e-14
0.6896099024756188,1.450095186293174,-1.4880566484182125,15.43724032697953,-37.999159405212545,-84.87604933875465,-96.55423014174795,121.49966181806212,-2.098321516541546e-14,5.162537064506978e-15,-1.484678832140755e-14,-1.4210854715202004e-14
0.6896361590397599,1.4500399767210386,-1.4889017183174724,15.479275764614224,-38.09012972180224,-85.10237539002613,-96.82113726441068,121.71418737336438,4.385380947269368e-15,2.2926105458509483e-14,-1.0093016525519463e-14,-1.2789769243681803e-13
0.689662415603901,1.449984771352739,-1.4897489281718208,15.52218771745224,-38.18296314315613,-85.33321126993961,-97.09321782182876,121.93320888406916,-8.049116928532385e-15,4.524158825347513e-15,1.251267112046956e-16,-1.4210854715202004e-13
