u,x,phi,A0prime,f3,f4,N4,tilde_f3_reserve,JAres,alpha4,alpha6,alpha7,Codd,odd_angular_margin_lb
0.6649011816011581,1.5039828889939488,0.7274824176665922,0.018597846654972758,0.11749575660653759,-0.373733939010777,-0.014927484618879498,0.0,3.9898639947466563e-17,2.5006164550573375,-0.03706068603698263,0.32994620715985556,0.05526018704013082,1.3197848286394223
0.6649244632143144,1.5039302286546887,0.7275424178659928,0.018599379922711268,0.11747966179984301,-0.3736930152258326,-0.014927146817957992,0.0,-2.168404344971009e-17,2.499857041194921,-0.037060569444764775,0.3299934762361885,0.055255512680396815,1.319973904944754
0.6649490354765851,1.5038746530149874,0.7276057514098047,0.018600987465692755,0.11746292850299879,-0.3736497387393622,-0.014926791993426615,0.0,-4.5102810375396984e-17,2.4990542232044346,-0.03706044795204762,0.33004335697166237,0.05525057028821931,1.3201734278866495
0.6649736048924391,1.503819087919666,0.7276690849536165,0.018602583806718948,0.11744633567268677,-0.3736064336969464,-0.01492643893566389,0.0,-6.418476861114186e-17,2.498250382878393,-0.03706032808386536,0.33009322291683496,0.05524562710616033,1.3203728916673398
0.6649981714643098,1.5037635333613388,0.7277324184974283,0.01860416894489166,0.1174297591122409,-0.37356315374495197,-0.014926087620817364,0.0,-1.3444106938820255e-16,2.4974452532763167,-0.03706020984537996,0.3301430740712655,0.055240691052660995,1.320572296285062
0.6650214424375224,1.5037109124401629,0.727792418696829,0.018605660320000588,0.11741395755176379,-0.37352222341346974,-0.014925756382356166,0.0,-1.734723475976807e-17,2.4966810298868536,-0.03706009933794485,0.3301902878367923,0.0552360285394458,1.320761151347169
0.6650460034780964,1.5036553783800544,0.7278557522406408,0.018607223639551265,0.11739705665113213,-0.3734791461358469,-0.014925408393221328,0.0,-1.1275702593849246e-17,2.495872798411769,-0.03705998428789468,0.3302401101869493,0.055231129077412046,1.3209604407477973
0.6650705616818636,1.5035998548351774,0.7279190857844525,0.018608775753660798,0.11737985070112321,-0.3734362327844838,-0.014925061989339926,0.0,3.469446951953614e-17,2.4950627827989953,-0.037059870881779367,0.33028991773637184,0.05522625724913754,1.3211596709454874
0.6650951170512601,1.503544341798149,0.7279824193282644,0.018610316661471494,0.11736242326951879,-0.3733934472637347,-0.01492471714481227,0.0,-6.071532165918825e-17,2.494251041960871,-0.03705975912016281,0.33033971044363636,0.05522140773834405,1.3213588417745454
0.6651183774204716,1.5034917601860585,0.728042419527665,0.01861176613099075,0.11734581842307452,-0.3733529841484798,-0.01492439198281944,0.0,2.7755575615628914e-17,2.49348071858592,-0.03705965475744075,0.33038686874685325,0.055216827068295005,1.321547474987413
