u,M11_1,M13_1,M33_1,M12_0,M23_0,M22_0,M1,M2,C1,C2,Disc,cV,cminus,cplus
0.6858289572393098,692553.6534414464,30429955.10392897,271843519.6090996,264170.41239848407,-14126704.099088212,-623170.1861552672,-1446004.0247264383,10910.360574305018,1503977.4717797705,88643371387.19421,1907374750072.2935,1.0000000000000004,61450.04217455594,1442527.4296052144
0.6858552138034508,704065.8245393969,30517337.050166905,269717300.86169124,251915.8399917893,-14395092.208109157,-625457.3963538611,-1449936.092888067,10929.961050538202,1508109.341616185,89159401184.07886,1917756181533.6875,1.0000000000000002,61639.300251212204,1446470.0413649727
0.6858814703675918,735101.9881806137,31676763.97852273,296988608.7237587,278731.2271557939,-14037118.730730426,-627778.9194529434,-1453824.5403942228,10949.769266551748,1512200.884738409,89677827682.65079,1928040205073.024,1.0000000000000002,61831.00528569298,1450369.879452716
0.6859077269317329,703825.7095436815,30401183.612505507,262057995.56223083,249243.38702473813,-14584517.882873416,-630130.0412245614,-1457886.7265225782,10970.238823221805,1516468.480077297,90213202574.88667,1938823840768.4006,1.0,62025.96646521543,1454442.5136120815
0.685933983495874,658624.9657593244,29575860.797246378,245274265.945194,242110.09506194422,-14770340.092647877,-632395.1868579105,-1461649.7159776287,10988.849900686395,1520428.9563353923,90718109631.4541,1948831772737.314,1.0000000000000004,62211.6535428036,1458217.3027925887
0.685960240060015,679218.1848980995,33112673.764092688,351594449.81685185,332706.71610652946,-13390739.982023712,-634869.5423340438,-1465909.1890859047,11010.977761316448,1524905.1795094328,91285154713.7803,1960195187639.5742,1.0000000000000002,62417.73568679672,1462487.443822636
0.685986496624156,717474.9536959579,34052669.882020056,369696867.9779694,337081.41196117504,-13403768.352032479,-637574.2894475971,-1470642.0502876209,11036.848955501231,1529876.1104055287,91915887222.14006,1972857364300.989,1.0,62645.85029426101,1467230.2601112677
0.686012753188297,732292.8923269393,31134260.786597673,269812608.4056096,249216.1337112683,-14894951.329305014,-640030.5426244393,-1474865.8316878178,11058.445093405811,1534314.5106320234,92481014883.94223,1984196958000.2163,1.0,62849.62402123865,1471464.8866107848
0.686039009752438,735216.4587304995,28021122.1419422,166870478.2370367,166145.37019924226,-16301830.349711355,-642186.4944850869,-1478402.734653507,11074.805231767665,1538037.898072656,92960849188.44414,1993717179153.9773,1.0000000000000004,63023.69778565969,1475014.2002869963
0.6860652663165792,743721.1613862606,25807242.446658835,91587146.67049694,99926.57344667625,-17429888.11006041,-644043.066129282,-1481290.2708966841,11085.958735779066,1541083.9232874976,93357573131.74132,2001509366088.2202,0.9999999999999999,63168.41003041982,1477915.513257078
0.6860915228807202,721409.3560802575,21010794.152510464,-58877339.73765588,-21007.508069877164,-19434088.85894405,-645625.12885313,-1483623.6771390187,11092.625636902221,1543549.906301123,93680672486.45363,2007823623296.3916,1.0000000000000004,63286.48759583011,1480263.418705293
0.6861177794448612,703750.4510460439,15677249.771648873,-227622398.3675611,-161463.22991251486,-21739917.90818664,-646667.7623674975,-1484780.6761379666,11090.156589851276,1544789.157150108,93851928575.46465,2010965825746.682,1.0000000000000007,63351.94485217938,1481437.2122979285
0.6861440360090022,688781.6233597313,17662498.12673817,-160726088.5643592,-95869.83245580678,-20715503.600080613,-647527.57134768,-1485492.2263661805,11084.41283984351,1545566.0789418262,93968328621.03651,2012901189891.4653,1.0000000000000004,63399.29461001884,1482166.7843318074
0.6861702925731432,697950.2042901637,25661204.03699772,93768163.03558612,109412.90192450176,-17451111.70958169,-649009.8445026124,-1487552.0529353789,11089.124928908139,1547749.1294636088,94259847339.6443,2018487978396.7817,1.0000000000000002,63507.05801489705,1484242.0714487117
0.6861965491372843,713992.0277759286,32871715.62152607,320671494.65729856,294385.6457996658,-14532271.910135094,-651203.8117233971,-1491209.7994206026,11105.816810375858,1551596.0802782066,94756325260.71031,2028425095291.8535,1.0000000000000002,63684.09292070812,1487911.9873574986
0.6862228057014254,753586.5401880008,41173023.26169272,576436735.2301283,495366.88248984586,-11371030.205182571,-654093.7475465001,-1496245.571928123,11133.720435176376,1556885.9230289552,95441359701.0212,2042128338521.6375,1.0000000000000002,63927.68202046328,1492958.241008492
0.6862490622655664,750576.065948947,48343733.11926982,806401158.1175725,692172.4012259269,-8295862.424415525,-657733.4278072495,-1502991.0631476387,11174.102199012112,1563954.8264604849,96347605824.96594,2060564275909.1816,1.0000000000000004,64244.12782591104,1499710.6986345737
0.6862753188297074,680304.513775134,47200218.4538881,784600568.0697334,682392.2733114882,-8577561.630023852,-661893.3467840402,-1510741.005148069,11222.693833803773,1572076.466578681,97397209913.94019,2081835577114.75,1.0,64609.862431437825,1507466.6041472433
0.6863015753938484,703580.1996479767,43037471.03867946,640643540.072927,553418.9002932941,-10780710.817266371,-665694.460733331,-1517788.7833340375,11265.209474355033,1579462.103308898,98354144538.551,2101283957634.7637,1.0000000000000002,64940.7444560905,1514521.3588528074
0.6863278319579895,750286.4440779574,40324079.773641884,537689908.7061801,469940.4464841832,-12237149.387754321,-669100.0501880463,-1523911.0062017147,11300.85731428466,1585885.2043715105,99195949735.9914,2118248082500.5022,1.0000000000000002,65232.48089766607,1520652.7234738446
0.6863540885221305,775562.0091554367,37818420.467840865,447244803.13286257,381946.9553848272,-13758394.155478597,-672156.4149584722,-1529315.1288769117,11330.56672413327,1591557.4507541573,99942494633.65948,2133285140516.4338,1.0000000000000009,65490.23092498304,1526067.2198291742
