u,C1,C2,disc,cV,cminus,cplus,M1,M2,M22_0
0.7025281320330082,5905.972610833964,-2609286.265075597,45317657.54022333,0.0834919040043928,-412.93323982705624,6318.90585066102,38.65598536937113,-3.438959286293993,-2368.6573425244487
0.7025018754688672,6041.898016402565,-2646002.0945921224,47088540.01897774,0.08368769202180727,-410.10549511754925,6452.003511520114,38.33072050263866,-3.424730227248957,-2345.132070484338
0.7024756189047261,6200.426632629089,-2694383.1826083884,49222823.157049656,0.08388335902220463,-407.73562705142376,6608.162259680513,37.99479569720736,-3.414404062004727,-2324.516324189343
0.7024493623405851,6387.210459626491,-2758787.6783773107,51831608.16907129,0.0840790660501304,-406.1033753752108,6793.313835001702,37.72596554115581,-3.4095185977210876,-2308.081192062293
0.7024231057764441,6603.851589844571,-2839472.810088897,54968747.06104826,0.08427497789353679,-405.11976256174194,7008.971352406314,37.50590854960096,-3.409577532527209,-2295.351387676732
0.702396849212303,6854.347058440125,-2938924.9172033244,58737773.26636009,0.08447126075615143,-404.85508713838317,7259.202145578508,37.361412316824456,-3.41490053618197,-2286.579795257922
0.702370592648162,7142.340503942368,-3058504.800374793,63247047.07575489,0.08466809171654008,-405.2303527137519,7547.57085665612,37.225315763403515,-3.4257539305383635,-2281.6416208207584
0.702344336084021,7459.654777150036,-3190319.9426470073,68407729.16484539,0.08486558171131907,-405.6208690158496,7865.275646165886,37.09729814077362,-3.436543119525005,-2276.6699991405244
0.7023180795198799,7800.421318786809,-3328024.9729649755,74158672.64244364,0.08506363474621272,-405.560834846729,8205.982153633538,36.967777734941585,-3.443179544092447,-2268.8778598250556
0.7022918229557389,8171.4283743230735,-3474803.8401693245,80671457.03736952,0.08526214960150294,-405.15034646028926,8576.578720783364,36.768535281670395,-3.4475119313981475,-2259.3164112279846
0.7022655663915979,8577.31180598798,-3633089.292172933,88102634.98583251,0.08546105115718161,-404.494291327318,8981.806097315297,36.577543303305326,-3.449431952004302,-2248.205740670679
0.7022393098274569,9022.27382225852,-3803384.1253565582,96614961.4252376,0.08566025959127568,-403.5085853749797,9425.782407633498,36.33923347837369,-3.4489340954383594,-2235.388677474267
0.7022130532633158,9511.383317270645,-3987404.7560715294,106416031.63234046,0.08585969108313345,-402.21566004394117,9913.598977314587,36.09608530114283,-3.445648954958582,-2220.7893836998637
0.7021867966991747,10059.70203611173,-4194084.5986478436,117973943.44994187,0.08605928493241485,-400.93951947045935,10460.64155558219,35.86075348705613,-3.442357456783374,-2206.32160216868
0.7021605401350337,10683.902085057554,-4432548.175885857,131875956.46664058,0.08625909708598503,-399.9118186566193,11083.813903714174,35.61158422072628,-3.441503601279209,-2193.515440716905
0.7021342835708927,11389.855997245066,-4703327.442974707,148542129.40987822,0.0864591741123823,-398.96503887571,11788.821036120775,35.394339042560915,-3.4409620803572416,-2181.104139297016
0.7021080270067517,12188.696296624372,-5009353.58785997,168601731.76278454,0.08665950987501204,-397.98832946652965,12586.6846260909,35.18238908087973,-3.440111249987101,-2168.5918287920963
0.7020817704426107,13098.797159177688,-5357725.258588772,193009388.05163658,0.08686010537968666,-396.9923547675826,13495.78951394527,34.93505162944354,-3.4396361729827998,-2156.293160912848
0.7020555138784697,14138.104538418851,-5755132.021965264,222906528.02712077,0.08706096110764382,-395.97499174416043,14534.079530163011,34.71852974129353,-3.4386307790290727,-2143.8308585346826
0.7020292573143285,15341.046526641394,-6218128.662696392,260220223.18336153,0.08726207983813074,-395.14817778328506,15736.194704424679,34.522626250341396,-3.439209483047969,-2132.531500493623
0.7020030007501875,16744.209376960705,-6761746.8557030205,307415535.0823109,0.08746354900010062,-394.53000053103096,17138.739377491736,34.300108205961635,-3.442230263172932,-2122.7761546176775
0.7019767441860465,18367.327978104437,-7386453.655576062,366904551.6775623,0.0876653749934145,-393.7123698150972,18761.040347919534,34.10821777051384,-3.443164372608694,-2111.846363528663
0.7019504876219055,20250.899867517077,-8101712.555565597,442505795.6664655,0.08786745853630804,-392.4609289848977,20643.360796501976,33.86487589423917,-3.4410034367523084,-2098.8674597816016
0.7019242310577645,22458.29620812455,-8930760.37403893,540098110.0680172,0.08806970693520692,-390.8573828987501,22849.1535910233,33.60868925464415,-3.4359523066794098,-2084.1308194226895
0.7018979744936233,25071.622868981776,-9901701.58838609,668193079.6379943,0.08827202170067688,-388.9040327640323,25460.52690174581,33.31544395635552,-3.42837468729122,-2067.818338644513
0.7018717179294823,28187.75176080733,-11042818.33655049,838720622.6750987,0.08847431016756731,-386.4609826936394,28574.212743500968,32.979401779837886,-3.4170491218964805,-2049.179943058216
0.7018454613653413,31962.116766108717,-12412501.328652449,1071226913.4849777,0.08867643769372527,-383.7431241819704,32345.85989029069,32.66690024899623,-3.403021283267421,-2029.1120117393325
0.7018192048012003,36661.93957966795,-14127104.045249304,1400606229.9242208,0.08887841975270498,-381.36724969839634,37043.30682936635,32.34216110391054,-3.3925761483532177,-2011.3911735102045
0.7017929482370593,42623.54977141577,-16325465.190169914,1882068855.8770368,0.08908042029939889,-379.63387373554724,43003.183645151315,32.07624948159529,-3.3875665626818288,-1997.3302296840882
0.7017666916729182,50292.063133805146,-19176939.733577725,2605999373.1889534,0.0892826102621691,-378.46339964354775,50670.52653344869,31.85745700455093,-3.387479193600526,-1986.5172238656496
0.7017404351087771,60330.76079141455,-22942679.92360027,3731571417.3652844,0.08948516165203327,-377.9143568455547,60708.6751482601,31.709334410528953,-3.3925856465340685,-1979.1356907816285
0.7017141785446361,73716.28543878258,-28001937.419826556,5546098488.571375,0.08968825705118452,-377.92342813353025,74094.2088669161,31.569833614905992,-3.403248376509851,-1975.1560172469158
0.7016879219804951,91769.80751875164,-34824191.72117033,8560994338.913406,0.08989201778443906,-377.91700123444025,92147.72451998608,31.435511198265303,-3.4141420700955627,-1971.317267606201
0.7016616654163541,116489.98074959312,-44110073.92254076,13746355910.730738,0.09009635123191802,-377.436883742339,116867.41763333546,31.305552395596447,-3.4209228459948156,-1965.0271447467571
0.701635408852213,151068.55379597633,-57028081.666421585,23049820272.67348,0.09030114940172294,-376.55940466608445,151445.1132006424,31.107844304669353,-3.4253388779600256,-1957.1421925644731
0.701609152288072,200036.80187921162,-75235079.66504009,40315662424.72312,0.09050633525930254,-375.40168874760275,200412.20356795922,30.91713607069319,-3.427396172325421,-1947.916019906553
0.701582895723931,268717.61762840656,-100609613.32214737,72611596477.17511,0.09071182606692653,-373.8862501120311,269091.5038785186,30.68343158666654,-3.4270472134684593,-1937.1976417261683
0.7015566391597899,359212.48990610277,-133777943.27480008,129568724677.64117,0.09091753566747866,-372.0347626139992,359584.52466871677,30.44379987815801,-3.4239210065639094,-1924.9059358193563
0.7015303825956489,458254.3594549287,-169760706.49053112,210676100785.40915,0.09112339933048413,-370.1518394893501,458624.5112944181,30.21313031619511,-3.4206932322361876,-1912.6738980310593
0.7015041260315078,522127.5706691113,-192519518.34722283,273387278126.21667,0.09132947293267975,-368.46120659730514,522496.0318757086,29.96674817627612,-3.4198963575577244,-1901.8892016341488
0.7014778694673668,504441.97179834836,-185173204.6711528,255202395730.49026,0.09153580602089652,-366.81850282492815,504808.7903011733,29.751113884840322,-3.4194394998513067,-1891.467901643443
0.7014516129032258,420343.78228560666,-153608918.8132416,177303330981.42245,0.09174239218506688,-365.1192505135259,420708.9015361202,29.541847169160057,-3.418659821541182,-1880.9490087854085
0.7014253563390848,322781.82874567626,-117422404.41476402,104657798586.06213,0.09194923242837905,-363.37350391503423,323145.2022495913,29.297031765423014,-3.418265491921658,-1870.611510782187
0.7013990997749437,242024.14539803457,-87644364.20445345,58926264412.46679,0.0921563272141791,-361.59043725251104,242385.73583528708,29.08282962475245,-3.4173286838552777,-1860.1262266661438
0.7013728432108026,182899.27406821464,-65967562.82019327,33716014705.960667,0.09236367923442017,-359.968544449468,183259.24261266412,28.887592853720193,-3.417966521393286,-1850.6551896667017
0.7013465866466616,141007.98148595417,-50683277.02147036,20085983950.829075,0.09257137866817197,-358.52394361351617,141366.50542956768,28.66574059109122,-3.4210291906427233,-1842.5253412394172
0.7013203300825206,111116.10358864184,-39783719.42647988,12505923354.427704,0.09277943189549614,-356.8910976013285,111472.99468624317,28.47452872294007,-3.4220052851864184,-1833.3616264393734
0.7012940735183796,89420.46560027006,-31857257.761700764,8123448699.215885,0.09298773618632496,-354.85540352846874,89775.32100379854,28.2336798872415,-3.4199037462858817,-1822.3982085262567
0.7012678169542386,73359.53140525435,-25983715.743847787,5485555710.973891,0.09319619561266923,-352.5030334828625,73712.03443873722,27.982769652959366,-3.4149214046114036,-1809.8842685150514
0.7012415603900974,61222.13724673842,-21540272.530917913,3834311179.1821475,0.09340470833806501,-349.83890201733084,61571.976148755755,27.694716672184327,-3.407430258606488,-1795.9831915966145
0.7012153038259564,51843.62527814904,-18096702.226371363,2760148290.8866196,0.09361317830704324,-346.74409177110283,52190.36936992014,27.368728139867024,-3.396185353064135,-1780.0219802192294
0.7011890472618154,44483.73718592411,-15395209.392729437,2040383711.5972853,0.0938214668651285,-343.43476783700316,44827.17195376111,27.066991572744804,-3.3823412770534658,-1762.848758583039
0.7011627906976744,38679.69012750505,-13285268.048820022,1549259500.5550916,0.09402959442507842,-340.4718833591978,39020.162010864246,26.751444699392678,-3.372154700900366,-1747.7837159613127
0.7011365341335334,34052.16945294757,-11628153.968338761,1206062860.3256109,0.0942377314382726,-338.1231472359359,34390.29260018351,26.49170860430496,-3.367368488518355,-1735.919615042824
0.7011102775693923,30307.165065058987,-10305824.846560832,959747553.6669753,0.09444605426189014,-336.31380078222537,30643.478865841214,26.27616745678797,-3.36745666067157,-1726.8901387957565
0.7010840210052512,27243.890811155357,-9241783.69822268,779196721.323046,0.09465474039533069,-335.1022883567912,27578.993099512147,26.127608998592475,-3.372728224577225,-1720.883753560392
0.7010577644411102,24711.577407489596,-8375685.382571384,644164799.4966357,0.09486397852439295,-334.41223533252196,25045.98964282212,25.98156593070515,-3.383472286196489,-1717.8174884350187
0.7010315078769692,22561.23101207038,-7640508.783236706,539571179.9129531,0.09507388779567552,-333.7202467419902,22894.95125881237,25.843499711977312,-3.3941782897381465,-1714.738079141925
0.7010052513128282,20694.68755180458,-6994472.24960077,456247981.8652186,0.09528436623319642,-332.6372852375007,21027.324837042084,25.7082556364976,-3.4007927082462115,-1709.5001133372043
0.7009789947486872,19070.44010775968,-6426650.293450035,389388287.0774492,0.09549530601674706,-331.24191429103485,19401.682022050714,25.50861437174077,-3.405136316177457,-1702.899962539166
0.7009527381845461,17648.033703173656,-5926135.955496023,335157637.4103374,0.09570662684616003,-329.63866697974845,17977.672370153407,25.31841981524269,-3.407108217707235,-1695.1097588132743
0.700926481620405,16392.24181050654,-5480026.384148949,290625697.11071455,0.095918243778982,-327.7528782842728,16719.994688790815,25.085235307215996,-3.406681204063974,-1685.9936886890782
0.700900225056264,15275.739309089222,-5080151.259602489,253668816.4776636,0.0961300671596218,-325.62230058511705,15601.361609674339,24.851994782812667,-3.403529334720707,-1675.5231994691571
0.700873968492123,14289.54519837683,-4727688.350936605,223101855.38020077,0.09634203547295314,-323.52465286644565,14613.069851243275,24.62434806186505,-3.400503552615712,-1665.2093238856871
0.700847711927982,13422.019649553837,-4420457.387894206,197832441.0245861,0.09655421083566049,-321.6362104040454,13743.655859957882,24.382137341935938,-3.399837924137063,-1656.13919684217
0.700821455363841,12647.563902193368,-4147296.2848890354,176550057.79962087,0.09676663889275929,-319.8250849873457,12967.388987180713,24.17153206676918,-3.3993928204931074,-1647.3263209733345
0.7007951987996999,11950.457025111593,-3901433.4046257846,158419156.72754216,0.09697931361953795,-318.0050904408017,12268.462115552395,23.963146245605092,-3.3986989566963466,-1638.448684599336
0.7007689422355589,11321.382252981797,-3679546.895673581,142891883.7008255,0.09719223606756197,-316.17853288819606,11637.560785869993,23.72177587667012,-3.3983346604657214,-1629.7079375557016
0.7007426856714178,10749.53780320325,-3478127.006197877,129465071.00728725,0.09740540611141554,-314.36703910341475,11063.904842306663,23.51414792078063,-3.3974812678564668,-1620.863006163217
0.7007164291072768,10234.372558876415,-3298560.472792412,117936623.56505224,0.09761883148387501,-312.7452018295862,10547.117760706002,23.32003237334442,-3.3983931740025595,-1612.9944046229948
0.7006901725431358,9769.255361122741,-3138002.0775837423,107990358.62116039,0.09783260669130717,-311.2928014408408,10080.548162563582,23.100316084341678,-3.4014974916560496,-1606.1999611357473
0.7006639159789947,9335.73729769162,-2987035.6871788767,99104133.64022593,0.09804672641303983,-309.6843051725082,9645.421602864128,22.91161598968327,-3.4022722560382586,-1598.3633564476863
0.7006376594148537,8927.349568107165,-2842040.7906731144,91065733.47387566,0.09826108275085395,-307.74359714806087,9235.093165255226,22.6716922611208,-3.4000262572517466,-1588.94677986294
0.7006114028507127,8542.46912773174,-2703554.9386045146,83787998.55266793,0.09847557632380947,-305.55466420297216,8848.023791934713,22.428197483420362,-3.394881819263183,-1578.1612606040665
0.7005851462865716,8179.3253358615075,-2571052.392952735,77185572.5216769,0.09869010178287754,-303.1033320309134,8482.428667892422,22.142837190773502,-3.387246659355168,-1566.1332692407261
0.7005588897224306,7832.562711868522,-2442227.142907508,71117947.20698321,0.09890455792405982,-300.2915180649311,8132.854229933453,21.828754679841573,-3.375748954918134,-1552.2463580774415
0.7005326331582895,7505.383641236082,-2320132.761519213,65611314.64821105,0.09911880409828897,-297.348754740774,7802.732395976856,21.53951488727884,-3.3620868254369607,-1537.491051766128
0.7005063765941485,7209.711058240911,-2212058.4682262396,60828167.41622624,0.09933288278276306,-294.76520295805767,7504.476261198969,21.23548123009226,-3.352527136515489,-1524.8064066313443
0.7004801200300075,6945.656784827822,-2118974.9484543554,56718047.96644218,0.09954697425743939,-292.740886142858,7238.39767097068,20.9881539158088,-3.3482843448023716,-1514.9234622015347
0.7004538634658665,6708.750949000388,-2038394.6678758282,53160917.96721692,0.0997612601816949,-291.20122772460354,6999.952176724992,20.78022263661243,-3.3488748435798286,-1507.520319822357
0.7004276069017255,6497.38988949712,-1969834.5616545659,50095413.62275766,0.0999759236917087,-290.210734368844,6787.600623865964,20.637502959983387,-3.3547081395333445,-1502.8188485070268
0.7004013503375843,6308.349542573948,-1911144.528789691,47439852.06645171,0.10019116008753304,-289.6549307472201,6598.004473321169,20.48425333991745,-3.365779931126891,-1500.5857266535581
0.7003750937734433,6128.112273196455,-1854889.4679768083,44973317.90480826,0.1004070722131895,-289.0512992293311,6417.163572425787,20.34720199531227,-3.3760414455921555,-1497.9949890660691
