u,x,R,K11,K13,K33,K12,K23,K22,M11,M13,M33,eq46_11,eq46_13,eq46_33,kinetic_residual,kinetic_scaled,projected_residual,projected_scaled,literal_residual,literal_scaled,predicted_residual,prediction_scaled,rank1_scaled,null_quadratic_B1,null_quadratic_B2,alpha7_scaled,m5_minus_shortcut_B1,m5_minus_shortcut_B2,projected_eq47_m5_minus_B1,projected_eq47_m5_minus_B2,m5_plus_shortcut_B1,m5_plus_shortcut_B2,projected_eq47_m5_plus_B1,projected_eq47_m5_plus_B2,leading_eps_power,action_root0,action_root1,action_root2,action_B1,action_B2,vector_factor_remainder,literal_shortcut_B1,literal_shortcut_B2
0.6307426856714179,1.5854325745141415,-0.14660770220935723,2.3439916795706095,25.450565900567614,276.3368617322867,14.818975802160121,569.3730088775479,72.06281647665449,-0.3436472341101268,-3.731248986771056,-40.51311233431544,8.605388055487793e-11,4.3153759555876473e-11,5.26157602923725e-16,-9.094947017729282e-12,8.748644171275012e-16,9.167888492811471e-08,6.015242149013988e-11,11919.945648303592,1.146607702218176,11919.945648211913,7.691216691173601e-12,1.5796388597166656e-15,-973.6361797271165,-144973.52886536648,2.020956386578153e-12,-211.44129732297233,-26321.082234449153,3062.8829519606234,146914.28939040698,-235.8145717963268,-7132.74076310712,4017.0433485929925,82073.84692369652,3,-1104.851569120811,0.9999999999896455,131.2153893945094,-973.6361797263114,-144973.52886531176,-1.4910449408489512e-06,-211.4412978059724,-26321.082237345643
0.6307689422355589,1.5853665788550395,-0.14661002049410532,2.343713064198088,25.448934764840324,276.3342879119439,14.811242798814542,569.2171517586501,72.0389145838268,-0.3436118203947366,-3.7310688473161386,-40.513375613994086,5.923123643679196e-11,2.9549300729694295e-11,1.753847278809977e-16,-5.4569682106375694e-12,5.250560320186238e-16,-6.275536179600749e-08,4.118522202779188e-11,11916.850869699054,1.1466100204880671,11916.85086976181,5.266236365429146e-12,1.7553792871165504e-16,2184.8286233563103,82652.50444004682,1.3933587331715817e-12,2951.3380967589314,202552.35765594704,3059.8596495027605,145979.56830472389,2926.9456854076248,66197.54831059907,4015.130664880505,82339.08486091433,3,1.000000000028405,38.508944048195055,2146.319679307544,2184.8286233557683,82652.50444005626,-2.2856929717818275e-06,2951.33809732434,202552.35765237184
0.6307951987996999,1.585300588690016,-0.14661233706236806,2.3434344904187476,25.447305587689485,276.3317533819941,14.803514746444645,569.0614353573143,72.01502877391712,-0.34357640741735623,-3.7308889440183632,-40.51364416787608,7.132057066317459e-11,3.566162739013144e-11,0.0,-3.637978807091713e-12,3.501288821461384e-16,-7.571270543849096e-08,4.97011023015419e-11,11913.759746375983,1.1466123370550811,11913.759746451695,6.354987640768786e-12,1.7556040586831134e-16,-919.6786023132302,-147924.09905904657,1.8180063384213436e-12,-126.39785201035413,-20136.3847855808,3033.9139127506464,138452.26883944875,-150.81633068136517,-5131.14991724762,3990.1941919515184,83804.87673480439,3,-1059.319310788294,1.0000000000090374,139.64070847439507,-919.6786023138899,-147924.09905909354,1.3285658724271343e-06,-126.397851821913,-20136.38477275017
0.6308214553638409,1.5852346040183856,-0.14661465191389075,2.343155951392111,25.44567776044987,276.32924573542414,14.79579124678192,568.9058318327512,71.99115700466187,-0.3435409941918026,-3.7307091875691283,-40.51391617712723,4.404975008204604e-12,2.074561795128793e-12,8.769119389169891e-16,-1.4551915228366852e-11,1.4008814992061816e-15,4.403318598633632e-09,2.891238908360656e-12,11910.671404908524,1.1466146519143148,11910.671404904118,3.698861454252251e-13,1.2290800809900209e-15,1658.6803848344864,35009.18674127176,2.420139003895505e-13,2469.500132419306,168092.41335974605,3017.569393305492,133531.6667987752,2445.0631751539995,55129.55964564765,3975.3788434075645,84634.49158095055,3,0.9999999999965977,21.382292513174292,1637.2980923213436,1658.6803848345146,35009.18674127159,1.1346924111421686e-07,2469.5001321025175,168092.41337291567
0.630847711927982,1.5851686248394616,-0.14661696504841906,2.3428774433930917,25.44405094625889,276.3267580988854,14.788072079083696,568.7503257708478,71.96729814466653,-0.343505580210718,-3.730529528386302,-40.51419063412722,5.815437959105939e-11,2.907585762056348e-11,3.50762399366099e-16,1.8189894035458565e-12,1.751559233886281e-16,6.169238986331038e-08,4.051744289254217e-11,11907.585361713216,1.1466169650543596,11907.585361651523,5.180970174610207e-12,0.0,40.5098548661767,-85560.17491922133,2.626821305967523e-13,865.508348506776,51878.17681516783,3004.7437546480783,129561.95572691484,841.0376170731238,17928.876086044012,3963.5848146895632,85265.34888609449,3,-272.95222971756203,0.9999999999972963,313.46208458427884,40.509854866714235,-85560.17491919405,-2.3146138516949577e-07,865.5083485800646,51878.17679240867
0.630873968492123,1.5851026511525588,-0.1466192764656988,2.342598962542361,25.442424796758093,276.3242833661013,14.780357015163222,568.5949012575031,71.94345102860397,-0.34347016494234905,-3.730349915205979,-40.514466497040544,1.4823492109232618e-11,7.411308426138403e-12,8.76900027564232e-16,-2.1827872842550278e-11,2.1024198761759044e-15,-1.5718342183390632e-08,1.0325799918070632e-11,11904.501117541338,1.146619276464185,11904.501117557056,1.3203314679737913e-12,1.0537666211317493e-15,1053.5830973775076,-16101.400851215883,3.0070179600135265e-12,1896.2155598015283,126845.98264447282,2988.4703741472867,124460.92624254964,1871.7072257578936,41895.06504591362,3948.3436464820575,85960.6523100832,3,-15.067045984344887,0.9999999999888826,1068.650143361719,1053.5830973773634,-16101.40085121948,-1.9070898815698456e-07,1896.2155599040816,126845.98264512952
0.6309002250562641,1.585036682956991,-0.14662158616547627,2.3423205047764784,25.440798947486936,276.3218141012753,14.772645816584305,568.4395416523711,71.91961443791416,-0.3434347477166992,-3.7301702950059137,-40.51474267565086,4.504773599916548e-12,2.2518938118080256e-12,0.0,-1.0913936421275139e-11,1.051484363642146e-15,4.776438800035976e-09,3.138540255882507e-12,11901.418150746405,1.1466215861659366,11901.418150741629,4.013526886635646e-13,1.5808519678571148e-15,608.5374389894898,-51602.72138536026,1.5037870434522127e-12,1464.6272452321593,95618.41890588726,2976.5602019901826,120606.96842914085,1440.075348942923,31897.134198185187,3937.3681697189677,86442.93357132492,3,-75.4445605578854,1.0000000000003275,683.9819995474151,608.5374389895297,-51602.72138535834,1.7091110748879146e-08,1464.6272446690652,95618.41893001791
0.6309264816204051,1.5849707202520733,-0.146623894147498,2.3420420664828354,25.439173075096743,276.31934370700174,14.764938272118926,568.2842322204201,71.89578729579053,-0.34339932804862966,-3.72999062014297,-40.51501820260152,1.0666761772542136e-11,5.33408440014623e-12,5.261328519268505e-16,1.8189894035458565e-12,1.752931429641654e-16,-1.1305701264063828e-08,7.43066213583778e-12,11898.335998979575,1.1466238941464084,11898.335998990882,9.502873455078085e-13,1.756726717365228e-16,874.6947923310051,-37922.95883705603,2.2659270739024757e-12,1754.1350681558781,116853.97772268133,2954.60911031523,113500.49508086474,1729.5402920692609,38663.67341157474,3916.5210628463697,87115.62387072381,3,-41.39648501712662,0.9999999999981164,916.0912773480342,874.6947923309056,-37922.95883705992,-7.308722160814796e-08,1754.1350690685276,116853.97768541823
0.6309527381845461,1.5849047630371198,-0.14662620041151134,2.341763642700987,25.437546733411473,276.31686307511586,14.75723409080996,568.1289526055082,71.87196811054005,-0.3433639051753061,-3.7298108253959765,-40.51529174233207,4.589786843476112e-11,2.2950337068519024e-11,1.7537643324377085e-16,0.0,0.0,4.8632273319526576e-08,3.1971361480421425e-11,11895.254024018806,1.1466262004161991,11895.254023970174,4.088395304127482e-12,7.027805424420454e-16,686.0231962325598,-52955.663256906,2.1799747701475861e-13,1570.992184079255,103639.61728637497,2951.0242234899797,112132.68591722623,1546.3458160891541,34421.5478799765,3913.8842611796263,87291.74416437691,3,-70.04120686044932,1.0000000000026936,756.0644030934328,686.0231962329865,-52955.66325688739,1.4448482943407726e-07,1570.992183511585,103639.61729576043
0.6309789947486871,1.584838811311445,-0.1466285049572632,2.3414852327025546,25.43591985348664,276.3143707920128,14.749533228432094,567.9736996999793,71.84815665506412,-0.34332847907319486,-3.729630900207484,-40.51556308743969,6.556320749705394e-11,3.271951603927535e-11,7.01501034776808e-16,-1.8189894035458565e-12,1.753847049879919e-16,-6.930895324330777e-08,4.557560902707981e-11,11892.172127846241,1.1466285049505804,11892.172127915554,5.8284214588024045e-12,3.51435222460318e-16,1203.1551780906545,-7480.194159794756,2.5317134976469074e-13,2057.303250588262,139130.26306561913,2984.6320189097055,122509.18737159214,2032.6056189180433,45701.65796365978,3948.292036011613,86513.7109859486,3,-6.185349773145266,0.9999999998876764,1209.3405278633068,1203.1551780900495,-7480.194159809711,-9.752325240697246e-07,2057.3032504220546,139130.26309743372
