u,x,leading_power,root0,root1,root2
0.70612528132033,1.4161792906354749,1,-789.4312404460325,0.05908308010538066,4628.751547189209
0.706099024756189,1.416231951807741,3,-743.7810846742154,0.05924333283564769,7021.263843777364
0.706072768192048,1.4162846168966048,3,-798.7422793176586,0.05940392395140067,7066.019983498556
0.706046511627907,1.4163372859025032,1,-788.8632022556909,0.05956479113370341,4834.44302570317
0.7060202550637659,1.4163899588258737,1,-788.4681615163345,0.05972586459210715,4901.888925723067
0.7059939984996249,1.416442635667152,1,-787.6773629497342,0.059887146366589455,4974.335747763085
0.7059677419354838,1.4164953164267764,3,-793.6292080123834,0.060048698877270795,7815.2299548218225
0.7059414853713428,1.416548001105184,3,-824.563377447843,0.060210525811822665,8028.70092447776
0.7059152288072018,1.4166006897028114,1,-783.5632435076081,0.0603726272766528,5211.835265295522
0.7058889722430608,1.4166533822200966,3,-820.8672579776244,0.06053500415358475,8524.189480937912
0.7058627156789197,1.4167060786574772,3,-776.3306402069427,0.06069765191943799,8874.065138036665
0.7058364591147787,1.41675877901539,1,-777.3293027350256,0.06086060143711652,5474.644243836425
0.7058102025506376,1.4168114832942726,3,-730.0597101794114,0.061023915799973176,9594.811782747158
0.7057839459864966,1.4168641914945632,3,-847.3956113768137,0.06118755775531013,9803.776060755456
0.7057576894223556,1.4169169036166989,1,-769.4858535717067,0.06135144801508392,5757.82053833892
0.7057314328582145,1.416969619661118,1,-766.8888607234038,0.061515512669223296,5848.31101831541
0.7057051762940735,1.4170223396282575,1,-764.2918687696872,0.06167967461212921,5936.888062372123
0.7056789197299325,1.417075063518556,1,-761.7661841107031,0.061843854052753854,6021.35754060621
0.7056526631657914,1.417127791332451,1,-759.1678242410017,0.062007952732172966,6105.766145911634
0.7056264066016504,1.417180523070381,3,-1043.706782495236,0.06217202562292754,12318.585227915919
0.7056001500375093,1.4172332587327832,3,-812.4629389269148,0.062336210506805975,13199.519751937592
0.7055738934733683,1.4172859983200965,3,-646.2324087259686,0.06250064315206347,14234.475216762054
0.7055476369092273,1.4173387418327583,1,-745.1698425546477,0.06266546118575682,6541.112149080152
0.7055213803450863,1.4173914892712076,3,-450.1740906830419,0.06283081260462811,16736.16092027954
0.7054951237809453,1.4174442406358827,3,-519.1303175330535,0.06299677463938227,17600.008724893527
0.7054688672168041,1.417496995927222,3,-611.1773382172414,0.06316325534701281,18570.321654809683
0.7054426106526631,1.4175497551456633,3,-618.0931956851924,0.06333017695710746,19786.23579047252
0.7054163540885221,1.4176025182916454,3,-764.1632272088887,0.06349747601060021,21127.282704940186
0.7053900975243811,1.4176552853656073,3,-783.5557513847809,0.06366508638150793,22622.522708941688
0.7053638409602401,1.4177080563679871,3,-928.0635605022683,0.06383293778807825,24403.489241664007
0.705337584396099,1.4177608312992245,1,-714.8544100906618,0.0640009797358939,7553.522102832485
0.7053113278319579,1.4178136101597567,3,-756.0092115056121,0.06416925915934726,29434.767740618943
0.7052850712678169,1.4178663929500237,1,-708.1908940276553,0.06433781714304657,7801.568440995612
0.7052588147036759,1.4179191796704642,1,-705.0156034635563,0.06450664823958788,7925.790910290608
0.7052325581395349,1.4179719703215168,1,-701.9497729621861,0.06467575351126942,8050.424769512549
0.7052063015753938,1.4180247649036213,3,-747.6822326473549,0.06484513407526926,45354.30778005739
0.7051800450112528,1.418077563417216,1,-696.2261686615022,0.06501478797388481,8299.406849157112
0.7051537884471117,1.4181303658627404,3,-616.2993559022028,0.06518478472838193,59886.24717396441
0.7051275318829707,1.4181831722406335,3,-726.8552859170219,0.06535514502208024,69262.30412825094
0.7051012753188297,1.418235982551335,3,-820.9302495760375,0.06552579061089199,81118.58025182279
0.7050750187546886,1.4182887967952846,3,-940.8603636896113,0.06569664459477888,96604.25387408663
0.7050487621905476,1.4183416149729209,3,-1062.6166992760518,0.0658676258881384,117229.92560111934
0.7050225056264066,1.4183944370846835,3,-1303.0686265276015,0.06603865848881582,145421.88653226537
0.7049962490622655,1.4184472631310123,1,-682.8497528298745,0.06620963312811798,9069.625026214402
0.7049699924981245,1.4185000931123466,3,-1100.5540395998382,0.06638052111919927,253104.1263855075
0.7049437359339834,1.4185529270291268,3,-804.01289462466,0.06655144398568033,364165.7301764552
0.7049174793698424,1.4186057648817918,3,-643.9906309673268,0.06672254604101936,566534.9752237792
0.7048912228057014,1.4186586066707818,1,-680.5189748152634,0.0668939709528181,9462.478476351278
0.7048649662415604,1.4187114523965367,1,-680.4002145280106,0.0670658671469988,9579.325632677543
0.7048387096774194,1.4187643020594969,3,-401.67498075685126,0.06723837059432634,4541636.879702837
0.7048124531132783,1.4188171556601012,3,-493.1463799213175,0.06741146009561955,5842889.286405569
0.7047861965491372,1.418870013198791,1,-682.3087934284317,0.0675850227478566,9897.289725247001
0.7047599399849962,1.4189228746760056,1,-683.8744720063935,0.06775899777012187,9981.421688380793
