u,x,L,mode,root_re,root_im,psi_coordinate_weight,scalar_coordinate_weight,vector_coordinate_weight,positive
0.7075431357839459,1.4133413913937796,6,2,472.95907469687165,0.0,0.9951087866845221,0.004885775516298821,5.4377991790720685e-06,True
0.7075168792198049,1.4133938417168548,6,0,-21282.89708427118,0.0,0.9931622735673732,0.006837579433003449,1.469996233878572e-07,False
0.7075168792198049,1.4133938417168548,6,1,37.4688307140204,0.0,0.9976212167688187,0.0023064424187541955,7.234081242710864e-05,True
0.7075168792198049,1.4133938417168548,6,2,241.98160994710753,0.0,0.9626502519861219,0.037330455065282174,1.9292948595895435e-05,True
0.7074906226556639,1.4134462959330285,6,0,-22995.866931924935,0.0,0.993139111223668,0.006860739871545042,1.489047869468859e-07,False
0.7074906226556639,1.4134462959330285,6,1,-192.66289282136526,0.0,0.9997084145244101,0.0002653025496377164,2.6282925952201948e-05,False
0.7074906226556639,1.4134462959330285,6,2,193.3849691938685,0.0,0.6082007671532726,0.3909138919087023,0.0008853409380250805,True
0.7074643660915229,1.4134987540427335,6,0,-24546.5407808635,0.0,0.9931549216077707,0.006844932180608985,1.4621162019819677e-07,False
0.7074643660915229,1.4134987540427335,6,1,-443.0441028593347,0.0,0.9994134559290877,0.0005605496512226375,2.5994419689542768e-05,False
0.7074643660915229,1.4134987540427335,6,2,190.35015508717404,0.0,0.5205070726202871,0.4783086179449959,0.0011843094347169965,True
0.7074381095273818,1.4135512160464043,6,0,-26008.195261312463,0.0,0.9931622674233831,0.006837587924416705,1.4465220012761142e-07,False
0.7074381095273818,1.4135512160464043,6,1,-653.8030134278788,0.0,0.9988908070848413,0.0010857281799440137,2.3464735214628847e-05,False
0.7074381095273818,1.4135512160464043,6,2,179.84271964171236,0.0,0.3034375743652663,0.6945770295034461,0.0019853961312875676,True
0.7074118529632408,1.413603681944474,6,0,-27469.269679665627,0.0,0.9931556173614781,0.006844236735801926,1.4590271998108522e-07,False
0.7074118529632408,1.413603681944474,6,1,-943.6130871507647,0.0,0.9987050421547873,0.0012723027898440978,2.2655055368570747e-05,False
0.7074118529632408,1.413603681944474,6,2,189.61163039875365,0.0,0.27083527469905316,0.7269621390760618,0.0022025862248850644,True
0.7073855963990997,1.413656151737376,6,0,-28712.78898729254,0.0,0.9931701935518147,0.006829662006602182,1.4444158321252037e-07,False
0.7073855963990997,1.413656151737376,6,1,-1150.5788632302247,0.0,0.9984162136685951,0.001560555946332935,2.3230385071875133e-05,False
0.7073855963990997,1.413656151737376,6,2,177.62411386227026,0.0,0.25915342816672604,0.738531455739313,0.002315116093961016,True
0.7073593398349587,1.4137086254255444,6,0,-29725.296708222082,0.0,0.993260117564809,0.006739751017016444,1.31418174573625e-07,False
0.7073593398349587,1.4137086254255444,6,1,-1099.9956501971217,0.0,0.9973686369786072,0.0026021683054755374,2.9194715917259247e-05,False
0.7073593398349587,1.4137086254255444,6,2,189.8820063281376,0.0,0.287430907889768,0.7103706351327077,0.002198456977524299,True
0.7073330832708177,1.4137611030094128,6,0,-30770.308660975617,0.0,0.9933508428495375,0.006649038624915867,1.1852554661675563e-07,False
0.7073330832708177,1.4137611030094128,6,1,-992.1783639370327,0.0,0.9958704838278057,0.004091809085880184,3.770708631413086e-05,False
0.7073330832708177,1.4137611030094128,6,2,194.00424901913198,0.0,0.3292913280817622,0.6686933589399222,0.0020153129783155384,True
0.7073068267066767,1.413813584489415,6,0,-31903.538491416,0.0,0.9933901966416192,0.006609689508921276,1.1384945951483663e-07,False
0.7073068267066767,1.413813584489415,6,1,-1078.3243809951555,0.0,0.9951598091803708,0.004797080960366199,4.310985926291025e-05,False
0.7073068267066767,1.413813584489415,6,2,193.64326552047882,0.0,0.38312461995112684,0.6150638333556895,0.0018115466931837715,True
0.7072805701425356,1.413866069865985,6,0,-32994.14416270495,0.0,0.9934322602788671,0.006567631229579986,1.084915529574894e-07,False
0.7072805701425356,1.413866069865985,6,1,-1088.161456339323,0.0,0.9936945502202825,0.006259041553431668,4.640822628572502e-05,False
0.7072805701425356,1.413866069865985,6,2,194.92059408152957,0.0,0.344005338194371,0.6539921854421695,0.002002476363459481,True
0.7072543135783946,1.4139185591395569,6,0,-34076.730854380134,0.0,0.9934694689070335,0.006530426913189501,1.0417977711904455e-07,False
0.7072543135783946,1.4139185591395569,6,1,-1143.9330596354578,0.0,0.9926448283310547,0.00730327807024048,5.189359870484994e-05,False
0.7072543135783946,1.4139185591395569,6,2,205.2567134200384,0.0,0.37092727254576485,0.6271706780932422,0.0019020493609928808,True
0.7072280570142535,1.4139710523105646,6,0,-35066.074864372735,0.0,0.9935036318466209,0.006496267454905585,1.0069847338457587e-07,False
0.7072280570142535,1.4139710523105646,6,1,-1179.7745875084738,0.0,0.9914061251352742,0.008537783559083693,5.609130564207956e-05,False
0.7072280570142535,1.4139710523105646,6,2,197.6019377672143,0.0,0.36432123390210197,0.6337381696696924,0.0019405964282056232,True
0.7072018004501125,1.4140235493794422,6,0,-36026.620535739996,0.0,0.9935763587862623,0.006423549525349686,9.168838804566284e-08,False
0.7072018004501125,1.4140235493794422,6,1,-1006.2080101027451,0.0,0.988747765550748,0.011179559333673764,7.267511557829585e-05,False
0.7072018004501125,1.4140235493794422,6,2,208.74090949084245,0.0,0.4094387392100096,0.5888640841244225,0.0016971766655678416,True
0.7071755438859715,1.4140760503466236,6,0,-37084.73800201255,0.0,0.9936312821428938,0.00636863270277152,8.515433468926081e-08,False
0.7071755438859715,1.4140760503466236,6,1,-873.4321943471605,0.0,0.9858604481290374,0.014052556350522162,8.699552044044896e-05,False
0.7071755438859715,1.4140760503466236,6,2,218.23392651204597,0.0,0.4189628536132181,0.5794062013945842,0.0016309449921975323,True
0.7071492873218305,1.4141285552125435,6,0,-38152.680095366435,0.0,0.9936238774405379,0.006376035448388973,8.711107313287566e-08,False
0.7071492873218305,1.4141285552125435,6,1,-1131.9871742005644,0.0,0.9864172790734488,0.013501511044429974,8.120988212125658e-05,False
0.7071492873218305,1.4141285552125435,6,2,209.13782165902379,0.0,0.41405531485344405,0.5842360449611144,0.0017086401854416362,True
0.7071230307576895,1.4141810639776362,6,0,-39321.37061554046,0.0,0.9936055356991119,0.006394374397075285,8.990381293887058e-08,False
0.7071230307576895,1.4141810639776362,6,1,-1392.1080541744645,0.0,0.9862944792472484,0.013638017780474946,6.750297227663436e-05,False
0.7071230307576895,1.4141810639776362,6,2,212.10060800100692,0.0,0.3302726028491813,0.6675080887910342,0.0022193083597844897,True
0.7070967741935483,1.414233576642336,6,0,-40406.84051548086,0.0,0.9935959599710181,0.006403947982068675,9.204691320202385e-08,False
0.7070967741935483,1.414233576642336,6,1,-1694.5852306789534,0.0,0.9875627597756057,0.012371206963754825,6.603326063938056e-05,False
0.7070967741935483,1.414233576642336,6,2,213.89006025909575,0.0,0.37065985728432166,0.6272770920331906,0.00206305068248778,True
0.7070705176294073,1.4142860932070769,6,0,-41450.319111231,0.0,0.9935881321232807,0.006411774298739596,9.357797977887008e-08,False
0.7070705176294073,1.4142860932070769,6,1,-1882.4745488144022,0.0,0.9872698640034927,0.012671673933225073,5.846206328211099e-05,False
0.7070705176294073,1.4142860932070769,6,2,208.32996700592003,0.0,0.2975117633917416,0.6999671472040458,0.002521089404212506,True
0.7070442610652663,1.4143386136722935,6,0,-42617.23247377793,0.0,0.9935620830124772,0.006437819368745755,9.761877706817834e-08,False
0.7070442610652663,1.4143386136722935,6,1,-2275.004760801699,0.0,0.9889647991198689,0.010981383692541547,5.381718758966585e-05,False
0.7070442610652663,1.4143386136722935,6,2,220.96918520304015,0.0,0.32203949650494634,0.67550000124879,0.0024605022462636642,True
0.7070180045011253,1.4143911380384209,6,0,-43693.184556862165,0.0,0.9935584477644009,0.0064414537725375354,9.846306144904087e-08,False
0.7070180045011253,1.4143911380384209,6,1,-2484.978032873337,0.0,0.9892040234214233,0.010744313474573967,5.1663104002771323e-05,False
0.7070180045011253,1.4143911380384209,6,2,204.51231082918417,0.0,0.31605296838085356,0.6813980864199543,0.002548945199192271,True
0.7069917479369843,1.4144436663058932,6,0,-44582.48792389149,0.0,0.9936307026610325,0.006369208331492251,8.900747522828707e-08,False
