u,x,R,K11,K13,K33,K12,K23,K22,M11,M13,M33,eq46_11,eq46_13,eq46_33,kinetic_residual,kinetic_scaled,projected_residual,projected_scaled,literal_residual,literal_scaled,predicted_residual,prediction_scaled,rank1_scaled,null_quadratic_B1,null_quadratic_B2,alpha7_scaled
0.6709939984996249,1.4903262953708207,-0.1481302563511909,2.010820580154335,25.836205415427635,331.9587619383424,9.121879302723856,513.2014340941214,52.66598760454242,-0.29786336348174736,-3.8271237605365234,-49.17313650395064,1.5217597079282524e-08,7.631632246461754e-09,5.779926083852831e-16,-1.8189894035458565e-12,1.777903839564777e-16,1.4989176861490705e-05,9.890360095917027e-09,11746.623897102192,1.1481302578162524,11746.623882113014,1.2760414042714142e-09,3.406298666095177e-16,-10581887.871217629,-149977974082.86023,2.7750870096818683e-12
0.671020255063766,1.4902679799210703,-0.1481300440091192,2.0107319737744254,25.84168279367773,332.1141645524836,9.123785078663712,513.4199351568736,52.66980153399756,-0.29784981916920994,-3.8279295876070094,-49.19608581121125,1.142676951947234e-08,5.718540632216868e-09,0.0,5.4569682106375694e-12,5.330373521075521e-16,-1.1238850902373088e-05,7.411139310664114e-09,11753.977692318987,1.1481300429113068,11753.977703557837,9.561741606930902e-10,0.0,12215086.99473245,171792613506.48044,8.820189404335343e-13
0.671046511627907,1.4902096690348294,-0.1481298304851131,2.0106435899565183,25.847168222362427,332.26978090609776,9.125698713632241,513.6388574521158,52.67363329521695,-0.29783629336304834,-3.8287366523405284,-49.21906632094593,2.6295987853894473e-09,1.3168259768906462e-09,1.4436331057700655e-16,-3.637978807091713e-12,3.551355548216947e-16,2.589654741314007e-06,1.7066062423581407e-09,11761.345591295216,1.1481298307379124,11761.34558870556,2.2018358154342548e-10,1.7017048933673361e-16,-14602044.158822177,-208165791836.57837,1.2438920983529116e-12
0.671072768192048,1.4901513627115612,-0.1481296157805011,2.0105554059048565,25.852659115331456,332.42554836867754,9.12761912179489,513.8580993175245,52.67747725243272,-0.29782279991035926,-3.8295444608319165,-49.24206875547457,4.3067036993435827e-10,2.157963230564593e-10,4.328876225459785e-16,-1.8189894035458565e-12,1.7745641685346738e-16,-4.246521712047979e-07,2.796745780932458e-10,11768.724072970836,1.1481296157390728,11768.72407339549,3.608326506304783e-11,5.102946341337869e-16,14627005.296959428,202783730964.73212,3.2338813661268434e-13
0.671099024756189,1.490093060950731,-0.1481293998966125,2.010467379490674,25.858150672189847,332.58135048929034,9.129544284941904,514.0774717602781,52.681322964988965,-0.2978093264357356,-3.830352341507594,-49.265075864783526,2.2498274428818662e-13,1.9593778789321414e-14,1.4422848707475997e-16,1.8189894035458565e-12,1.7734513313347868e-16,-3.842615114990622e-11,2.5291508235769293e-14,11776.106710182654,1.1481293998966087,11776.106710182692,3.243752660752713e-15,1.0201558243656373e-15,-8006353.774186321,-116545779045.12926,1.308164100220482e-12
0.6711252813203301,1.4900347637518023,-0.14812918283477935,2.0103795211801074,25.863644056082148,332.73721544231,9.131474693779776,514.2970206849899,52.685172963603485,-0.2977958755514944,-3.8311604598547686,-49.28809182218929,3.649811810868e-10,1.821176344825239e-10,4.324834109971873e-16,-1.8189894035458565e-12,1.7723390265114606e-16,3.588372692320263e-07,2.360334462535096e-10,11783.495066700321,1.1481291828697429,11783.495066341484,3.045255202930088e-11,0.0,-467331.01297968015,-7410791885.129018,1.640567825045597e-12
0.6711515378844711,1.489976471114241,-0.14812896459633418,2.0102918849361213,25.869145377529687,332.8932915555347,9.133412921720906,514.5169870194443,52.689040517633664,-0.2977824560224879,-3.8319697160998993,-49.31113859918693,1.9157853560496063e-09,9.565883488947442e-10,2.8818751947123596e-16,-5.4569682106375694e-12,5.313678056029689e-16,-1.8860209820559248e-06,1.2397963313221345e-09,11790.89736797792,1.1481289644126844,11790.897369863942,1.5995583218846148e-10,0.0,7136882.976174338,100730086858.04527,1.0292704155321735e-12
0.6711777944486121,1.4899181830375106,-0.14812874518261254,2.0102045232628853,25.874660594315856,333.0497236093861,9.135361475801751,514.7376058207258,52.69293855156458,-0.29776907132014047,-3.8327810204692345,-49.33423764167428,7.627395912795331e-09,3.811132151598984e-09,2.880525856793136e-16,0.0,0.0,7.5188936534686945e-06,4.939522345432658e-09,11798.321663276065,1.1481287459142977,11798.321655757172,6.372849426014213e-10,0.0,-11437853.666212168,-162758360552.6271,4.457193412322406e-13
0.6712040510127532,1.4898598995210766,-0.14812852459495074,2.0101174887387683,25.88019567795187,333.2066568652806,9.137322867775184,514.9591128208301,52.69688000318391,-0.2977557377642456,-3.8335952027472766,-49.35741046667001,3.530937092720907e-10,1.9398113419210355e-10,2.879173477870822e-16,-1.0913936421275139e-11,1.0613958567633854e-15,3.829488832707284e-07,2.5141899071653083e-10,11805.775989647176,1.148128524632193,11805.77598926423,3.2437205525169645e-11,6.789457379986501e-16,13043419.279660923,179761621156.9947,1.300808294527204e-12
0.6712303075768942,1.4898016205644036,-0.14812830283468703,2.0100308357113112,25.88575681668098,333.36424201433687,9.13929969790222,515.1817524549083,52.70087826977745,-0.29774245919120346,-3.8344132064776133,-49.380679395355614,9.578409743913123e-09,4.79050387000614e-09,4.316725151174785e-16,1.8189894035458565e-12,1.7678707414680095e-16,-9.46325690165395e-06,6.209018049219243e-09,11813.268731175467,1.1481283019149557,11813.268740638721,8.010699139193699e-10,8.483175602242895e-16,-17510346.27651585,-252485031754.10962,1.0847118636458374e-12
