u,x,bestK_grid,lambda_grid
0.6138859714928732,1.628967017389498,0.5508655978091991,150.0
0.6139122280570143,1.628897347695654,1.2099028979035658,150.0
0.6139384846211553,1.628827683960996,0.6390037320956581,150.0
0.6139647411852963,1.6287580261847596,0.9941619770765966,150.0
0.6139909977494373,1.62868837436618,0.901227727524716,150.0
0.6140172543135783,1.6286187285044933,0.8484383387838986,150.0
0.6140435108777195,1.6285490885989349,1.0492567263069044,150.0
0.6140697674418605,1.6284794546487409,0.7017940938786587,150.0
0.6140960240060015,1.6284098266531477,1.1048749757883285,150.0
0.6141222805701425,1.628340204611391,0.8466216040202089,150.0
0.6141485371342835,1.628270588522708,0.9132856501457536,150.0
0.6141747936984245,1.6282009783863345,0.9915723510544009,150.0
0.6142010502625657,1.628131374201507,0.877095541460311,150.0
0.6142273068267067,1.6280617759674632,1.0437824959026805,150.0
0.6142535633908477,1.6279921836834392,0.8396583423287753,150.0
0.6142798199549887,1.6279225973486724,1.0017547652560836,150.0
0.6143060765191297,1.6278530169623997,1.031108881143148,150.0
0.6143323330832708,1.627783442523858,0.8348788053057427,150.0
0.6143585896474119,1.6277138740322856,1.0768622893909547,150.0
0.6143848462115529,1.6276443114869197,0.9053298447701648,150.0
0.6144111027756939,1.627574754886998,1.045716764706273,150.0
0.6144373593398349,1.627505204231758,0.961900871548592,150.0
0.614463615903976,1.6274356595204376,0.9154312341952071,150.0
0.614489872468117,1.6273661207522754,1.1962156455146946,150.0
0.614516129032258,1.627296587926509,0.7776194746797125,150.0
0.6145423855963991,1.6272270610423776,1.167425797879065,150.0
0.6145686421605401,1.6271575400991187,0.9453610143107956,150.0
0.6145948987246812,1.6270880250959712,1.066032978988487,150.0
0.6146211552888222,1.6270185160321742,1.0748199082731862,150.0
0.6146474118529632,1.626949012906966,0.8529012798862509,150.0
0.6146736684171042,1.626879515719586,1.334458373606412,150.0
0.6146999249812453,1.6268100244692731,0.7280877275638346,150.0
0.6147261815453864,1.6267405391552665,1.2380449060459198,150.0
0.6147524381095274,1.6266710597768057,0.9694161324311193,150.0
0.6147786946736684,1.62660158633313,1.0756576014390944,150.0
0.6148049512378094,1.6265321188234791,1.1532356860890316,150.0
