A0,A1,A2,A3,vend,vend_err,minK,uK,minA7,maxA6,minOdd,minCrT,max_df4,f4min,f4max,f2Y_needed_maxabs
-12.25,0,0,0,-4.669507168213636,-25.348486368232564,-125.74166451416133,0.6617516879219805,2.0015301172172646,-0.33302686564613804,0.6609406256356698,1.00239074950388,12.25,-13.34770308675864,-0.8432335872625503,168.80631821425567
-12.0,0,0,0,-4.522835731822055,-25.201814931840985,-122.99908205761521,0.6617516879219805,2.0015301172172646,-0.33302686564613804,0.6609078277689907,1.00243562242544,12.0,-13.097707500269278,-0.8432335872625503,165.4739350772008
-11.75,0,0,0,-4.376164295435998,-25.055143495454928,-120.25649960109934,0.6617516879219805,2.0015301172172646,-0.33302686564613804,0.6608746514719426,1.0024822103663606,11.75,-12.847711913779916,-0.8432335872625503,162.14155194015848
-11.5,0,0,0,-4.229492859041677,-24.908472059060607,-117.51391714453817,0.6617516879219805,2.0015301172172646,-0.33302686564613804,0.6608407035341052,1.0025306136919667,11.5,-12.597716327290556,-0.8432335872625503,158.80916880309744
-11.25,0,0,0,-4.082821422649677,-24.761800622668606,-114.77133468798955,0.6617516879219805,2.0015301172172646,-0.33302686564613804,0.6608064074397072,1.0025809402031658,11.25,-12.347720740801195,-0.8432335872625503,155.47678566604154
-11.0,0,0,0,-3.936149986259572,-24.6151291862785,-112.02876298689681,0.6617254313578395,2.0015301172172646,-0.33302686564613804,0.6607715061400472,1.0026333074150209,11.0,-12.097725154311833,-0.8432335872625503,152.14440252899013
-10.75,0,0,0,-3.7894785498681998,-24.46845774988713,-109.2862082851119,0.6617254313578395,2.0015301172172646,-0.33302686564613804,0.6607359519273914,1.0026878396851728,10.75,-11.847729567822471,-0.8432335872625503,148.81201939193565
-10.5,0,0,0,-3.6428071134844635,-24.32178631350339,-106.54365358336867,0.6617254313578395,2.0015301172172646,-0.33302686564613804,0.6606999715770452,1.0027446752274658,10.5,-11.59773398133311,-0.8432335872625503,145.47963625489854
-10.25,0,0,0,-3.496135677092036,-24.175114877110964,-103.80109888157814,0.6617254313578395,2.0015301172172646,-0.33302686564613804,0.6606632752562795,1.002803961830876,10.25,-11.34773908843695,-0.8432335872625503,142.1472555402118
-10.0,0,0,0,-3.349464240707894,-24.028443440726825,-101.05854417983277,0.6617254313578395,2.0015301172172646,-0.33302686564613804,0.6606258885831396,1.0028658604833867,10.0,-11.097745984530201,-0.8432335872625503,138.81489575562784
-9.75,0,0,0,-3.2027928043106684,-23.881772004329598,-98.31598947801619,0.6617254313578395,2.0015301172172646,-0.33302686564613804,0.6605879498400667,1.0029305476052837,9.75,-10.847752880623453,-0.8432335872625503,135.4825359710141
-9.5,0,0,0,-3.0561213679197943,-23.735100567938723,-95.57343477623402,0.6617254313578395,2.0015301172172646,-0.33302686564613804,0.6605493865336916,1.0029982162851279,9.5,-10.597759776716707,-0.8432335872625503,132.15017618641477
-9.25,0,0,0,-2.9094499315298243,-23.588429131548754,-92.83091044985228,0.6616991747936984,2.0015301172172646,-0.33302686564613804,0.6520477054654239,1.0030690774381696,9.25,-10.347766672809959,-0.8432335872625503,128.8178164018175
-9.0,0,0,0,-2.762778495141627,-23.441757695160558,-90.08838823991756,0.6616991747936984,2.0015301172172646,-0.33302686564613804,0.6125437122605045,1.003143362464905,9.0,-10.09777356890321,-0.8432335872625503,125.48545661722433
-8.75,0,0,0,-2.616107058749043,-23.295086258767974,-87.34586602995863,0.6616991747936984,2.0015301172172646,-0.33302686564613804,0.5753639249952508,1.0032213254774338,8.75,-9.847780464996463,-0.8432335872625503,122.15309683262112
-8.5,0,0,0,-2.469435622356479,-23.148414822375408,-84.60334381999994,0.6616991747936984,2.0015301172172646,-0.33302686564613804,0.5405117239886987,1.0033032464740919,8.5,-9.597787361089717,-0.8432335872625503,118.82073704801796
-8.25,0,0,0,-2.3227641859709522,-23.001743385989883,-81.86082661187409,0.6616729182295573,2.0015301172172646,-0.33302686564613804,0.5079887023945245,1.0033894334486688,8.25,-9.347796902434428,-0.8432335872625503,115.4883772634308
-8.0,0,0,0,-2.1760927495772,-22.85507194959613,-79.11834163238123,0.6616729182295573,2.0015301172172646,-0.33302686564613804,0.47779791071190103,1.003480227261256,7.999999999999999,-9.09780683277858,-0.8432335872625503,112.15601747882498
-7.75,0,0,0,-2.0294213131905816,-22.70840051320951,-76.37585665292714,0.6616729182295573,2.0015301172172646,-0.33302686564613804,0.4499409643138882,1.0035760068614512,7.749999999999999,-8.847816763122731,-0.8432335872625503,108.82365769423531
-7.5,0,0,0,-1.8827498767964916,-22.56172907681542,-73.63337167343238,0.6616729182295573,2.0015301172172646,-0.33302686564613804,0.424419367586531,1.0036771931344954,7.499999999999999,-8.597826693466882,-0.8432335872625503,105.49132051455652
-7.25,0,0,0,-1.7360784404061085,-22.415057640425037,-70.89090462635492,0.6616466616654163,2.0015301172172646,-0.33302686564613804,0.4012347432660537,1.003784253542562,7.249999999999999,-8.347836623811034,-0.8432335872625503,102.15899210210442
-7.0,0,0,0,-1.5894070040179495,-22.26838620403688,-68.14846161755716,0.6616466616654163,2.0015301172172646,-0.33302686564613804,0.3803885371139775,1.0038977141853185,6.999999999999999,-8.097849167065416,-0.8432335872625503,98.82666368965737
-6.75,0,0,0,-1.4427355676252522,-22.121714767644182,-65.40601860873448,0.6616466616654163,2.0015301172172646,-0.33302686564613804,0.36188229469146926,1.0040181630627858,6.75,-7.8478626833187075,-0.8432335872625503,95.49433527719998
-6.5,0,0,0,-1.2960641312364651,-21.975043331255396,-62.66359795681661,0.6616204051012753,2.0015301172172646,-0.33302686564613804,0.3457164771280804,1.00414626485626,6.5,-7.597876199571998,-0.8432335872625503,92.16200686475153
-6.25,0,0,0,-1.149392694845627,-21.828371894864556,-59.92120166040218,0.6616204051012753,2.0015301172172646,-0.33302686564613804,0.33189192832049486,1.0042827739699174,6.25,-7.347889715825289,-0.8432335872625503,88.82967845229837
-6.0,0,0,0,-1.0027212584548422,-21.68170045847377,-57.17880835040552,0.6615941485371343,2.0015301172172646,-0.33302686564613804,0.32040864826894105,1.0044285476576689,6.0,-7.097907141426994,-0.8432335872625503,85.49736937346924
-5.75,0,0,0,-0.8560498220664691,-21.5350290220854,-54.43646350966247,0.6615941485371343,2.0015301172172646,-0.33302686564613804,0.31126616306042104,1.0045845539902858,5.75,-6.847924795235796,-0.8432335872625503,82.16508051247037
-5.5,0,0,0,-0.7093783856730882,-21.388357585692017,-51.69412085857634,0.6615678919729933,2.0015301172172646,-0.33302686564613804,0.30446340592050863,1.0047518935649786,5.5,-6.597942632821919,-0.8432335872625503,78.83279165146013
-5.25,0,0,0,-0.562706949283237,-21.241686149302165,-48.95183221825795,0.6615678919729933,2.0015301172172646,-0.33302686564613804,0.29999840354384705,1.004931805846347,5.25,-6.347964975818906,-0.8432335872625503,75.50050279045786
-5.0,0,0,0,-0.4160355128919941,-21.095014712910924,-46.20956453252622,0.6615416354088521,2.0015301172172646,-0.33302686564613804,0.2978691687847344,1.005069401853415,5.0,-6.097987318815893,-0.8432335872625503,72.16823214337761
