c,minK,uK,minA4,uA4,minA7,minOdd,uOdd,minCrT,minCrV,maxv,v_start,v_end
-467.5,-3920.3668144695093,0.6955963990997749,559.5949199426893,0.7099849962490622,2.0015301172172646,11770.591781058227,0.6186121530382596,1.005069401853415,259.90278364209627,651.6029083970735,-467.5,-651.6029083970735
-465.0,-3899.5216132633764,0.695622655663916,556.703113593806,0.7099849962490622,2.0015301172172646,11645.083043903322,0.6186121530382596,1.005069401853415,258.5016419386635,648.1288412907281,-465.0,-648.1288412907281
-462.5,-3878.6764407449987,0.695622655663916,553.8113072449224,0.7099849962490622,2.0015301172172646,11520.247051369792,0.6186121530382596,1.005069401853415,257.10050140796193,644.6547741843826,-462.5,-644.6547741843826
-460.0,-3857.831268226621,0.695622655663916,550.9195008960389,0.7099849962490622,2.0015301172172646,11396.083803457634,0.6186121530382596,1.005069401853415,255.69936206894974,641.1807070780371,-460.0,-641.1807070780371
-457.5,-3836.986095708244,0.695622655663916,548.0276945471556,0.7099849962490622,2.0015301172172646,11272.593300166847,0.6186121530382596,1.005069401853415,254.29822394099605,637.7066399716917,-457.5,-637.7066399716917
-455.0,-3816.1409231898665,0.695622655663916,545.1358881982721,0.7099849962490622,2.0015301172172646,11149.775541497436,0.6186121530382596,1.005069401853415,252.89708704389233,634.2325728653462,-455.0,-634.2325728653462
-452.5,-3795.295750671489,0.695622655663916,542.2440818493887,0.7099849962490622,2.0015301172172646,11027.630527449399,0.6186121530382596,1.005069401853415,251.49595139786308,630.7585057590009,-452.5,-630.7585057590009
-450.0,-3774.4506556139086,0.695648912228057,539.3522755005052,0.7099849962490622,2.0015301172172646,10906.158258022731,0.6186121530382596,1.005069401853415,250.09481702357883,627.2844386526554,-450.0,-627.2844386526554
-447.5,-3753.6055666738953,0.695648912228057,536.4604691516219,0.7099849962490622,2.0015301172172646,10785.358733217437,0.6186121530382596,1.005069401853415,248.6936839421679,623.81037154631,-447.5,-623.81037154631
-445.0,-3732.760477733882,0.695648912228057,533.5686628027385,0.7099849962490622,2.0015301172172646,10665.231953033519,0.6186121530382596,1.005069401853415,247.29255217522896,620.3363044399645,-445.0,-620.3363044399645
-442.5,-3711.9153887938674,0.695648912228057,530.6768564538551,0.7099849962490622,2.0015301172172646,10545.77791747097,0.6186121530382596,1.005069401853415,245.89142174484488,616.8622373336191,-442.5,-616.8622373336191
-440.0,-3691.070299853854,0.695648912228057,527.7850501049716,0.7099849962490622,2.0015301172172646,10426.996626529795,0.6186121530382596,1.005069401853415,244.4902926735957,613.3881702272736,-440.0,-613.3881702272736
-437.5,-3670.22525365923,0.695675168792198,524.8932437560882,0.7099849962490622,2.0015301172172646,10308.888080209996,0.6186121530382596,1.005069401853415,243.08916498457307,609.9141031209282,-437.5,-609.9141031209282
-435.0,-3649.3802510971454,0.695675168792198,522.0014374072048,0.7099849962490622,2.0015301172172646,10191.452278511566,0.6186121530382596,1.005069401853415,241.68803870139445,606.4400360145827,-435.0,-606.4400360145827
-432.5,-3628.535248535061,0.695675168792198,519.1096310583213,0.7099849962490622,2.0015301172172646,10074.68922143451,0.6186121530382596,1.005069401853415,240.28691384821903,602.9659689082373,-432.5,-602.9659689082373
-430.0,-3607.690245972977,0.695675168792198,516.217824709438,0.7099849962490622,2.0015301172172646,9958.598908978829,0.6186121530382596,1.005069401853415,238.8857904497622,599.4919018018918,-430.0,-599.4919018018918
-427.5,-3586.8452434108926,0.695675168792198,513.3260183605545,0.7099849962490622,2.0015301172172646,9843.181341144518,0.6186121530382596,1.005069401853415,237.4846685313125,596.0178346955464,-427.5,-596.0178346955464
-425.0,-3566.000269446634,0.695701425356339,510.43421201167115,0.7099849962490622,2.0015301172172646,9728.436517931581,0.6186121530382596,1.005069401853415,236.08354811874776,592.5437675892009,-425.0,-592.5437675892009
