u,x,cminus,cplus,c55,c56,disc,cV,delta_a9
0.6985896474118529,1.4314555099761603,-346.18792782236,786.5984525483902,440.4105247260303,-272310.88831600227,1283204.9835534664,0.11564600485737604,1.6585408350304867
0.6985633908477119,1.431509313401741,-213.65962868856394,780.9927926316391,567.3331639430751,-166866.63008212057,989333.4392381425,0.11587672567718733,1.6362051730452882
0.6985371342835709,1.43156312087204,-53.699793795156154,784.5622140639509,730.8624202687947,-42130.829114705324,702683.1938199817,0.11610734674320784,1.613592142031385
0.6985108777194299,1.431616932387514,79.72983098800017,794.5212785595311,874.2511095475313,63347.0472559212,510926.81352140475,0.1163380676511947,1.590703144075642
0.6984846211552888,1.431670747948619,224.12867554855166,822.5860748450032,1046.7147503935548,184365.12747969234,358151.2587726724,0.11656908633872619,1.567539893053174
0.6984583645911477,1.431724567555811,317.72297959374407,857.2158317601085,1174.9388113538525,272357.1682217513,291052.53753859876,0.11680060874354019,1.5441044090075442
0.6984321080270067,1.4317783912095468,285.83479126863676,837.4383638873078,1123.2731551559446,239369.0199420773,304266.50132568146,0.11703280297574524,1.5203990133616103
0.6984058514628657,1.4318322189102823,205.3863023485893,800.9817319080292,1006.3680342566186,164510.67616535918,354733.9157120938,0.1172656005682115,1.4964263250580978
0.6983795948987247,1.4318860506584743,157.72136182785334,780.16496266985,937.8863244977033,123048.68036266511,387436.0362291508,0.11749886175365934,1.4721892577100655
0.6983533383345836,1.4319398864545794,113.70292222170838,761.5858729564949,875.2887951782033,86594.53927792422,419752.31785281375,0.11773250132690936,1.447691017830151
0.6983270817704426,1.4319937262990536,41.02113777462756,738.3078170340241,779.3289548086517,30286.22668263722,486208.71307259664,0.11796642363637432,1.422935104196133
0.6983008252063015,1.4320475701923543,15.06030206439982,724.0875397182534,739.1478417826532,10904.977069225002,502719.6237350542,0.11820053143128942,1.3979253083986511
0.6982745686421605,1.4321014181349376,122.34840425305106,736.3271101687922,858.6755144218432,90088.44693741226,376969.8513179681,0.11843475631567844,1.3726657166124587
0.6982483120780195,1.4321552701272608,164.4345438887973,740.3658216630025,904.8003655517998,121741.71619601044,331696.83671862877,0.11866925528715454,1.3471607126222067
0.6982220555138785,1.432209126169781,87.66722632957891,713.2506036337024,800.9178299632813,62528.70209846453,391354.56195923337,0.11890407240077641,1.321414982130337
0.6981957989497374,1.432262986262954,15.473809560798145,690.4694665284314,705.9432760892296,10684.193032606854,455619.1369251668,0.11913908022939124,1.2954335183692431
