c4,a1,T,cm,cp,c55,c56,disc,K6,K1000,violation
-20,0.1,0.6,-768.1833018465206,34.851391422179894,-610.928808580116,-469800.87167155027,654.080099379823,0.07469108802035934,5.989272550899594e-06,1.7109403323908976
-20,0.1,0.45,-759.698235678818,35.097656477805955,-606.9081902958435,-509064.586921749,691.6847818941646,0.0667014859012092,5.638860994914045e-06,1.7233763007146055
-20,0.1,0.3,-747.4405847004697,33.401548450410274,-601.7235982593296,-554368.6433819423,736.4907917487876,0.0552237920426012,5.235795530391964e-06,1.7359584637675585
-40,0.0,0.15,-756.0281845420848,-6.628514990648881,-670.8749935849816,-320164.6869200162,39.3758966900656,0.025043380179222224,8.391930983331106e-06,1.7442497743254481
-40,0.0,0.3,-771.4315057318868,7.924354271875572,-661.8481377171155,-344375.7500310504,146.68567911620823,0.03696099172091131,8.501676943775693e-06,1.7472593431031562
-20,0.1,0.15,-729.8459113938924,27.15694950256693,-596.6741401814048,-607083.809147635,770.6863622449987,0.04467266084148416,4.761925916694884e-06,1.7527457641535762
-40,0.0,0.75,-792.5123229405448,19.16354246684882,-651.1511767552367,-334960.1494494792,158.98782520425505,0.0828689592524924,8.830661750544524e-06,1.7529022466117947
-20,0.4,0.6,-592.8193271215405,67.53082082436238,-419.1883056653181,-556955.0007018305,928.7067746023895,-0.008061306012923911,-4.5407320098031867e-07,1.7557469562725736
-40,0.0,0.45,-781.7264062864306,16.659829373598654,-656.4608803497601,-349203.68620315235,172.4188477242128,0.050725631773928616,8.611375947469454e-06,1.7558541346338719
-40,0.0,0.6,-788.4169569985806,18.87999904848966,-653.7434231840767,-344461.6971443124,156.94551452711175,0.06610655589359933,8.721035872280432e-06,1.7582678980364614
-20,0.1,0.0,-704.4291947383674,16.24692568374809,-591.148386861671,-669234.2704980719,674.1861075011723,0.03502520153237608,4.190654178102681e-06,1.7736687559244584
-10,0.1,0.75,-793.1631221437104,40.8959839552539,-623.5800364398045,-484695.46074532164,856.3980442401212,0.0817175376631965,6.29976401291719e-06,1.8051815462470358
-10,0.2,0.15,-675.0440249766159,48.35350529676134,-515.6631666764937,-845522.2659761716,1636.2601871659208,0.01924045071748801,1.675393900879813e-06,1.8201516907721387
