u,x,slot,radial_order,inner_value,neighbor_value,abs_error,relative_error,scaled_error,finite
0.71,1.4084507042253522,b3,1,-4923.259484529027,-4898.612484644268,24.64699988475877,0.005031424706898122,0.005031424706898122,True
0.71,1.4084507042253522,b4,1,-4.311449469307267,-4.3114474884317096,1.9808755578054615e-06,4.5944559527176465e-07,4.5944559527176465e-07,True
0.71,1.4084507042253522,b5,1,1.9398705958719809,1.9398699306422227,6.652297581677402e-07,3.429249289654725e-07,3.429249289654725e-07,True
0.71,1.4084507042253522,c1,1,1.4666834091775445e-60,0.0,1.4666834091775445e-60,1.4666834091775444e+240,1.4666834091775445e-60,True
0.71,1.4084507042253522,c2,1,5495.00769043644,5493.194125090813,1.8135653456265572,0.0003301476889998996,0.0003301476889998996,True
0.71,1.4084507042253522,c3,1,-29233.66912381911,-29241.612220271403,7.943096452294412,0.0002716367480855913,0.0002716367480855913,True
0.71,1.4084507042253522,c4,1,-1080.7226765542432,-1074.9184157471068,5.804260807136416,0.005399722176219529,0.005399722176219529,True
0.71,1.4084507042253522,c5,1,267.0067843414727,265.49751503005183,1.5092693114208942,0.005684683381123394,0.005684683381123394,True
0.71,1.4084507042253522,c6,1,-23275.29672829249,-23262.796289540172,12.500438752318587,0.0005373575298829941,0.0005373575298829941,True
0.71,1.4084507042253522,d1,1,-0.9699352977768291,-0.9699349654159755,3.3236085361654233e-07,3.426630294475495e-07,3.3236085361654233e-07,True
0.71,1.4084507042253522,d2,1,-815.5257828330133,-811.2685707631572,4.257212069856109,0.005247598912714401,0.005247598912714401,True
0.71,1.4084507042253522,d3,1,-26744.075923152748,-54756.05231486704,28011.976391714292,0.5115777198588994,0.5115777198588994,True
0.71,1.4084507042253522,d4,1,-137.3639819308447,-136.68531475864071,0.6786671722039728,0.004965179861511568,0.004965179861511568,True
0.71,1.4084507042253522,e1,1,-6388.53017650824,-6352.588414659936,35.94176184830485,0.005657813713440283,0.005657813713440283,True
0.71,1.4084507042253522,e2,1,3477.7417536049047,3481.0223618665837,3.2806082616789354,0.0009424266553461084,0.0009424266553461084,True
0.71,1.4084507042253522,e3,1,-6.612390279842434e-08,-637470.0344732833,637470.0344732172,0.9999999999998963,0.9999999999998963,True
0.71,1.4084507042253522,e4,1,-89092.23267054344,-157874.62338290448,68782.39071236104,0.4356773067039295,0.4356773067039295,True
0.71,1.4084507042253522,v1,1,-50129.08991069726,-50109.558702128976,19.531208568281727,0.0003897701172022478,0.0003897701172022478,True
0.71,1.4084507042253522,v2,1,-69960.79856546418,-69933.2475764244,27.55098903978069,0.0003939612415349714,0.0003939612415349714,True
0.71,1.4084507042253522,v3,1,71145.15875849691,71111.06062747784,34.098131019069115,0.00047950530786898917,0.00047950530786898917,True
0.71,1.4084507042253522,v4,1,0.0,0.0,0.0,0.0,0.0,True
0.71,1.4084507042253522,v5,1,346586.899987698,346479.6797964139,107.22019128408283,0.0003094559292685901,0.0003094559292685901,True
0.71,1.4084507042253522,v6,1,-855.5778140106123,-850.9297878042436,4.6480262063687405,0.005462291099671809,0.005462291099671809,True
0.71,1.4084507042253522,v7,1,-24407.48068450952,-24397.764756333156,9.715928176363377,0.00039823025893555774,0.00039823025893555774,True
0.71,1.4084507042253522,v8,1,844.351109069074,839.6952622034279,4.65584686564614,0.005544686358511567,0.005544686358511567,True
0.71,1.4084507042253522,v9,1,0.0005477724673422943,-1.3701328354556503,1.3706806079229927,1.0003997951535555,1.0003997951535555,True
0.71,1.4084507042253522,v10,1,78.77697531691956,78.30200064663605,0.47497467028351537,0.0060659327521782914,0.0060659327521782914,True
0.71,1.4084507042253522,v11,1,427.7889070090318,425.46489390796506,2.3240131010667255,0.0054622910946195416,0.0054622910946195416,True
0.71,1.4084507042253522,v12,1,957.3132591908796,951.3363501264112,5.976909064468487,0.006282645526657622,0.006282645526657622,True
0.71,1.4084507042253522,v13,1,-37309.39715162304,-61784.78844486034,24475.391293237306,0.39613943673336843,0.39613943673336843,True
0.71,1.4084507042253522,a1,2,1.1788148460556415e-56,0.0,1.1788148460556415e-56,1.1788148460556414e+244,1.1788148460556415e-56,True
0.71,1.4084507042253522,a2,2,2780.7575378869674,104605.60304046627,101824.84550257931,0.9734167438735453,0.9734167438735453,True
0.71,1.4084507042253522,a3,2,-7.937336444854529,-8.17816868910796,0.24083224425343008,0.029448187413177347,0.029448187413177347,True
0.71,1.4084507042253522,a4,2,6.145702838897584,6.281554759301475,0.1358519204038906,0.021627117108662712,0.021627117108662712,True
0.71,1.4084507042253522,a5,2,26593891956.855785,1130587669.9695017,25463304286.886284,22.522184668415118,22.522184668415118,True
0.71,1.4084507042253522,a6,2,-6775.337112445217,-48644.523159190496,41869.18604674528,0.8607173701698597,0.8607173701698597,True
0.71,1.4084507042253522,a7,2,7524099.695312561,6910427.624242704,613672.0710698562,0.08880377661680625,0.08880377661680625,True
0.71,1.4084507042253522,a8,2,3.675174713134641,3.815601293383494,0.14042658024885313,0.03680326361466596,0.03680326361466596,True
0.71,1.4084507042253522,a9,2,-2958.349243184566,-49146.115006064945,46187.76576288038,0.9398050233915848,0.9398050233915848,True
0.71,1.4084507042253522,b1,2,11.41338014602645,11.599908012823784,0.18652786679733424,0.016080116031189758,0.016080116031189758,True
0.71,1.4084507042253522,b2,2,-8.059896609284377e-56,0.0,8.059896609284377e-56,8.059896609284377e+244,8.059896609284377e-56,True
0.71,1.4084507042253522,b3,2,-6258.509277652537,-701674.9728104346,695416.4635327822,0.9910806149283262,0.9910806149283262,True
0.71,1.4084507042253522,b4,2,56.48041152954003,57.59206759679858,1.1116560672585507,0.019302242715806668,0.019302242715806668,True
0.71,1.4084507042253522,b5,2,-22.826319694518713,-23.199800193527718,0.3734804990090055,0.016098436016410138,0.016098436016410138,True
0.71,1.4084507042253522,c1,2,-1.0348667974231274e-55,0.0,1.0348667974231274e-55,1.0348667974231273e+245,1.0348667974231274e-55,True
0.71,1.4084507042253522,c2,2,909276.5187988285,837487.1229971383,71789.39580169017,0.08571999954432193,0.08571999954432193,True
0.71,1.4084507042253522,c3,2,-0.12060546875007266,6057677.332302085,6057677.452907554,1.0000000199095234,1.0000000199095234,True
0.71,1.4084507042253522,c4,2,-13229.060638503775,-176337.4384411039,163108.37780260012,0.9249787183285968,0.9249787183285968,True
0.71,1.4084507042253522,c5,2,3252.3595276049587,46367.02819138238,43114.66866377742,0.9298562005272222,0.9298562005272222,True
0.71,1.4084507042253522,c6,2,-3465701.7573242597,-3210505.517872222,255196.23945203796,0.07948786819752003,0.07948786819752003,True
0.71,1.4084507042253522,d1,2,11.41338014602645,11.599908012823784,0.18652786679733424,0.016080116031189758,0.016080116031189758,True
0.71,1.4084507042253522,d2,2,-740.3792877759837,-119959.36824023664,119218.98895246066,0.9938280828030599,0.9938280828030599,True
0.71,1.4084507042253522,d3,2,-143939097.40729198,721856896.9731115,865795994.3804035,1.1994011527919968,1.1994011527919968,True
0.71,1.4084507042253522,d4,2,-60.63492585079255,-19196.26718582981,19135.63225997902,0.9968413168422895,0.9968413168422895,True
0.71,1.4084507042253522,e1,2,-64337.14917037149,-1079253.5449049463,1014916.3957345749,0.9403873635865261,0.9403873635865261,True
0.71,1.4084507042253522,e2,2,689950.982177673,501454.1821748468,188496.8000028262,0.3759003448436715,0.3759003448436715,True
0.71,1.4084507042253522,e3,2,-0.09326171875009188,31268841527.852,31268841527.945263,1.0000000000029825,1.0000000000029825,True
0.71,1.4084507042253522,e4,2,-536993012.3010799,1995337577.7404134,2532330590.0414934,1.269123890759973,1.269123890759973,True
0.71,1.4084507042253522,v1,2,-7438754.169921882,-6681206.029595084,757548.1403267989,0.11338493933148629,0.11338493933148629,True
0.71,1.4084507042253522,v2,2,-10577376.792968752,-9512673.784183178,1064703.0087855738,0.11192468415724152,0.11192468415724152,True
0.71,1.4084507042253522,v3,2,10589577.974609466,9709715.878661713,879862.0959477536,0.09061666756710751,0.09061666756710751,True
0.71,1.4084507042253522,v4,2,0.0,0.0,0.0,0.0,0.0,True
0.71,1.4084507042253522,v5,2,0.07812499999958732,31309364.714102585,31309364.635977585,0.9999999975047402,0.9999999975047402,True
0.71,1.4084507042253522,v6,2,-7449.090850888227,-138664.86362167113,131215.7727707829,0.946279896317411,0.946279896317411,True
0.71,1.4084507042253522,v7,2,-3759409.0356445345,-3385311.422889519,374097.6127550155,0.11050611480692255,0.11050611480692255,True
0.71,1.4084507042253522,v8,2,9150.610717831887,140530.72944221427,131380.1187243824,0.9348853396395799,0.9348853396395799,True
0.71,1.4084507042253522,v9,2,7009.663915180277,53009.60690823809,45999.94299305782,0.867766159305533,0.867766159305533,True
0.71,1.4084507042253522,v10,2,1640.8010940611282,15058.002088540741,13417.200994479614,0.8910346084152964,0.8910346084152964,True
0.71,1.4084507042253522,v11,2,3724.543472319119,69332.43158891,65607.88811659088,0.9462799243158974,0.9462799243158974,True
0.71,1.4084507042253522,v12,2,22170.0975342544,191029.7532329515,168859.6556986971,0.8839442696278886,0.8839442696278886,True
0.71,1.4084507042253522,v13,2,-361522507.66918975,818597458.8063239,1180119966.4755137,1.4416364890704165,1.4416364890704165,True
0.715,1.3986013986013988,a1,0,0.129022787394264,0.12902278480140408,2.5928599267643904e-09,2.0096139846581374e-08,2.5928599267643904e-09,True
0.715,1.3986013986013988,a2,0,-2.0713768353168374,-2.071377163963688,3.2864685062250487e-07,1.5866103785445912e-07,1.5866103785445912e-07,True
0.715,1.3986013986013988,a3,0,-0.16099294450382595,-0.16099294397280584,5.310201167674222e-10,3.298406151620655e-09,5.310201167674222e-10,True
0.715,1.3986013986013988,a4,0,0.17232301681523535,0.1723230162076259,6.076094349882766e-10,3.525991178428478e-09,6.076094349882766e-10,True
0.715,1.3986013986013988,a5,0,26.463662884796687,26.18593528008981,0.2777276047068753,0.01060598377473431,0.01060598377473431,True
0.715,1.3986013986013988,a6,0,1.1520555546223323e-11,1.1532202331270886e-11,1.164678504756258e-14,0.0010099358919484955,1.164678504756258e-14,True
0.715,1.3986013986013988,a7,0,0.2888745789533958,0.28887509935920785,5.204058120544808e-07,1.8014907245687215e-06,5.204058120544808e-07,True
0.715,1.3986013986013988,a8,0,-0.20950017030861326,-0.20950017100327123,6.946579700350952e-10,3.3157871266093073e-09,6.946579700350952e-10,True
0.715,1.3986013986013988,a9,0,-0.382671091212456,-0.38267106149147345,2.9720982563929965e-08,7.766718091535699e-08,2.9720982563929965e-08,True
0.715,1.3986013986013988,b1,0,0.29832911306123094,0.29832911209892843,9.62302515450375e-10,3.22564066470076e-09,9.62302515450375e-10,True
0.715,1.3986013986013988,b2,0,-0.8934674960252806,-0.8934674816409811,1.4384299529268674e-08,1.6099410246973786e-08,1.4384299529268674e-08,True
0.715,1.3986013986013988,b3,0,10.229238289926016,10.22924249897834,4.209052324455342e-06,4.1147253326683057e-07,4.1147253326683057e-07,True
0.715,1.3986013986013988,b4,0,1.1148570451267092,1.114857042013094,3.1136151434907333e-09,2.792838028693336e-09,2.792838028693336e-09,True
0.715,1.3986013986013988,b5,0,-0.596658226122462,-0.5966582241978567,1.924605252945355e-09,3.225641036847822e-09,1.924605252945355e-09,True
0.715,1.3986013986013988,c1,0,-1.0862253172002065,-1.0862251271900776,1.900101289642464e-07,1.7492702406523937e-07,1.7492702406523937e-07,True
0.715,1.3986013986013988,c2,0,-0.29521875893725763,-0.29521875893725746,1.6653345369377348e-16,5.641018690454108e-16,1.6653345369377348e-16,True
0.715,1.3986013986013988,c3,0,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,c4,0,0.1412683500069102,0.1412684720527321,1.2204582189312418e-07,8.63928236213721e-07,1.2204582189312418e-07,True
0.715,1.3986013986013988,c5,0,-0.16601514551244742,-0.16601507189648856,7.361595885657657e-08,4.4342937069278013e-07,7.361595885657657e-08,True
0.715,1.3986013986013988,c6,0,0.0782075814803332,0.07820750676691478,7.471341842424373e-08,9.55322852151717e-07,7.471341842424373e-08,True
0.715,1.3986013986013988,d1,0,0.29832911306123094,0.29832911209892843,9.62302515450375e-10,3.22564066470076e-09,9.62302515450375e-10,True
0.715,1.3986013986013988,d2,0,0.11619921809167973,0.11619947362936799,2.5553768825958834e-07,2.199129482071977e-06,2.5553768825958834e-07,True
0.715,1.3986013986013988,d3,0,-1.5408527699400685,-1.5408533926224885,6.22682420070575e-07,4.041152928967416e-07,4.041152928967416e-07,True
0.715,1.3986013986013988,d4,0,0.08809583424201801,0.088095833960739,2.8127901396945987e-10,3.1928753191077725e-09,2.8127901396945987e-10,True
0.715,1.3986013986013988,e1,0,7.3963319089677215,7.396337933327146,6.024359424650072e-06,8.145057025457046e-07,8.145057025457046e-07,True
0.715,1.3986013986013988,e2,0,-0.03764657431864738,-0.03764683784074597,2.6352209858693243e-07,6.999846831802614e-06,2.6352209858693243e-07,True
0.715,1.3986013986013988,e3,0,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,e4,0,-0.07863472366243805,-0.07807101181626765,0.000563711846170406,0.007220501349425901,0.000563711846170406,True
0.715,1.3986013986013988,v1,0,1.1671147268319142,1.1671147228674572,3.9644569849173195e-09,3.3968014516834616e-09,3.3968014516834616e-09,True
0.715,1.3986013986013988,v2,0,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v3,0,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v4,0,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v5,0,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v6,0,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v7,0,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v8,0,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v9,0,1.4507638306940969,1.450763835857706,5.163609095859556e-09,3.5592347756633862e-09,3.5592347756633862e-09,True
0.715,1.3986013986013988,v10,0,-0.17232301681524498,-0.1723230162076355,6.076094904994278e-10,3.5259915005625645e-09,6.076094904994278e-10,True
0.715,1.3986013986013988,v11,0,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v12,0,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v13,0,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,a1,1,-0.5941958030671229,-0.5942047827431626,8.979676039633233e-06,1.5112089805434272e-05,8.979676039633233e-06,True
0.715,1.3986013986013988,a2,1,46.11723038065245,46.09379690177212,0.023433478880328096,0.0005083868211218498,0.0005083868211218498,True
0.715,1.3986013986013988,a3,1,0.28888338414981246,0.2888750688558566,8.31529395584063e-06,2.8785086884703818e-05,8.31529395584063e-06,True
0.715,1.3986013986013988,a4,1,-0.3910125452821376,-0.3910124857639366,5.951820097882532e-08,1.5221560217582885e-07,5.951820097882532e-08,True
0.715,1.3986013986013988,a5,1,-1246.3928949739504,-126.50024487516227,1119.8926500987882,8.852889187716299,8.852889187716299,True
0.715,1.3986013986013988,a6,1,-5.7914200099719214e-09,-5.731347876748413e-09,6.007213322350833e-11,0.010481327344866958,6.007213322350833e-11,True
0.715,1.3986013986013988,a7,1,-4.480377726460573,-4.475692999212154,0.004684727248418952,0.0010467043314283605,0.0010467043314283605,True
0.715,1.3986013986013988,a8,1,-0.7546732295013494,-0.7546731586263858,7.087496356472656e-08,9.39147798680547e-08,7.087496356472656e-08,True
0.715,1.3986013986013988,a9,1,4.550760242040267,4.550705519468726,5.47225715417099e-05,1.2025074201702797e-05,1.2025074201702797e-05,True
0.715,1.3986013986013988,b1,1,-1.0746577704412628,-1.0746577074562471,6.29850156474987e-08,5.860937413884693e-08,5.860937413884693e-08,True
0.715,1.3986013986013988,b2,1,5.305895056051666,5.305958288329319,6.323227765303585e-05,1.1917221021529313e-05,1.1917221021529313e-05,True
0.715,1.3986013986013988,b3,1,-195.3910930613055,-195.28362767511996,0.10746538618553814,0.0005503041266947425,0.0005503041266947425,True
0.715,1.3986013986013988,b4,1,-3.486797269026282,-3.486740086596503,5.7182429778812605e-05,1.6399969128364212e-05,1.6399969128364212e-05,True
0.715,1.3986013986013988,b5,1,2.1493155409407323,2.1493154149122957,1.2602843657560925e-07,5.863654803813517e-08,5.863654803813517e-08,True
0.715,1.3986013986013988,c1,1,0.07617208414012565,0.07309279511804019,0.0030792890220854574,0.04212848909543824,0.0030792890220854574,True
0.715,1.3986013986013988,c2,1,1.8228526479942948,1.8221912675928937,0.0006613804014010682,0.0003629588249946718,0.0003629588249946718,True
0.715,1.3986013986013988,c3,1,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,c4,1,-1.365391380619257,-1.3620237466758962,0.003367633943360815,0.0024725221946972184,0.0024725221946972184,True
0.715,1.3986013986013988,c5,1,-0.7192090371536319,-0.7174868409892623,0.0017221961643696382,0.0024003174218430188,0.0017221961643696382,True
0.715,1.3986013986013988,c6,1,0.9567770055909919,0.9553676830524999,0.0014093225384920194,0.0014751624568135758,0.0014093225384920194,True
0.715,1.3986013986013988,d1,1,-1.0746577704412628,-1.0746577074562471,6.29850156474987e-08,5.860937413884693e-08,5.860937413884693e-08,True
0.715,1.3986013986013988,d2,1,-1.8052663026028306,-1.802546554669514,0.0027197479333165298,0.0015088364437916995,0.0015088364437916995,True
0.715,1.3986013986013988,d3,1,31.592689956887636,31.57670795818999,0.01598199869764727,0.0005061325176395423,0.0005061325176395423,True
0.715,1.3986013986013988,d4,1,-0.3258724149127374,-0.32587240064881784,1.4263919545509651e-08,4.377148699033711e-08,1.4263919545509651e-08,True
0.715,1.3986013986013988,e1,1,-66.38248766027384,-66.33073808276522,0.051749577508616085,0.000780174908411915,0.000780174908411915,True
0.715,1.3986013986013988,e2,1,-0.36675091046163266,-0.3646749160481228,0.002075994413509863,0.005692726102488259,0.002075994413509863,True
0.715,1.3986013986013988,e3,1,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,e4,1,330.14580695398007,330.43009408564933,0.28428713166925945,0.000860354842847851,0.000860354842847851,True
0.715,1.3986013986013988,v1,1,-2.535271869739517,-2.5352714637359637,4.060035534436679e-07,1.601420436631993e-07,1.601420436631993e-07,True
0.715,1.3986013986013988,v2,1,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v3,1,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v4,1,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v5,1,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v6,1,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v7,1,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v8,1,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v9,1,3.2918810863047825,3.2918804797779733,6.065268092214637e-07,1.842493410521308e-07,1.842493410521308e-07,True
0.715,1.3986013986013988,v10,1,0.39101254491833964,0.3910124857700194,5.914832024167538e-08,1.5126964584057928e-07,5.914832024167538e-08,True
0.715,1.3986013986013988,v11,1,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v12,1,0.0,0.0,0.0,0.0,0.0,True
0.715,1.3986013986013988,v13,1,0.0,0.0,0.0,0.0,0.0,True
