row,side,slot,target_delta,fit_delta,scaled_residual
37,0,v11,0.0,0.0,0.0
38,0,v12,0.0,0.0,0.0
39,0,v13,0.0,-1.045392685881898e-09,-1.045392685881898e-09
40,1,a1,2.6483075494005334e-91,2.5130434499941163e-20,2.5130434499941163e-20
41,1,a2,4.7024885326152344e-05,4.7024203563950095e-05,-3.9393845164732633e-11
42,1,a3,4.00679489587219e-13,2.268796052118495e-08,2.2687559841695362e-08
43,1,a4,-2.2401525079374096e-13,1.924079425314596e-08,1.9241018268396755e-08
44,1,a5,-2727.378160280972,-2727.37816232536,-1.006704924678717e-09
45,1,a6,-1.929683418477879e-05,-1.929808041680088e-05,-2.0304239581347611e-10
46,1,a7,0.0037338444533361326,0.0037338427485735792,-2.5887492690832476e-12
47,1,a8,-2.28872476526476e-13,1.9240794283244245e-08,1.924102315572077e-08
48,1,a9,-2.1335042242220936e-05,-2.1334649281007888e-05,5.6541676023127935e-11
49,1,b1,-3.05089287166993e-13,4.0513544930019036e-08,4.0513850019306203e-08
50,1,b2,-1.773753616312729e-90,-1.5205629390189233e-19,-1.5205629390189233e-19
51,1,b3,-0.0003212457952912473,-0.0003212454554422095,2.873964675369279e-12
52,1,b4,-1.8205437157803317e-12,7.043227784746852e-08,4.337320089921394e-08
53,1,b5,6.128431095930864e-13,-8.102708986003807e-08,-8.102770270314767e-08
54,1,c1,-2.283559118543589e-90,-1.5990664117498338e-19,-1.5990664117498338e-19
55,1,c2,0.00038296915404600895,0.00038297001842746425,2.0228306098088546e-11
56,1,c3,337.2044016680045,337.2044016655336,-7.327513279243324e-12
57,1,c4,-7.616240094776572e-05,-7.616230899999687e-05,1.4686085507919946e-11
58,1,c5,1.9421426440402456e-05,1.9421654400310568e-05,1.3422917709898882e-11
59,1,c6,-0.0017582360531491759,-0.001758236031818683,6.506993571811725e-14
60,1,d1,-3.05089287166993e-13,4.0513544930019036e-08,4.0513850019306203e-08
61,1,d2,-5.587740810986119e-05,-5.587715055701192e-05,7.113519054009577e-11
62,1,d3,0.21866910667887396,0.21866910682797425,4.016196712205118e-13
63,1,d4,-8.844726678169934e-06,-8.844663455859247e-06,1.928876010212257e-11
64,1,e1,-0.0004684936977525922,-0.00046848399952612724,5.87161058182329e-11
65,1,e2,0.0002380584039229916,0.00023805838318935457,-7.038954356178569e-13
66,1,e3,323.08735876572854,323.08735942840576,2.0510775347236536e-09
67,1,e4,0.49948972349466203,0.4994897169272008,-4.847650139563522e-12
68,1,v1,-0.003703074533632389,-0.003703076443628106,-2.9678899252347413e-12
69,1,v2,-0.0052161619245225666,-0.0052161550341338625,7.601817994602268e-12
70,1,v3,0.005301502513930245,0.005301503471628166,1.0236862658609971e-12
71,1,v4,0.0,-1.3038698977220963e-09,-1.3038698977220963e-09
72,1,v5,-3873.246322762168,-3873.2463227711864,-2.3284213580170303e-12
73,1,v6,-6.0585285321934634e-05,-6.058567825006087e-05,-1.9001386559643197e-11
74,1,v8,6.0681039663279535e-05,6.0681337390869946e-05,1.3581875048633775e-11
75,1,v9,1.6625097298890446e-05,1.662516606810584e-05,6.876921539614536e-11
76,1,v10,6.190948260265117e-06,6.190939069191379e-06,-4.10790485399744e-12
77,1,v11,3.0292642600571185e-05,3.029244953429034e-05,-1.8672763739866278e-11
78,1,v12,7.791481106522724e-05,7.79147833754679e-05,-1.0420557304602205e-12
79,1,v13,0.1495758283081159,0.14957583491423065,1.0274602188043794e-11
