point,u,slot,MH,SVT_delta,total
outer_S0,0.5515230871346237,e4,-0.04392726901265043,0.0,-0.04392726901265043
outer_S0,0.5515230871346237,v1,1.7459404841483186,0.0,1.7459404841483186
outer_S0,0.5515230871346237,v2,0.0,0.0,0.0
outer_S0,0.5515230871346237,v3,-0.0,0.0,0.0
outer_S0,0.5515230871346237,v4,0.0,0.0,0.0
outer_S0,0.5515230871346237,v5,0.0,0.0,0.0
outer_S0,0.5515230871346237,v6,0.0,0.0,0.0
outer_S0,0.5515230871346237,v7,0.0,0.0,0.0
outer_S0,0.5515230871346237,v8,-0.0,-0.0,-0.0
outer_S0,0.5515230871346237,v9,1.0732442926612027,0.0,1.0732442926612027
outer_S0,0.5515230871346237,v10,-0.23293857857851097,0.0,-0.23293857857851097
outer_S0,0.5515230871346237,v11,0.0,-0.0,0.0
outer_S0,0.5515230871346237,v12,0.0,-0.0,0.0
outer_S0,0.5515230871346237,v13,0.0,0.0,0.0
mid,0.5807615435673119,a1,-0.349725153567019,0.0,-0.349725153567019
mid,0.5807615435673119,a2,0.616265932413315,-8.981943886843258e-05,0.6161761129744465
mid,0.5807615435673119,a3,-0.4744408109033673,0.0,-0.4744408109033673
mid,0.5807615435673119,a4,0.2197601005372453,0.0,0.2197601005372453
mid,0.5807615435673119,a5,-130.24980021612205,0.056066570716923,-130.19373364540513
mid,0.5807615435673119,a6,0.0,-7.0221335612408176e-06,-7.0221335612408176e-06
mid,0.5807615435673119,a7,0.08661500889226005,-1.0532708826893613e-05,0.08660447618343316
mid,0.5807615435673119,a8,-0.23522147959227638,0.0,-0.23522147959227638
mid,0.5807615435673119,a9,0.2186915827134168,2.069514436336961e-05,0.21871227785778016
mid,0.5807615435673119,b1,0.265707026876691,0.0,0.265707026876691
mid,0.5807615435673119,b2,1.6913794733641891,0.0,1.6913794733641891
mid,0.5807615435673119,b3,3.2159359119147983,0.0006275600960992,3.2165634720108973
mid,0.5807615435673119,b4,2.294543131094625,0.0,2.294543131094625
mid,0.5807615435673119,b5,-0.531414053753382,0.0,-0.531414053753382
mid,0.5807615435673119,c1,1.8103776859589746,0.0,1.8103776859589746
mid,0.5807615435673119,c2,-0.02915659199085749,-0.0030971214107432,-0.03225371340160069
mid,0.5807615435673119,c3,0.0,0.0,0.0
mid,0.5807615435673119,c4,-0.2525112311046681,5.5005740431727046e-05,-0.2524562253642364
mid,0.5807615435673119,c5,-0.2700329909834938,-4.96957227423267e-05,-0.27008268670623614
mid,0.5807615435673119,c6,0.2239809754124774,-0.000377211790895,0.2236037636215824
mid,0.5807615435673119,d1,0.265707026876691,0.0,0.265707026876691
mid,0.5807615435673119,d2,-0.23591337674830082,5.1605042871297385e-05,-0.23586177170542952
mid,0.5807615435673119,d3,-0.4485579473985002,0.0208304039588885,-0.42772754343961167
mid,0.5807615435673119,d4,0.07412155926375553,1.3053848747890395e-05,0.07413461311250343
mid,0.5807615435673119,e1,22.037049672516797,0.0011165233521091,22.038166195868907
mid,0.5807615435673119,e2,-1.0175803389225087,-0.0054044526839354,-1.022984791606444
mid,0.5807615435673119,e3,0.0,0.0,0.0
mid,0.5807615435673119,e4,-3.282967395414733,0.0039707620836609,-3.2789966333310723
mid,0.5807615435673119,v1,1.5755686609908373,-0.1357095339866261,1.4398591270042111
mid,0.5807615435673119,v2,0.04266989581905449,-0.0036753153450133,0.03899458047404119
mid,0.5807615435673119,v3,-0.04266989581905449,-0.0007778320347119,-0.04344772785376639
