x,u,a5_unsmoothed_identity,a5_selected,rel_scaled_difference
0.0124575374398506,80.2726867029984,-5.0334385814515805,-5.033382982802055,1.1045858338290777e-05
0.012486385830916,80.08722568255286,-5.190884945957456,-5.190840183324955,8.623314322530528e-06
0.0125153010272927,79.9021931489505,-5.435341592318588,-5.435503480577676,2.97843762601237e-05
0.0125442831836843,79.71758811222057,-5.1890065940417065,-5.188737106906364,5.1934244148307414e-05
0.0125733324551526,79.53340958467986,-5.1347514494499045,-5.135061074377376,6.029988608394862e-05
0.0126024489971187,79.34965658092567,-5.258312758098584,-5.2580547947779115,4.905819272070007e-05
0.0126316329653633,79.16632811783404,-5.119578862640629,-5.119744829804272,3.241812815004894e-05
0.0126608845160279,78.983423214552,-5.456487767884026,-5.456390662856825,1.7796251239130378e-05
0.0126902038056159,78.80094089249077,-5.102185682830966,-5.102241011711844,1.084415274496269e-05
0.0127195909909927,78.61888017532512,-4.897907328110293,-4.897894912857603,2.53480759398166e-06
0.0127490462293872,78.437240088984,-5.716107381574448,-5.716058843999532,8.491368631771937e-06
0.0127785696783924,78.25601966164686,-5.1190749472292865,-5.1192014479769545,2.471164203925884e-05
0.0128081614959662,78.07521792373869,-5.042341978015568,-5.042123238222448,4.338059458743181e-05
0.0128378218404322,77.89483390792513,-5.528457340530928,-5.528763316821077,5.5345690723715576e-05
0.0128675508704807,77.71486664910636,-4.9609467525885265,-4.960605114805206,6.88654404810576e-05
0.0128973487451696,77.53531518441156,-5.010717734464831,-5.011016026755221,5.9530850907506213e-05
0.012927215623925,77.35617855319543,-5.642663013278401,-5.642451412582955,3.750014752759728e-05
0.0129571516665423,77.17745579703139,-5.281171281421802,-5.281299076613585,2.419826681877935e-05
0.0129871570331867,76.99914595970868,-4.633142549853073,-4.633084323217101,1.2567417329579733e-05
0.0130172318843946,76.821248087224,-5.6426709427413915,-5.642670395434285,9.699433333185689e-08
0.0130473763810741,76.6437612277785,-5.401608002080685,-5.40164609036982,7.051287157368091e-06
0.0130775906845057,76.46668443177364,-4.6890710114166145,-4.6890289701832994,8.965791563557718e-06
0.0131078749563436,76.29001675180359,-5.768664714783217,-5.768676132557603,1.9792750924042872e-06
0.0131382293586163,76.11375724265166,-5.1326175667123595,-5.132654471520212,7.190250855955318e-06
0.0131686540537275,75.93790496128504,-4.746594924638678,-4.746518516419751,1.609748043372358e-05
0.013199149204457,75.76245896684968,-5.705083872476214,-5.705166207379125,1.4431847936166455e-05
0.0132297149739615,75.58741832066549,-4.99090988405246,-4.99086049660371,9.895479962074361e-06
0.0132603515257756,75.41278208622073,-5.109079276815945,-5.109070865770794,1.6462937244296224e-06
0.0132910590238125,75.23854932916798,-5.598921820990665,-5.598986988723217,1.1639336042910681e-05
0.0133218376323652,75.06471911731722,-4.941317700958987,-4.941216472965671,2.0486032156168214e-05
0.013352687516107,74.89129052063309,-5.433372247457928,-5.433482079723031,2.0214382541998658e-05
0.0133836088400924,74.71826261122976,-5.051226047752361,-5.051129726651905,1.9068855668915078e-05
0.0134146017697584,74.5456344633636,-4.938407894654569,-4.938476646056515,1.3921774671579959e-05
0.0134456664709249,74.37340515343098,-5.794511436849607,-5.794473660797223,6.519281702292007e-06
0.013476803109796,74.20157375996102,-5.007857740887646,-5.007868530152169,2.1544670557634836e-06
0.0135080118529605,74.03013936361285,-5.049339018001515,-5.049346218151557,1.4259589258591086e-06
0.013539292867393,73.85910104716943,-5.328210232523917,-5.328195114790743,2.837300428101118e-06
0.0135706463204549,73.68845789553221,-5.103173914887231,-5.103185651979447,2.2999592826176864e-06
0.013602072379895,73.51820899571771,-5.426083782578944,-5.42608440342264,1.1441837620677309e-07
0.0136335712138507,73.34835343685108,-5.139550624379835,-5.139532508005153,3.524894685587935e-06
0.0136651429908487,73.17889031016229,-5.10171315664406,-5.101746254872742,6.48766946827352e-06
0.0136967878798059,73.00981870898121,-5.4205556425450245,-5.4205168255099165,7.161080462550379e-06
0.0137285060500304,72.84113772873238,-4.931259369720579,-4.931290392094106,6.290963666890047e-06
0.0137602976712225,72.67284646692947,-5.2792479522728835,-5.279234152241174,2.614014691888882e-06
0.0137921629134754,72.5049440231718,-5.667172316561918,-5.6671661719787005,1.0842414654292213e-06
0.0138241019472761,72.33742949913936,-4.7395242800338515,-4.739546514464232,4.691278927312308e-06
0.0138561149435066,72.1703019985866,-5.305660568443328,-5.305628276198963,6.086375852387873e-06
0.0138882020734443,72.0035606273403,-5.4401672189306725,-5.440202803793606,6.541134031655922e-06
0.0139203635087636,71.83720449329124,-4.755372820435922,-4.755338644141805,7.186880063435501e-06
0.0139525994215363,71.6712327063921,-5.690905560748036,-5.690933756759569,4.954573790009155e-06
0.0139849099842325,71.5056443786528,-5.206094789016637,-5.206076835626252,3.448533135219431e-06
0.0140172953697219,71.3404386241338,-4.683878186049902,-4.683881054228513,6.12351239108214e-07
0.0140497557512746,71.17561455894203,-5.650836664690572,-5.650850824443304,2.5057798645269833e-06
0.0140822913025618,71.01117130122735,-5.183251903412863,-5.18322226130884,5.718823737542108e-06
0.0141149021976567,70.84710797117786,-5.130366579610684,-5.13040447155037,7.385815242930186e-06
0.014147588611036,70.68342369101245,-5.335635108684854,-5.335598759881536,6.812460480725573e-06
0.0141803507175803,70.5201175849787,-4.928708731066013,-4.928734480755642,5.2244291625995486e-06
0.0142131886925749,70.35718877934895,-5.4026709513904825,-5.40265837481248,2.3278445263996123e-06
0.0142461027117114,70.19463640241219,-5.307494328848904,-5.307496119608492,3.3740207292960494e-07
0.0142790929510881,70.03245958447225,-5.099357494807688,-5.099361950192661,8.737149685020756e-07
0.0143121595872111,69.87065745784227,-5.2630677790075655,-5.263057511027741,1.9509495708137673e-06
0.0143453027969951,69.70922915684075,-5.174465791837738,-5.174487209286214,4.1390646566534025e-06
0.0143785227577648,69.54817381778474,-5.131669753113238,-5.131625846048609,8.556097087655622e-06
0.0144118196472553,69.38749057898791,-5.3861497664112195,-5.386229915220564,1.4880538570380211e-05
0.0144451936436133,69.22717858075465,-5.205384926344512,-5.205254104130893,2.513209214488519e-05
