u,x,phi,f,h,phiprime,A0prime,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,mu,P1,selected_crS2,photon_factor,G3X_selected
0.7095921241842782,1.4092602861813952,0.8473181879325811,0.2930330380603689,0.3874345307030524,-1.2800967214864996,0.0,-0.08607974765818349,-2.3967252915609296,-0.29251595230313887,0.1684718949716901,8.928034610532716,0.0,-0.5622582354987338,-0.21741982402288076,-0.326620397344856,0.28746228767723886,0.5875088230866983,8.61177418481148,1.9964708023323738,-0.5749245753544777,0.7582040016162007,0.22036906522018423,0.0,-0.11187169882132054,-0.2917718889113984,0.2957830446465415,0.28746228767723886,-0.08668591826358309,-1.270652497042895,0.08482913411421046,0.12482163730410813,0.030120532356116354,0.0,-0.021326262653730055,1.1418085742258857,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4839270374563651,-0.16847189497169007,0.0,0.0,0.0,3.472578644079394,0.5049630525674984,1.0,-0.013746137867711727,-0.40523523654426186
0.7095513623757254,1.4093412443769997,0.8472145436026096,0.2930659222372883,0.3872685129798486,-1.2803438512116765,0.0,-0.086171606053653,-2.3953657293913375,-0.2925614759110525,0.16844524622997126,8.93134372582562,0.0,-0.5623617017381248,-0.21747862346704167,-0.32614137922468706,0.28738456683064173,0.5880697789481096,8.60587427757857,1.9965574549071774,-0.5747691336612835,0.7592532819453742,0.22065581885316882,0.0,-0.11202621837524818,-0.29182027988820286,0.29595374557092335,0.28738456683064173,-0.0867684540098763,-1.2697785759431035,0.08480597188584,0.12517850107252057,0.03018101531319985,0.0,-0.02134497512436173,1.141631020693811,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4841618009135469,-0.16844524622997123,0.0,0.0,0.0,3.473668535728584,0.5049822626043705,1.0,-0.013572166639327365,-0.40570249314784435
0.7095106052499459,1.4094222025726038,0.8471108792991381,0.2930988182886875,0.3871027281442994,-1.2805901489789937,0.0,-0.0862634128810466,-2.394005245597625,-0.2926070078499917,0.16841863924119355,8.933455432226676,0.0,-0.5624640395885004,-0.21753739640193456,-0.32566163293978123,0.28730692301070576,0.5886302332074331,8.599973867446186,1.996644063994749,-0.5746138460214115,0.7603023569857286,0.22094101437535008,0.0,-0.11218071068383317,-0.29186859037956686,0.29612386719902506,0.28730692301070576,-0.08685091830175636,-1.2689046291256707,0.08478283543801061,0.12554580676784305,0.03024037774511075,0.0,-0.0213652149051633,1.141453709776348,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.484396270664396,-0.16841863924119357,0.0,0.0,0.0,3.474758009782363,0.5050033187924006,1.0,-0.013398490106599215,-0.40616988461778586
0.7094698528061331,1.4095031607682085,0.8470071950895234,0.2931317261976309,0.3869371763088114,-1.2808356146892577,0.0,-0.08635516808339569,-2.3926438798364407,-0.29265254802909335,0.16839207405742035,8.937108924560086,0.0,-0.5625652871393764,-0.21759614269142752,-0.32518116033170025,0.2872293563063344,0.5891901856107831,8.594072883941799,1.9967306290946174,-0.5744587126126688,0.7613512240299122,0.22122471158230878,0.0,-0.11233517535606712,-0.2919168203286502,0.2962934280493431,0.2872293563063344,-0.08693331110486358,-1.2680306459980546,0.0847597247885023,0.12592314092682477,0.03029866730480605,0.0,-0.021386921228526035,1.1412766419261064,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4846304459362618,-0.16839207405742032,0.0,0.0,0.0,3.475847063078529,0.5050261445282495,1.0,-0.013225108537973651,-0.4066374108773957
0.7094291050434801,1.4095841189638123,0.8469034910411327,0.2931646459471682,0.3867718575849847,-1.2810802482478565,0.0,-0.0864468716092469,-2.391281583615397,-0.2926980963611178,0.16836555073056855,8.93901802183051,0.0,-0.5626654229575936,-0.21765486219944774,-0.3246999632565207,0.28715186680611904,0.5897496359422935,8.588171273065097,1.9968171497313871,-0.5743037336122381,0.7623998804162074,0.22150687729517293,0.0,-0.11248961200762776,-0.2919649696834766,0.2964624168851409,0.28715186680611904,-0.08701563239040878,-1.2671566184369878,0.08473663995501239,0.1263107297731331,0.030355859019718587,0.0,-0.021410127824229797,1.1410998175946263,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4848643259574468,-0.16836555073056853,0.0,0.0,0.0,3.476935692498232,0.5050507795464351,1.0,-0.013052022196140989,-0.40710507187140826
0.7093883619611806,1.4096650771594168,0.8467997672213375,0.2931975775203354,0.3866067720836072,-1.28132404957239,0.0,-0.0865385233988325,-2.389918374610909,-0.2927436527539228,0.16833906931240744,8.943005227130861,0.0,-0.5627644504149338,-0.21771355478998514,-0.32421804356224027,0.28707445459833636,0.5903085839297593,8.58226907456011,1.9969036253965562,-0.5741489091966727,0.7634483234066315,0.22178751705671276,0.0,-0.11264402024289251,-0.29201303838573583,0.2966308348614707,0.28707445459833636,-0.08709788212125036,-1.2662825521024876,0.0847135809551545,0.12670853330332044,0.030411958166077797,0.0,-0.02143482899717064,1.1409232372323759,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4850979099572208,-0.16833906931240744,0.0,0.0,0.0,3.478023894864745,0.505077215100282,1.0,-0.012879231350853004,-0.40757286749601235
0.7093476235584282,1.409746035355021,0.8466960236975181,0.2932305209001537,0.3864419199146633,-1.2815670185741277,0.0,-0.0866301234006475,-2.3885542138275553,-0.29278921712028116,0.1683126298545598,8.945290653267932,0.0,-0.5628623759496735,-0.21777222032709045,-0.32373540310912413,0.28699711977095144,0.5908670293577348,8.57636611851474,1.9969900556155078,-0.5739942395419029,0.7644965503331187,0.2220666412003685,0.0,-0.11279839967650733,-0.2920610263835201,0.29679868467763726,0.28699711977095144,-0.08718006026858206,-1.2654084217767867,0.08469054780645963,0.12711647830202222,0.03046697373588471,0.0,-0.021461014320633076,1.1407469012887532,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.485331197165815,-0.1683126298545598,0.0,0.0,0.0,3.4791116670600717,0.5051054364859999,1.0,-0.012706736264924579,-0.40804079768868834
0.7093068898344165,1.4098269935506254,0.8465922605370605,0.2932634760696306,0.3862773011873261,-1.2818091552064512,0.0,-0.0867216715535061,-2.3871891007609483,-0.29283478936848306,0.16828623240850016,8.948638744180464,0.0,-0.5629591853627813,-0.21783085867487892,-0.3232520437730157,0.28691986241161405,0.5914249719451287,8.570462476349174,1.9970764398833918,-0.5738397248232281,0.7655445584392697,0.22234422780137686,0.0,-0.11295274991003736,-0.2921089336235786,0.2969659587005063,0.28691986241161405,-0.08726216679387244,-1.2645342377937183,0.08466754052637501,0.1275347136961143,0.03052088955758333,0.0,-0.021488705969344934,1.1405708102120784,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4855641868144436,-0.16828623240850013,0.0,0.0,0.0,3.4801990059133554,0.505135469291475,1.0,-0.012534537185794226,-0.4085088623128671
0.7092661607883397,1.4099079517462296,0.8464884778073541,0.2932964430117603,0.3861129160099575,-1.282050459365052,0.0,-0.0868131678062564,-2.385823142742044,-0.29288036941064544,0.16825987702555464,8.951351723088607,0.0,-0.5630549088728842,-0.21788946969753192,-0.32276796740439134,0.2868426826076577,0.5919824114796747,8.564558350740189,1.9971627777218004,-0.5736853652153154,0.7665923450543259,0.22262032429962142,0.0,-0.11310707055763626,-0.29215676005026164,0.2971326715211611,0.2868426826076577,-0.08734420166870589,-1.2636600298990137,0.08464455913226425,0.12796291089904305,0.03057374355934026,0.0,-0.021517855809195297,1.140394964449586,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4857968781353084,-0.16825987702555464,0.0,0.0,0.0,3.481285908299623,0.5051672524246011,1.0,-0.01236263439179175,-0.4089770613143465
0.7092254364193921,1.409988909941834,0.8463846755758002,0.293329421709521,0.3859487644901214,-1.2822909309689237,0.0,-0.0869046121035834,-2.3844562074991087,-0.29292595715712383,0.1682335637569027,8.954214274438606,0.0,-0.5631495104014704,-0.21794805325929312,-0.3222831758779607,0.2867655804461059,0.5925393477210992,8.558653480203622,1.9972490686406719,-0.5735311608922118,0.7676399074679064,0.2228948746434409,0.0,-0.11326136122756304,-0.29220450561069256,0.29729880457084645,0.2867655804461059,-0.08742616486049459,-1.262785759330539,0.08462160364140811,0.12840145390865898,0.03062549293271394,0.0,-0.02154852077061875,1.1402193644474496,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.486029270361589,-0.1682335637569027,0.0,0.0,0.0,3.4823723710733665,0.505200854133621,1.0,-0.012191028139106441,-0.40944539460287127
0.7091847167267679,1.4100698681374382,0.846280853909801,0.293362412145879,0.3857848467345632,-1.2825305699650589,0.0,-0.08699600438764468,-2.383088360289478,-0.2929715525177642,0.1682072926535735,8.957910141983238,0.0,-0.5632430258124915,-0.2180066092244772,-0.3217976710742753,0.2866885560136618,0.5930957804122812,8.55274789419392,1.9973353121468034,-0.5733771120273236,0.7686872429444551,0.22316793501523668,0.0,-0.11341562152431507,-0.2922521702510676,0.2974643752557993,0.2866885560136618,-0.08750805633412624,-1.261911430249353,0.08459867407100283,0.1288499537932455,0.03067618241059762,0.0,-0.021580643728918325,1.1400440106507397,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4862613627274788,-0.16820729265357348,0.0,0.0,0.0,3.4834583910834986,0.5052362023875566,1.0,-0.012019718686143821,-0.4099138620568028
