u,best_A_grid,best_min_eig_grid,eig_L6_at_best,eig_L42_at_best,eig_L1000_at_best
0.6893473368342086,60.0,-0.6400750380205896,-0.6400750380205896,0.0034659454965467558,1.0323492982905785e-05
0.6893735933983496,60.0,-0.6424555393226146,-0.6424555393226146,0.0034630827665374335,1.0331085880140476e-05
0.6893998499624906,60.0,-0.6442350571602643,-0.6442350571602643,0.0034620767291459564,1.0338818475564274e-05
0.6894261065266316,60.0,-0.6453470888390613,-0.6453470888390613,0.003463122250584378,1.0346696325030785e-05
0.6894523630907726,60.0,-0.6458792899123773,-0.6458792899123773,0.0034659509345557156,1.0354701242788356e-05
0.6894786196549137,60.0,-0.6466887965130319,-0.6466887965130319,0.0034679315945979105,1.036267088680221e-05
0.6895048762190548,60.0,-0.6479739103865764,-0.6479739103865764,0.0034684580844782467,1.0370571160760954e-05
0.6895311327831958,60.0,-0.649244643223108,-0.649244643223108,0.00346903408525605,1.0378495011032042e-05
0.6895573893473368,60.0,-0.6505295455944952,-0.6505295455944952,0.0034695700750788988,1.0386435763789361e-05
0.6895836459114778,60.0,-0.6517878276206659,-0.6517878276206659,0.0034701920670215138,1.0394401770693763e-05
0.6896099024756188,60.0,-0.6531099785183466,-0.6531099785183466,0.0034706238326905224,1.040237662105273e-05
0.6896361590397599,60.0,-0.6548935021456389,-0.6548935021456389,0.003469648890425823,1.041028681559391e-05
0.689662415603901,60.0,-0.6567366157644655,-0.6567366157644655,0.0034684994684020857,1.0418210250953116e-05
0.689688672168042,60.0,-0.6580258892312739,-0.6580258892312739,0.0034690496039847044,1.0426259209342002e-05
0.689714928732183,60.0,-0.6587675883710501,-0.6587675883710501,0.003471276870222414,1.0434429217093518e-05
0.689741185296324,60.0,-0.6590290328861252,-0.6590290328861252,0.0034749778151131746,1.044270790293329e-05
0.6897674418604651,60.0,-0.6586879537530609,-0.6586879537530609,0.0034805217970349934,1.0451112512145524e-05
0.6897936984246061,60.0,-0.6575020944626836,-0.6575020944626836,0.003488651690787744,1.0459685487377616e-05
0.6898199549887472,60.0,-0.6565036862917144,-0.6565036862917144,0.003496210574797583,1.0468230595071755e-05
0.6898462115528882,60.0,-0.6567322056939195,-0.6567322056939195,0.0035000159546146417,1.047655805992512e-05
0.6898724681170292,60.0,-0.6581321196776642,-0.6581321196776642,0.0035002372494718,1.0484683423490426e-05
0.6898987246811703,60.0,-0.6606852239305019,-0.6606852239305019,0.0034969359821608505,1.0492615602324783e-05
0.6899249812453113,60.0,-0.6644883298720847,-0.6644883298720847,0.0034898304193230244,1.050034516404497e-05
0.6899512378094523,60.0,-0.6687452174906586,-0.6687452174906586,0.0034813647827498474,1.0508026153417253e-05
0.6899774943735933,60.0,-0.672277094724411,-0.672277094724411,0.0034751337511439236,1.0515878181817008e-05
0.6900037509377344,60.0,-0.6750427861315453,-0.6750427861315453,0.003471251167522565,1.0523903113866528e-05
0.6900300075018755,60.0,-0.6771930278584287,-0.6771930278584287,0.0034692543460129316,1.0532072202438586e-05
