u,x,phi,svt_weight,horndeski_weight,K_even_corrected,alpha4,alpha7,Codd,even_angular_cond55,even_angular_cond56,even_cOmega_minus2,Ephi_residual,pure_svt_full_pass,carrier_status
0.600379439088485,1.6656133353237939,0.5884272282608584,0.9999096720634669,9.032793653307447e-05,0.005000000267060994,1.946328222460694,1.064866423040253,0.35179770657661946,-10860.692387330833,-2142248.102167598,-11054.482339142258,-3.4655379833276065e-14,False,common Horndeski+SVT hybrid required
0.6004037578301246,1.6655458713550146,0.5884705787284551,0.9999145126431366,8.54873568634229e-05,0.0050000000342447296,1.9468919162298042,1.0662393586971572,0.3519757853327872,-10846.783485414564,-2132431.431295294,-11039.939449683085,-3.449409733764899e-14,False,common Horndeski+SVT hybrid required
0.6004280765717641,1.6654784128511326,0.5885139345271807,0.999919140655999,8.085934400103856e-05,0.004999999998208303,1.947455692015273,1.0676125570685857,0.3521534109218871,-10832.792837479667,-2122627.8480329528,-11025.3158454482,5.069038970574951e-14,False,common Horndeski+SVT hybrid required
0.6004523953134037,1.6654109598114837,0.5885572956588313,0.9999235631067416,7.643689325842473e-05,0.005000000176501661,1.9480195613841127,1.0689860335289298,0.3523305502886851,-10818.737213741833,-2112850.330719734,-11010.6290462663,-5.736270004842516e-14,False,common Horndeski+SVT hybrid required
0.6004767140550432,1.6653435122354039,0.5886006621252035,0.9999277868635083,7.221313649174999e-05,0.004999999935731216,1.9485835267703049,1.0703598010844197,0.3525071773819514,-10804.675726224883,-2103126.0803736746,-10995.939491941164,3.613315618618054e-14,False,common Horndeski+SVT hybrid required
0.6005010327966828,1.6652760701222296,0.588644033928094,0.9999318186576417,6.818134235830886e-05,0.004999999667188493,1.9491475636536162,1.0717338221418173,0.3526833502433824,-10790.492000631077,-2093394.8438870823,-10981.127613307903,1.7134340202501162e-14,False,common Horndeski+SVT hybrid required
0.6005253515383223,1.665208633471297,0.5886874110692996,0.9999356650834967,6.43349165032614e-05,0.005000000336860904,1.9497116840138,1.0731081110235154,0.3528590324081066,-10776.291471534283,-2083718.0410612288,-10966.302413136269,5.1249991517273404e-14,False,common Horndeski+SVT hybrid required
0.6005496702799619,1.6651412022819427,0.5887307935506181,0.9999393325983279,6.066740167209872e-05,0.004999999995274995,1.9502758999637144,1.0744826787538604,0.3530342035514211,-10761.935281684502,-2074033.0712419376,-10951.321714655,1.4210854715202004e-14,False,common Horndeski+SVT hybrid required
0.6005739890216014,1.665073776553503,0.5887741813738468,0.9999428275222503,5.7172477749722894e-05,0.004999999882462496,1.9508401971665066,1.0758574871586766,0.3532089174158888,-10747.415414503484,-2064342.799961158,-10936.178066117207,4.853204966960084e-14,False,common Horndeski+SVT hybrid required
0.600598307763241,1.6650063562853148,0.588817574540784,0.9999461560382739,5.384396172614103e-05,0.0050000002656330166,1.9514045525848254,1.0772325525465634,0.3533831343581385,-10732.84822135297,-2054683.936561192,-10920.98899350129,-2.23691948161791e-14,False,common Horndeski+SVT hybrid required
