u,x,phi_Xi,f,h,chi,w_Horndeski_formal,w_SVT_formal,w_core_formal,sector,A0prime,f3,f4,N4,tilde_f3,f3X_integrated,f2,f2X,Ephi_residual,alpha4,alpha6,alpha7,Codd,K_even_corrected,odd_tensor_cr2,odd_vector_cr2,odd_tensor_cOmega2,odd_vector_angular_margin_lb,v1,v4,c2,even_scalar_cr2,even_vector_cOmega2,even_angular_cond55,even_angular_cond56,even_angular_discriminant,even_cOmega_minus2,even_cOmega_plus2,HXX,HXF,HXY,HFF,HFY,HYY,H_norm,control_sigma_min,v13,e4,M22_0,K_ZK_exact,D_h1_pivot_l2,K_ext_certified_reference,core_F_certified_lower_bound,core_GH_certified_lower_bound,core_EF_scalar_kinetic_limit,explicit_unreduced_rep_available,full_center_to_infinity_unreduced_coefficients_available
0.617520440417145,1.6193795938551991,0.6204120618361061,0.3808457078622763,0.4145913238331131,1.955855683214192,0.0,1.0,0.0,central_SVT_explicit,1.5938299723870362,-0.9886773466118695,-0.9895434188793677,0.16548333646365146,0.0,23.724405222822455,-1.1678755890782122,129.20321221883825,-4.183476162477201e-14,1.625117184732592,-0.4565252766192592,2.865995873236808,1.3555927282713796,2.821936112461562,1.0088346852782284,20.253486363222162,12.051400186676501,11.463983492947232,35.78507323964476,0.0,37.73607896525923,1.0000000000000002,1.0,2335.5991077013155,593314.7195069061,3081791.7940172455,290.0499187624354,2045.5491889388798,0.7531104942121458,4.528086707335998,6.242006792425241,15.882977063059036,10.391974359437993,14.864922494208203,25.32314120695202,1.7844168237783407,31.993281720930025,92.89349554836866,-548.810546336947,17.242024479488773,-15.705397827628312,,,,,True,False
0.6175528189070745,1.619294689270091,0.6204753953799179,0.380815939021549,0.4145363375669687,1.9562195445047923,0.0,1.0,0.0,central_SVT_explicit,1.5940997704888649,-0.9899318422236725,-0.9899872898075749,0.16577982602166944,0.0,23.681944131412322,-1.1678901981016339,129.14518085624854,1.963923372269669e-14,1.6243465276259301,-0.4568389765938083,2.8685233041831326,1.3575334752151782,2.8295404598312928,1.0088510624620812,20.296935816423755,12.05968776669583,11.474093216732532,35.836324577634315,0.0,37.69432413771531,1.0000000000000002,1.0,2322.370456658274,586209.0167731958,3048594.9715874046,288.1758707073687,2034.1945859509053,0.752046675020542,4.526855076738858,6.232232811775561,15.889518278940974,10.37965658495496,14.844555453809798,25.307581363148767,1.7856913544222828,31.713239549308682,91.58762723679732,-546.5256193925271,17.262033010713406,-15.715838512031764,,,,,True,False
0.6175851913745171,1.619209809377664,0.6205387289237297,0.3807861736710119,0.4144813486618127,1.95658347518703,0.0,1.0,0.0,central_SVT_explicit,1.5943664907022492,-0.991180369065555,-0.9904286284366001,0.1660757803309318,0.0,23.639852057346115,-1.1679013239773035,129.08733307965747,5.044464002841791e-14,1.6235792317005115,-0.45715007951171494,2.8710353470305567,1.3594627441591407,2.8371256882872466,1.0088674314226707,20.340226303184732,12.067907210405947,11.484141388122229,35.88727419779039,0.0,37.65295191573283,1.0000000000000004,1.0000000000000002,2308.9881614462106,579059.2961387577,3015200.93815193,286.278253791096,2022.7099076551144,0.7509967973840319,4.525670578736494,6.222553038655219,15.89609164074756,10.367462426349643,14.824341360425397,25.292231817653455,1.7869549114620604,31.42885288940327,90.26643621860096,-544.1748131350851,17.281917230182493,-15.726207233275952,,,,,True,False
0.6176158544735051,1.619129419617091,0.6205987291231304,0.3807579781368596,0.4144292514915544,1.9569283155593324,0.0,1.0,0.0,central_SVT_explicit,1.594616164665245,-0.9923572211136495,-0.9908442067775373,0.16635562074949514,0.0,23.600338312200524,-1.167908459229046,129.03271171130356,2.056914361605972e-14,1.622856101870026,-0.45744224258499055,2.8733999647425144,1.3612790302856053,2.8442925697491424,1.008882930658435,20.38107305103964,12.075626727697292,11.49359985897006,35.935241462052744,0.0,37.614135996300995,0.9999999999999998,1.0,2295.9153608394236,572116.5707223137,2982767.3653837466,284.4236455583571,2011.491715281067,0.7500157624908721,4.524594326371232,6.213474610226672,15.902349353177973,10.356031083938207,14.805340451551348,25.27789469881691,1.788141227181136,31.15093641546368,88.98482478316254,-541.818346825547,17.300631680123495,-15.735959001940437,,,,,True,False
0.617648215216084,1.619044587783922,0.6206620626669422,0.3807282195814426,0.4143742574989542,1.9572923811415333,0.0,1.0,0.0,central_SVT_explicit,1.5948764128306847,-0.9935928372253755,-0.9912800621513647,0.16665041749600665,0.0,23.559028137023066,-1.167912260393677,128.97525645856948,-4.826244652820281e-14,1.622096579920339,-0.4577478059156517,2.875879156540318,1.363183521854974,2.8518363276743295,1.0088992823230425,20.42400959806275,12.083700828808515,11.503516626161272,35.98553972527782,0.0,37.573581926516724,0.9999999999999998,1.0,2282.7113641999567,565175.7371652259,2950087.9389927075,282.56617562537804,2000.145188574579,0.7489950592619959,4.523508412972514,6.203992205359023,15.908987115576032,10.344097234524241,14.785447148153922,25.262984144772,1.789381665755351,30.86862047283902,87.67294992180759,-539.5010957719118,17.320249564381808,-15.74617385568775,,,,,True,False
0.6176805699394007,1.61895978061623,0.620725396210754,0.3806984645146077,0.4143192609204429,1.9576565158778425,0.0,1.0,0.0,central_SVT_explicit,1.5951336099769453,-0.994822893438325,-0.9917135646278582,0.16694480067385292,0.0,23.51807433800248,-1.167912616897636,128.91797739068093,3.979149263085137e-14,1.6213404688500126,-0.45805085336863643,2.8783434274104347,1.3650770609226466,2.8593619206967777,1.008915631051591,20.46679253926421,12.09170893791495,11.513373709641739,36.03555015448228,0.0,37.533396857405755,0.9999999999999998,1.0,2270.862046723897,559039.6067141518,2920677.8424278805,280.9331779583771,1989.9288687655196,0.7479879907783574,4.5224690804734795,6.194601812871528,15.915658808699567,10.332283791659766,14.765703437808302,25.24828032262035,1.7906111762783967,30.613251018810526,86.4571439866531,-537.5971926235502,17.3397477685787,-15.756319245562212,,,,,True,False
0.6177129186445524,1.6188749981047836,0.6207887297545658,0.3806687129358098,0.4142642617740549,1.958020719687516,0.0,1.0,0.0,central_SVT_explicit,1.5953877646190469,-0.9960476913622428,-0.9921448449646212,0.16723881632623597,0.0,23.47746926471713,-1.1679095408981122,128.8608690277703,-7.048134722773632e-15,1.6205871795697588,-0.4583514421168573,2.8807931241769533,1.3669600658877528,2.8668701603569042,1.008931978301358,20.50943504540863,12.099652564667922,11.523172496707813,36.08528379815171,0.0,37.49357061278299,0.9999999999999998,1.0,2258.8352152697275,552840.4982202061,2890993.2712100986,279.272984802235,1979.5622304674923,0.7469944497041942,4.521476258814327,6.1853025620509925,15.922366259467056,10.32058913148355,14.746107886000306,25.233782426653494,1.7918297740064393,30.353357379301986,85.22726340240692,-535.6226138479752,17.35912976000734,-15.766397002202435,,,,,True,False
0.6177435592358878,1.6187947005662686,0.6208487299539664,0.3806405304465829,0.4142121549672294,1.958365818518249,0.0,1.0,0.0,central_SVT_explicit,1.5956256962739743,-0.9972027484688908,-0.9925511893494202,0.1675169041554774,0.0,23.439334780640205,-1.1679034169934277,128.80693290994932,0.0,1.6198769438012577,-0.45863383830774773,2.8830998124988225,1.3687335454569554,2.873965823924571,1.0089474593250187,20.54968333021918,12.10711588408586,11.532399249995292,36.13212603515482,0.0,37.456188035814435,0.9999999999999998,1.0000000000000002,2246.449760665141,546460.2185816944,2860704.2930627884,277.5447096483162,1968.9050510168247,0.7460658338474889,4.520578886651599,6.176578076775438,15.92875126460073,10.309622121604468,14.727682576287435,25.220238801398295,1.7929740122906968,30.08620411903222,83.98797384315641,-533.4336453211441,17.37737843589704,-15.775878759526885,,,,,True,False
0.6177758962246075,1.6187099660431323,0.6209120634977783,0.3806107856587137,0.4141571508720342,1.9587301566071724,0.0,1.0,0.0,central_SVT_explicit,1.595873620535911,-0.9984154437371123,-0.9929773298761706,0.16780976824024246,0.0,23.39947090525715,-1.1678933141067278,128.7501991907032,0.0,1.6191307047074734,-0.45892912513534945,2.885518027625296,1.3705928819365667,2.881434227236874,1.0089637874338409,20.59198964985449,12.114920421921138,11.542072110501183,36.181237552579695,0.0,37.417140806379976,1.0000000000000002,1.0,2232.441878699953,539249.5286122464,2826817.07029065,275.5653007486452,1956.8765779513076,0.7450999277738322,4.519680177754069,6.16746578173138,15.93552131314767,10.298174562716524,14.70839155687826,25.206157471162292,1.794170221085963,29.782814564711853,82.6053668604448,-530.8001632203423,17.396505803324082,-15.78580941722991,,,,,True,False
0.6178082271984024,1.6186252561490424,0.6209753970415901,0.380581044357275,0.4141021442621758,1.959094563530992,0.0,1.0,0.0,central_SVT_explicit,1.5961183658453866,-0.9996211544258112,-0.9934004920353777,0.168101808413142,0.0,23.360001626872336,-1.1678796302829508,128.693672060297,1.0854539490869993e-14,1.6183892841817664,-0.45922154637894474,2.8879191881327224,1.37243887689723,2.8888796656523668,1.0089800962352076,20.63408912856324,12.122649761224103,11.55167675253089,36.229998256917746,0.0,37.378517564692146,0.9999999999999997,1.0,2217.423843025736,531549.7642448953,2790807.003102042,273.42935817112874,1943.9944848546077,0.7441480922783706,4.518828793920794,6.158449162812817,15.942316833324048,10.28685547198888,14.689256786482344,25.192285710207717,1.7953549809362586,29.45750467245189,81.14597889101879,-527.8395097980956,17.41549320398449,-15.795659834497702,,,,,True,False
