u,x,phi,A0prime,f3,f4,N4,tilde_f3,JAres,alpha4,alpha6,alpha7,Codd,K_even,omega3_numerator,odd_ang_margin_lb,hessian_rank_v1_v4_c2,hessian_sigma_min
0.5858063041722921,1.7070488877939576,0.5633452055172516,0.4954287930989485,0.167237468916011,-0.6058486253320388,-0.011877288376477,0.0,-9.692767422020411e-17,2.005880534201228,-0.0622315137742389,0.3299164353652433,0.1061095553028103,0.7220738836584235,1.0666209153610526,1.3196657414609732,3,0.1103849578033406
0.5858443644567637,1.706937986724974,0.5634085390610635,0.4969026312255217,0.1668635824833655,-0.6058562652320499,-0.0118403779747559,0.0,-1.8041124150158796e-16,2.006240321941739,-0.0623825606783601,0.3307775117336587,0.106276420214961,0.7214207906695531,1.0676033210675466,1.3231100469346349,3,0.11080634893182
0.5858824183815132,1.7068271185922888,0.5634718726048753,0.4983771530231137,0.1664880982686006,-0.6058646333663991,-0.011803290320093,0.0,8.435092901937223e-17,2.0065991346323853,-0.062534155341028,0.3316418047108009,0.1064440670849449,0.7207665983644753,1.068591063727511,1.3265672188432038,3,0.1112306882493555
0.5859204659461242,1.706716283387088,0.5635352061486871,0.4998523525955377,0.166111124025128,-0.6058736855031941,-0.0117660055576895,0.0,-1.3227266504323154e-16,2.00695708309464,-0.0626862965105666,0.3325093092077558,0.1066124866522715,0.7201113092014055,1.069584057899739,1.3300372368310232,3,0.1116579860887272
0.5859565051401271,1.7066113119793038,0.5635952063480878,0.5012505299700267,0.1657527136140476,-0.6058828521153768,-0.0117304833559772,0.0,1.0733601507606494e-16,2.007295376112263,-0.0628309331966777,0.3333341131814342,0.1067727462803816,0.7194894991459209,1.0705295552128429,1.333336452725737,3,0.1120655329643855
0.5859945403180161,1.7065005408707483,0.5636585398918996,0.5027270325968735,0.1653731464978651,-0.605893109486195,-0.0116927578482591,0.0,7.068998164605489e-17,2.007651732660958,-0.0629841348651714,0.3342078562113393,0.1069426434729178,0.7188320800085182,1.071532527563431,1.3368314248453574,3,0.1124986217079275
0.5860325691345489,1.706389802663693,0.5637218734357115,0.504204195771183,0.164992406220034,-0.6059039207478036,-0.0116547768296847,0.0,8.998878031629687e-17,2.0080072802710385,-0.0631378791054365,0.3350847944096989,0.1071132852562602,0.7181735695671114,1.0725404945716788,1.3403391776387958,3,0.1129346993032898
0.5860705915893166,1.706279097349318,0.5637852069795233,0.5056820136989258,0.1646106000402043,-0.6059152418419995,-0.011616520524346,0.0,-1.723881454251952e-16,2.0083622258978697,-0.0632921644979578,0.3359649217640315,0.107284661815542,0.7175139691685599,1.0735533673707156,1.343859687056126,3,0.1133737760055278
0.5861066069935523,1.7061742489638934,0.563845207178924,0.507082650477101,0.1642473213930172,-0.605926681819384,-0.0115800050132038,0.0,-1.255506115738214e-16,2.008697456334857,-0.0634388397471431,0.33680172796403,0.1074477630624657,0.7168881712152788,1.0745180214663508,1.34720691185612,3,0.1137925191707014
0.58614461705845,1.706063607678377,0.5639085407227357,0.5085617269202982,0.1638616481330395,-0.6059397444568411,-0.011541178624678,0.0,-8.521829075736065e-17,2.00905006640602,-0.0635942127867331,0.3376882498811055,0.1076207759250835,0.7162267334920955,1.0755421852210274,1.350752999524422,3,0.1142374655833673
0.586182620760386,1.7059529992595437,0.5639718742665475,0.5100414411891137,0.1634739613521237,-0.6059537123773906,-0.0115020825172217,0.0,2.3050138187041824e-16,2.009401469194471,-0.0637501458333053,0.3385780661375387,0.107794636183755,0.7155643813627846,1.0765721974707452,1.3543122645501549,3,0.1146854412074682
0.586220618098958,1.7058424236985696,0.5640352078103593,0.5115217875906124,0.1630845241083638,-0.6059684752513027,-0.0114627371774058,0.0,-1.244664094013359e-16,2.009751817419463,-0.0639066347084657,0.3394711564670782,0.1079693169871166,0.7149010959929454,1.0776078226718249,1.3578846258683128,3,0.1151364562190991
