q,A,e6,e42,e1000,score
0.75,500,-1054.8312634618499,-67.16012684905722,1.4555817058413852e-05,-1054.8312634618499
0.5,0,-1090.6684349159088,-70.4370655674692,-7.070066906596243e-05,-1090.6684349159088
0.75,400,-1152.1545853910832,-76.70515779239228,3.0092052224750555e-05,-1152.1545853910832
0.75,300,-1254.4745385426772,-86.86257861754004,3.692762609772054e-05,-1254.4745385426772
1.0,100,-1262.5852978752619,-0.03940248567737126,5.043686070670169e-05,-1262.5852978752619
0.75,200,-1361.8344761907074,-97.66435188197741,3.447402297720861e-05,-1361.8344761907074
0.75,100,-1474.245815598517,-109.14102828727795,2.2088441333433248e-05,-1474.245815598517
0.75,0,-1591.6876694339405,-121.3210514441711,-9.32611374520395e-07,-1591.6876694339405
1.0,0,-1724.5827313427444,-40.484632046551106,4.913753436037368e-05,-1724.5827313427444
1.5,0,-2654.015946893872,-234.59731947511224,-6.472503783040392e-05,-2654.015946893872
1.5,100,-2720.176308634622,-242.68585913053647,-6.812331643069564e-05,-2720.176308634622
1.5,200,-2786.7264601644415,-250.83420004068591,-7.15888792997935e-05,-2786.7264601644415
1.5,300,-2853.6617889600716,-259.0418831691485,-7.512186508603777e-05,-2853.6617889600716
1.5,400,-2920.9776649194914,-267.308438252875,-7.872241281892262e-05,-2920.9776649194914
1.5,500,-2988.6694442882954,-275.63338436383265,-8.239066190983726e-05,-2988.6694442882954
1.5,600,-3056.73247347026,-284.0162304767418,-8.612675215399033e-05,-3056.73247347026
2.0,0,-3130.9014925864417,-287.07876202526325,-6.960833245864224e-05,-3130.9014925864417
2.0,100,-3167.284929177675,-291.81610647997627,-7.1675601600164e-05,-3167.284929177675
1.5,800,-3193.9536397507304,-300.9536115205415,-9.380301720826995e-05,-3193.9536397507304
2.0,200,-3203.732019317933,-296.56347222341356,-7.376909385401641e-05,-3203.732019317933
2.0,300,-3240.2424253958025,-301.3208146705051,-7.588885253410264e-05,-3240.2424253958025
2.0,400,-3276.8158104723125,-306.08808918558435,-7.803492104994666e-05,-3276.8158104723125
2.0,500,-3313.4518383067452,-310.8652510868756,-8.020734290653681e-05,-3313.4518383067452
1.5,1000,-3332.60387530176,-318.11647275291085,-0.00010175233406427975,-3332.60387530176
2.0,600,-3350.1501733754694,-315.6522556514729,-8.240616170475471e-05,-3350.1501733754694
2.0,800,-3423.7324268617444,-325.2556137051022,-8.688316501189248e-05,-3423.7324268617444
2.0,1000,-3497.5599019950914,-334.897804928638,-9.146628170814021e-05,-3497.5599019950914
2.0,1500,-3683.1840379613936,-359.1708232165042,-0.00010339063526486496,-3683.1840379613936
1.5,1500,-3685.237795147616,-361.9820549065921,-0.00012282767401343788,-3685.237795147616
3.0,0,-3724.695566682997,-350.79410564910756,-7.175569288113323e-05,-3724.695566682997
3.0,100,-3745.065528412173,-353.57244848776236,-7.290226572416262e-05,-3745.065528412173
3.0,200,-3765.442530790423,-356.35188197254354,-7.405716437762243e-05,-3765.442530790423
