u,x,T_H,S_SVT,K11,K12,K13,K21,K22,K23,K31,K32,K33,R11,R12,R13,R21,R22,R23,R31,R32,R33,G11,G12,G13,G21,G22,G23,G31,G32,G33,S11,S12,S13,S21,S22,S23,S31,S32,S33,M11,M12,M13,M21,M22,M23,M31,M32,M33
0.5743556635670592,1.7410814647312072,0.999684566697848,0.0003154333021521,0.011143065108568342,-0.7812990840392898,-3.473029283668513e-07,-0.7816844748271848,61.479254522816134,4.051024304678052e-06,-3.4730292836672135e-07,4.051024304676579e-06,0.2774716597178364,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006721260651331204,-0.015636063010645202,-7.019139925283759e-08,-0.015636063010645202,1.010917796497343,8.037780645078167e-07,-7.019139925283759e-08,8.037780645078167e-07,0.05513301280871305,8.465450562766819e-16,0.023258620395586516,3.7233444203288777e-07,-0.02325862039540494,9.521272659185342e-12,0.000755025130380773,-3.7233444203291487e-07,-0.0007550251303807737,-1.7275070263167436e-13,0.09710516802042282,-1481.907817414,-0.0011728860456433825,-1481.907817413999,69086.84162404446,0.5939696250221008,-0.0011595459227631472,0.4637418747299046,14.698469429549107
0.5743822439819981,1.7410008935292598,0.9996662245775132,0.0003337754224869,0.011162983126072255,-0.7839542379178113,-3.6925880599851475e-07,-0.7838591652911698,61.61921263599466,4.311184730515892e-06,-3.692588059983491e-07,4.311184730514813e-06,0.2774228165875432,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006729231120658095,-0.01566374889130088,-7.469311029156721e-08,-0.01566374889130088,1.0124603484162258,8.552096613378637e-07,-7.469311029156721e-08,8.552096613378637e-07,0.055116686053285055,-5.724587470723463e-16,0.21978433391772223,3.9755994337835636e-07,-0.21978433391805363,3.097966327914037e-12,0.0008367659760287887,-3.975599433782344e-07,-0.0008367659760287819,1.1457501614131615e-13,-0.05594792766988171,269.87573929402714,-0.0012018571620939049,269.87573929402794,-12334.855640195368,0.3698603254285731,-0.0012115209917003583,0.37630616173232123,8.150540526797426
0.5744088243969369,1.7409203297840783,0.9996470528680989,0.0003529471319012,0.011176436899565831,-0.7851935632618563,-3.9232638059329593e-07,-0.7849093767583448,61.67940642764562,4.5871792652093336e-06,-3.9232638059349795e-07,4.587179265210764e-06,0.27737343917760193,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006737240451248955,-0.015695363342509976,-7.943108782151404e-08,-0.015695363342509976,1.014183294715502,9.097610205860499e-07,-7.943108782151404e-08,9.097610205860499e-07,0.05510025742431357,1.7850304567801345e-15,-0.00975141153074921,4.238693321197582e-07,0.009751411530582232,-4.511946372076636e-12,0.0008713904058323892,-4.23869332119975e-07,-0.0008713904058323893,1.6431300764452317e-13,0.12532292926308466,995.9484634496589,-0.00128076366602599,995.948463449661,-46222.02607837075,0.0709361710585659,-0.0012845473734773834,0.21087239811851144,2.368397777591672
0.5744354048118757,1.7408397734946268,0.9996270258910808,0.0003729741089191,0.011165234803953358,-0.7817878216696383,-4.1654506498880445e-07,-0.7821826546079608,61.438206822568745,4.885911019679468e-06,-4.1654506498873414e-07,4.885911019676618e-06,0.27732351103311537,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006745234404743259,-0.0157404718655897,-8.441477347154048e-08,-0.0157404718655897,1.016535229964425,9.688316794163861e-07,-8.441477347154048e-08,9.688316794163861e-07,0.055083783268070674,2.5049406993105094e-15,0.07230792029952804,4.5030817298429395e-07,-0.07230792029916111,1.2612133559741778e-12,0.0009323419193385255,-4.503081729837383e-07,-0.0009323419193385239,-2.220446049250313e-13,0.06068305597008467,-1559.406229365454,-0.001359823853631579,-1559.4062293654583,72920.80722913986,0.7468077980802799,-0.0013457034030788498,0.5832166701797112,16.759999402305933
0.5744619852268145,1.740759224659871,0.999606117625684,0.000393882374316,0.011193749446024952,-0.7852246737704431,-4.419565609805095e-07,-0.7850963908637376,61.62406028534723,5.187030965222748e-06,-4.4195656098060653e-07,5.187030965223717e-06,0.2772730153502916,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006753233737085782,-0.015764854853928763,-8.965379586505711e-08,-0.015764854853928763,1.0179192097108976,1.0282884002174755e-06,-8.965379586505711e-08,1.0282884002174755e-06,0.05506706121714109,-3.589142871796014e-15,0.23980047024675316,4.802810538354871e-07,-0.23980047024694973,2.9451996397256153e-12,0.0010290913267245502,-4.802810538350941e-07,-0.0010290913267245465,-9.85878045867139e-14,-0.06947553279516108,601.2731118472708,-0.0013954472289207152,601.2731118472699,-27832.541406417866,0.3878800386010462,-0.0014046437695977205,0.4116988297319915,7.977105132334764
0.5744885656417533,1.7406786832787762,0.999584301716548,0.0004156982834518,0.011205591733033524,-0.7861643735482176,-4.6860387532031327e-07,-0.7859002964619226,61.67375953820996,5.508676039340303e-06,-4.686038753203994e-07,5.508676039342332e-06,0.2772219350606503,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006761273713902479,-0.015797259902273816,-9.515873339036054e-08,-0.015797259902273816,1.0196750284263285,1.091801310434067e-06,-9.515873339036054e-08,1.091801310434067e-06,0.055050253397767174,1.7572748811645056e-15,-0.034662565360102815,5.110627069350042e-07,0.03466256536005097,-4.106937012693379e-12,0.0010625279381838934,-5.110627069352481e-07,-0.0010625279381838914,-1.2434497875801753e-14,0.14717580945193287,1130.5491784891974,-0.00148076909183328,1130.5491784891988,-52653.31299452304,0.05174968167856739,-0.0014896150266449427,0.21091666322342478,2.3325138800471685
0.5745151460566921,1.7405981493503078,0.9995615514815808,0.0004384485184191,0.011187362704049979,-0.7822613250641552,-4.965282334717592e-07,-0.7826664018189455,61.38705896910195,5.857544007503559e-06,-4.96528233471567e-07,5.857544007500387e-06,0.27717025310405696,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006769294232776197,-0.015844637345055278,-1.0093981763994991e-07,-0.015844637345055278,1.0221310869534135,1.1607332427462333e-06,-1.0093981763994991e-07,1.1607332427462333e-06,0.05503341208410942,-3.2595454113604205e-15,0.04694825801686314,5.417363076527684e-07,-0.0469482580166638,-5.5493387662863825e-12,0.0011311113188695416,-5.417363076522941e-07,-0.0011311113188695438,-5.995204332975845e-14,0.08281494831515217,-1577.181439598191,-0.0015807964945338932,-1577.1814395981896,73957.88151720772,0.8773216601207474,-0.0015579044978092727,0.6720361479696683,19.15302223168438
0.5745417264716309,1.740517622873431,0.9995378399199802,0.0004621600800198,0.011209065562852082,-0.7853116888648656,-5.257733455674606e-07,-0.7851499651728017,61.54561936615694,6.208183319442885e-06,-5.257733455676298e-07,6.208183319446842e-06,0.2771179520939492,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.000677731125795313,-0.015870955907817393,-1.0700737673617913e-07,-0.015870955907817393,1.0236011328240324,1.2298993798835988e-06,-1.0700737673617913e-07,1.2298993798835988e-06,0.05501629071777617,-2.6194324487249787e-16,0.21548061134811053,5.765511684567164e-07,-0.21548061134828034,2.305711177541525e-12,0.0012426010962953813,-5.765511684560252e-07,-0.0012426010962953793,-2.76667577736589e-13,-0.048237236891218796,524.2529571293858,-0.0016065141285593622,524.2529571293853,-24334.97670037516,0.42564961079190616,-0.0016232338745811204,0.4762565387766643,7.4384372828250385
0.5745683068865697,1.740437103847112,0.9995131397204232,0.0004868602795766,0.011217908453815548,-0.7858190801879059,-5.563845874373718e-07,-0.7855851565351181,61.56097250406427,6.581749142915742e-06,-5.563845874373326e-07,6.581749142915225e-06,0.2770650143499075,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006785364992946364,-0.01590460070764913,-1.1337302042633973e-07,-0.01590460070764913,1.0254118044397516,1.30359270922363e-06,-1.1337302042633973e-07,1.30359270922363e-06,0.05499907561514181,-1.6254358969902682e-15,-0.025416178818953528,6.123030485957666e-07,0.025416178818963076,5.9401372709544376e-12,0.0012844898096121518,-6.123030485959699e-07,-0.001284489809612154,1.0080825063596421e-13,0.14207728029158975,801.0701161304629,-0.001709883173902634,801.0701161304612,-37361.76568814724,0.1267631380763394,-0.0017169559304157675,0.3009099861384886,2.554181423526097
0.5745948873015085,1.7403565922703166,0.9994874232694057,0.0005125767305943,0.011207172360414245,-0.7825686531210747,-5.884049684047534e-07,-0.7829781051990741,61.331692118519534,6.983018444655834e-06,-5.88404968404751e-07,6.983018444654745e-06,0.2770114222870895,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006793398513013544,-0.015949128309308367,-1.2004781254059712e-07,-0.015949128309308367,1.027733032755947,1.3827904863895267e-06,-1.2004781254059712e-07,1.3827904863895267e-06,0.05498179994266963,6.92154666914746e-16,0.09944384461397321,6.483951595218285e-07,-0.09944384461374733,1.1119993814645568e-12,0.001375537573485699,-6.483951595223706e-07,-0.0013755375734857017,2.2160051571518125e-13,0.04379466906890719,-1616.90541970952,-0.0018156407263974952,-1616.9054197095184,76057.2294849224,1.0823832140421163,-0.001789509640914924,0.8312169767623903,21.663280390103342
