x,u,a1_archive,a1_selected,a2_archive,a2_selected,a5_archive,a5_selected,P,R
1.758513942018355,0.568661968555244,-0.0019426891633504,-0.0019426891634545084,0.1972888333802649,0.1972888333802649,-1.3410597367301564,-1.341059662797925,-1.9779255030265093,0.0020136108557223466
1.7585949002139594,0.5686357897878216,-0.0019265923846627,-0.0019265923847685057,0.1966013779525722,0.19660137795257224,-1.342192478903698,-1.3421925639756143,-1.9775640138675405,0.001872460532149761
1.7586758584095636,0.5686096134306053,-0.0019105424588976,-0.001910542459001509,0.1959140512286579,0.19591405122865793,-1.3433208650519068,-1.3433208398197474,-1.977202617826101,0.0017313231181040418
1.758756816605168,0.5685834394832625,-0.0018945393681567,-0.0018945393682598406,0.1952268549810054,0.19522685498100537,-1.3444474630005925,-1.3444473998339808,-1.9768412017086459,0.0015901986265699066
1.7588377748007722,0.5685572679454605,-0.0018785830944695,-0.0018785830945750575,0.194539789480668,0.19453978948066794,-1.3455780660340435,-1.3455781265804148,-1.9764798854411991,0.001449087079635556
1.7589187329963765,0.5685310988168661,-0.0018626736198253,-0.0018626736199297824,0.1938528557099617,0.19385285570996164,-1.3467058900627906,-1.3467059006972766,-1.9761188258695597,0.0013079884801634183
1.7589996911919807,0.5685049320971473,-0.0018468109260685,-0.0018468109261709404,0.1931660560052532,0.1931660560052532,-1.34782641043374,-1.347826376528328,-1.9757577595178692,0.0011669028360758527
1.7590806493875852,0.568478767785971,-0.0018309949949557,-0.0018309949950625613,0.1924793909943748,0.19247939099437483,-1.3489505784175018,-1.34895062363847,-1.9753966547052113,0.001025830175451682
1.7591616075831895,0.5684526058830048,-0.0018152258082057,-0.001815225808310067,0.1917928613896384,0.19179286138963839,-1.3500753147270943,-1.3500752428646643,-1.9750357760060842,0.0008847705056813447
1.7592425657787938,0.5684264463879164,-0.0017995033474022,-0.0017995033475076989,0.1911064691663188,0.19110646916631877,-1.3511929869227526,-1.3511929987757614,-1.9746749417778942,0.0007437238262214835
1.759323523974398,0.5684002893003732,-0.0017838275940519,-0.0017838275941582647,0.1904202150446327,0.1904202150446326,-1.3523157006789228,-1.3523158048111228,-1.9743141114257532,0.0006026901544884654
1.7594044821700023,0.568374134620043,-0.0017681985296084,-0.001768198529714228,0.1897340997256205,0.1897340997256205,-1.353435080916121,-1.3534349631663622,-1.9739535887852104,0.00046166950008136244
1.7594854403656066,0.5683479823465934,-0.0017526161353975,-0.0017526161355016438,0.1890481256805331,0.18904812568053309,-1.3545453352172396,-1.3545453855950251,-1.9735929187678176,0.0003206618834263001
