u,x,f3_delta,f3X_delta,f3XX_delta,f4_delta,f4X_delta,f4XX_delta,f4XXX_delta,tf4_delta,f2XX_delta,f2XF_delta,f2FF_delta,f2XY_delta,f2FY_delta,f2YY_delta,G3XX_tubular_q
0.7148214285714285,1.398950786909818,1093.4036298644448,548.121029580623,1.7319094075329017e-24,-4026.2230349879965,-1304.81236332637,-99.85489892769232,-3.166550782429559e-25,-796.8493374468985,-0.44921875,-376.09157850819,4.957302773397188e-15,476.1404914898753,-1.2552123440299928e-14,7.945641514271566e-15,-0.08203125
0.7148178571428571,1.39895777645654,-3737.75969043537,-1873.4218015008935,-7.754818242684634e-25,-4467.4422686849075,4459.664602930287,341.28651961305485,1.550963648536927e-25,2723.1997546371285,-0.0078125,1285.4703009037062,-1.0692100697140212e-14,-1627.4474538173927,2.7073179058556896e-14,-1.7137816157264576e-14,-0.41015625
0.7148142857142857,1.398964766073106,1932.6419070725055,968.5184164377731,1.675040740419881e-23,7951.9531549689,-2305.5470261365995,-176.4339323406584,-3.7223127564886245e-24,-1407.701488302413,-0.75,-664.5747345316489,-1.6958271120345013e-14,841.3800323988659,4.293967058765232e-14,-2.71816522019911e-14,0.1328125
0.7148107142857143,1.3989717557595167,1873.7860109111587,939.012646671031,4.508134338414001e-23,-3983.9415638255014,-2235.6538650947987,-171.05522708074614,-5.480071558163808e-24,-1365.381938659611,0.0234375,-644.3417219341089,1.3329328234207327e-13,815.7706926125118,-3.375130057299946e-13,2.1365485761025048e-13,-0.42578125
0.7148071428571429,1.3989787455157734,-4163.7672631165915,-2086.2700787323415,-9.26442286059391e-23,-5124.99819969789,4967.108289859931,380.03720069023603,-1.7577588016751838e-23,3033.2882211732285,-0.1953125,1431.6114594083983,-2.1425994954729157e-13,-1812.5102233008088,5.425350898149e-13,-3.4344300497909123e-13,-0.26953125
0.7148035714285714,1.398985735341877,1576.5165164014222,789.7709284100282,2.3161057151484775e-23,8514.581746846956,-1880.2718985709487,-143.86242591922067,-1.737079286361358e-23,-1148.0485278522626,-0.0078125,-541.9629948841736,-4.458356649243114e-13,686.1647030715851,1.12891907987689e-12,-7.14645770388765e-13,-0.390625
0.7148,1.3989927252378287,2620.628577741551,1312.85489841117,1.6543612251060553e-21,-3768.0298835190224,-3126.175853313829,-239.14076724932937,-7.77549775799846e-23,-1909.3652438733438,-0.296875,-900.9133446607034,2.4618815303666106e-12,1140.631041677846,-6.2339003016082815e-12,3.946322405341811e-12,-0.19140625
0.7147964285714286,1.3989997152036295,-4482.634412696582,-2245.31638521911,1.9852334701272664e-21,-6001.050316955805,5346.578802536863,408.98287002264533,-3.8712052667481695e-22,3265.247958459883,-0.03515625,1540.8391029668198,-2.952105877940206e-12,-1950.8454858293258,7.475312631958422e-12,-4.732240412011322e-12,-0.3828125
0.7147928571428571,1.39900670523928,1085.3156013173416,543.4719881675479,5.346895479542771e-21,9172.258339510923,-1294.0183053344695,-98.99088168927055,-1.3234889800848443e-23,-790.0604238962577,-0.26953125,-373.0145987894033,-7.998875997893818e-12,472.2748364259499,2.0254780684633134e-11,-1.2822305930554456e-11,-0.20703125
0.7147892857142857,1.399013695344782,3453.1756126234213,1729.4371746567144,4.9763185651190145e-21,-3495.095007868356,-4118.643335121296,-315.0021448051806,-4.235164736271502e-22,-2515.5369002412535,-0.046875,-1186.6640392513423,3.324052340961626e-11,1502.450481819915,-8.417263236324004e-11,5.3286104671342445e-11,-0.375
0.7147857142857142,1.399020685520136,-4745.898465442806,-2376.5672916047724,3.4728350837426314e-20,-7044.198793423917,5659.655173019292,432.86235848332916,-1.7470054537119944e-21,3456.261172340124,-0.3515625,1630.5305172273586,-2.905262123648704e-11,-2064.4518444135547,7.356876714604938e-11,-4.657379669098329e-11,-0.15234375
0.7147821428571428,1.3990276757653433,516.0864546618252,258.5187916949823,4.616329562535937e-20,9844.178296534144,-614.9953136060019,-47.08454763044252,-5.1880768019325896e-21,-374.6139560315497,0.01171875,-176.69942958559528,-1.0484926023082705e-10,223.72494294225012,2.655060816131272e-10,-1.680829202284205e-10,-0.421875
0.7147785714285714,1.3990346660804047,4353.1888950181465,2179.2918416547354,2.320870275476783e-19,-3149.502387432528,-5191.169045034769,-396.9129260445396,3.3881317890172014e-21,-3171.3792562604895,-0.34375,-1496.0324421666369,3.452331765914762e-10,1894.1906491493428,-8.742306158568299e-10,5.534514217640756e-10,-0.16015625
0.7147749999999999,1.3990416564653214,-4822.851860819684,-2414.653794163964,1.4230153513872246e-19,-8434.318076148229,5750.48481718235,439.77256897224146,-2.710505431213761e-20,3511.0006445430245,0.0546875,1655.7056281088483,-2.0201982940521964e-10,-2096.3761354595854,5.115796268412806e-10,-3.2387131916172646e-10,-0.453125
0.7147714285714285,1.3990486469200945,66.52162922960503,34.379259163726815,6.505213034913027e-19,10138.35248221468,-79.17503402165349,-6.257483706702347,-1.6008922703106276e-19,-44.468412762192514,-0.171875,-19.74657124388724,-1.0424728778829375e-09,25.002373955089837,2.6398802179708597e-09,-1.6712587236289604e-09,-0.28125
0.7147678571428571,1.399055637444725,5593.452928609419,2799.2143333134222,3.3881317890172014e-19,-3142.3248757705333,-6669.158433675379,-509.77971548518747,-1.5077186461126546e-19,-4074.815216663889,-0.09765625,-1921.9228703151982,2.9225423848448357e-09,2433.4857224277766,-7.400902120761131e-09,4.685419832132297e-09,-0.33984375
0.7147642857142856,1.399062628039214,-4110.341970273581,-2061.6650490705697,2.8731357570865868e-18,-11116.79390426848,4901.13789229015,375.47184302396244,-5.89534931288993e-19,2979.8912435800103,-0.19140625,1399.7518571863704,-7.020889461128212e-10,-1772.340951700086,1.7779689918430054e-09,-1.1256315004271968e-09,-0.265625
0.7147607142857143,1.399069618703562,570.4368956232372,297.3292378164535,2.4936649967166602e-18,8623.238150642337,-683.8403323193694,-54.120451951248114,-6.437450399132683e-19,-382.84616474626944,-0.2578125,-165.75027611846065,-7.59583610757589e-09,209.87172139147413,1.9235571142227595e-08,-1.2177961449122644e-08,-0.21875
0.7147571428571429,1.3990766094377711,8916.820761537097,4447.065869013121,-1.951563910473908e-18,-6289.746144555691,-10626.148576295465,-809.789948686606,8.402566836762659e-19,-6532.618860226165,-0.1953125,-3097.3694850020256,2.270850203254529e-08,3921.895768445375,-5.750729126050098e-08,3.6408043817093504e-08,-0.26171875
0.7147535714285714,1.3990836002418416,155.58132443792076,83.94891333203891,5.637851296924623e-18,-19641.566369020085,-189.99928895917122,-15.199468012803699,-3.3068166260807885e-18,-99.39441774507563,-0.015625,-38.19648938555968,8.643811485716734e-09,48.36491118265321,-2.188980026968614e-08,1.3858566809292685e-08,-0.390625
0.71475,1.3990905911157747,6947.5156443313945,3469.467610779304,3.7947076036992655e-17,-2803.6054410415322,-8282.023314433634,-631.6269185412616,-7.860465750519907e-18,-5075.524244483916,-0.1796875,-2398.6245539279507,-2.367696973420008e-08,3037.1907620295015,5.996012963355243e-08,-3.7961119875338446e-08,-0.2734375
0.7147464285714286,1.3990975820595717,22882.778036565454,11491.08002111049,1.0842021724855044e-17,-26451.027806233138,-27295.17433862435,-2092.1760994865663,-9.974659986866641e-18,-16545.548544673613,-0.30859375,-7740.687030753697,2.114485730339182e-07,9801.50380988355,-5.354884189116245e-07,3.390278811855792e-07,-0.1796875
0.7147428571428571,1.3991045730732332,20601.08846936036,10157.266739536673,5.2909066017292616e-17,-55093.45255878517,-24516.99238938084,-1849.0549310837564,-1.4094628242311558e-17,-15396.518303257704,-0.4765625,-7432.297991068382,4530791012.008322,9411.083494495359,-11474151185.784885,7264523186.200254,-0.0546875
0.7147392857142857,1.3991115641567604,42403.499680419896,21467.63014139984,1.691355389077387e-16,-61314.12517595599,-50638.85528208762,-3908.1235490960316,-2.5587171270657905e-17,-30187.01687523042,-0.1953125,-13896.230621068507,3465950347.9537497,17596.118994658696,-8777527810.56466,5557277711.055663,-0.265625
0.7147357142857143,1.3991185553101546,76991.23181598936,38091.44441937308,2.723515857283587e-16,-113842.21396883878,-91649.27345862107,-6934.392005153148,-5.681219383824043e-17,-57155.70606327193,-0.04296875,-27425.15208270186,2670546093.8563395,34727.40345521089,-6763216962.173567,4281999080.88657,-0.375
0.7147321428571428,1.3991255465334167,116175.09610707854,58687.231539610904,2.1510571102112408e-16,-210631.99832147927,-138689.58776718687,-10683.321221555652,-5.117434254131581e-17,-83016.99038899435,-0.21875,-38356.830260332485,2071961551.00995,48570.13622250529,-5247329342.671372,3322270292.255024,-0.24609375
0.7147285714285714,1.3991325378265476,175479.09768612744,86652.65204779584,6.106226635438361e-16,-285526.51915120793,-208829.94672104885,-15773.432919849909,-2.2551405187698492e-17,-130659.5232138403,-0.1328125,-62858.81149009839,1618259879.0175407,79596.90606503493,-4098342705.1786995,2594826261.6645827,-0.30859375
0.7147249999999999,1.3991395291895483,318255.69875000743,161234.7968678789,8.326672684688674e-17,-497912.16572925565,-380049.7890768765,-29349.79683061153,-5.204170427930421e-17,-226079.4904582724,0.36328125,-103819.98819623372,1271999670.1829417,131466.26726020017,-3221442352.1567416,2039641021.8362348,-0.67578125
0.7147214285714285,1.3991465206224205,424192.8899608688,207418.38359308394,-4.718447854656915e-16,-733703.2703212996,-504116.0204861989,-37754.20905855615,1.214306433183765e-16,-321171.0355981503,-0.078125,-156909.15148675584,1005983732.3880273,198694.1172457979,-2547755043.330058,1613111512.5999923,-0.34765625
0.7147178571428571,1.3991535121251644,753662.4183832419,383978.56557909417,2.1649348980190553e-15,-1208159.912860971,-900657.9620734659,-69892.18300419473,-5.828670879282072e-16,-529422.253450414,-0.30078125,-240247.96252342418,419681281.5378807,304228.40158213873,-1062893243.5727353,672976194.6331878,-0.1796875
0.7147142857142856,1.3991605036977814,1064842.266468923,525178.3239386746,4.0245584642661925e-15,-1751122.2369753518,-1266848.037766881,-95588.31888530987,-4.2327252813834093e-16,-793924.9994367709,-0.46484375,-382350.2186830487,336127159.160151,484177.6022010399,-851288893.8803365,539001952.90283,-0.05859375
0.7147107142857143,1.3991674953402724,1636788.4114122186,817327.3290369331,-6.8833827526759706e-15,-2702899.3192445803,-1950517.7893474405,-148760.24486878663,0.0,-1193370.7591578716,-0.20703125,-562447.5231890256,270678174.44224167,712243.8773122008,-685535464.9282869,434056859.81409276,-0.25
0.7147071428571429,1.3991744870526388,2494995.3147612265,1256764.8271041,1.099120794378905e-14,-4063360.7398138917,-2976681.966221603,-228736.60053839843,5.412337245047638e-16,-1789752.3562194363,-0.140625,-829879.2438721649,219120719.01812413,1050908.5892358415,-554962311.3784237,351385264.28553784,-0.29296875
0.7147035714285714,1.3991814788348815,3509766.23395941,1738933.2079675116,3.774758283725532e-15,-5785617.149078389,-4177798.259448524,-316479.72832941083,-2.4147350785597155e-15,-2594141.3055970967,-0.0703125,-1238829.1877751525,178284274.68237737,1568790.0723820678,-451540218.1307381,285903746.9131706,-0.3515625
