L,u,x,eig_min,eig_mid,eig_max,tracked_0,tracked_1,tracked_2,tracked0_psi,tracked0_dphi,tracked0_V
6,0.7089347336834209,1.4105670839462017,-0.13156123988319038,24.82163392222163,14233.672180576556,-0.13156123988317522,24.821633922223587,14233.672180576554,0.9961496402116788,-0.08766912819682846,-0.00013515676474870668
6,0.7089084771192797,1.4106193285536657,-0.1308605821445763,24.759033625899814,14136.645252029608,-0.13086058214457705,24.75903362589972,14136.645252029604,0.996151384925577,-0.08764930260233016,-0.0001344030515655928
6,0.7088822205551387,1.410671577031346,-0.130163813771491,24.69676060705013,14040.596624950012,-0.13016381377151243,24.696760607047366,14040.596624950014,0.9961531301427441,-0.08762946676156277,-0.00013364840867234352
6,0.7088559639909977,1.410723829379673,-0.1294710028956503,24.634820299040516,13945.528564616818,-0.12947100289565452,24.634820299039976,13945.528564616818,0.9961548753757546,-0.08760962620952435,-0.00013289297195461758
6,0.7088297074268567,1.4107760855990772,-0.12878164469273526,24.573184407984076,13851.359369469283,-0.12878164469272144,24.57318440798587,13851.35936946928,0.996156623637672,-0.08758974667628698,-0.0001321362085296099
6,0.7088034508627157,1.4108283456899882,-0.12809515681337405,24.511809859173383,13757.997136297297,-0.12809515681338315,24.511809859172207,13757.997136297297,0.9961583779978498,-0.0875697932202471,-0.00013137753456343826
6,0.7087771942985747,1.4108806096528366,-0.12741096972413934,24.450659901895317,13665.353534878965,-0.12741096972413699,24.450659901895623,13665.353534878963,0.9961601417660463,-0.08754972813220253,-0.00013061633948887954
6,0.7087509377344335,1.4109328774880527,-0.1267285124845863,24.389695184986845,13573.341472920147,-0.12672851248455785,24.389695184990533,13573.341472920143,0.9961619182046825,-0.08752951420648272,-0.00012985201065754756
6,0.7087246811702925,1.4109851491960668,-0.12604723057631856,24.32888117669464,13481.877809959742,-0.12604723057634143,24.32888117669167,13481.877809959746,0.9961637107149213,-0.08750911262274148,-0.00012908392249477425
6,0.7086984246061515,1.4110374247773092,-0.1253671065402821,24.268216152601756,13390.957624736198,-0.12536710654028937,24.268216152600818,13390.957624736197,0.9961655194470505,-0.08748852153739417,-0.00012831207601418532
6,0.7086721680420105,1.4110897042322106,-0.12468859774577648,24.207726515982475,13300.643658100702,-0.12468859774576857,24.20772651598348,13300.6436581007,0.9961673415709769,-0.08746777304650553,-0.0001275370441716227
6,0.7086459114778695,1.4111419875612017,-0.12401193718878781,24.147431892726047,13210.96590144756,-0.12401193718881096,24.147431892723027,13210.965901447564,0.9961691759243039,-0.08744688027838514,-0.00012675910706589537
6,0.7086196549137284,1.4111942747647128,-0.12333738756643073,24.08734901471429,13121.957828871524,-0.12333738756642929,24.087349014714487,13121.957828871524,0.9961710209136755,-0.08742586128369054,-0.00012597861025022005
6,0.7085933983495873,1.411246565843175,-0.12266518802250685,24.027493011219384,13033.64894966238,-0.12266518802248978,24.027493011221605,13033.648949662378,0.9961728750556028,-0.08740473287783858,-0.000125195878221374
6,0.7085671417854463,1.4112988607970187,-0.12199564100280162,23.967880439313834,12946.076976947606,-0.12199564100280333,23.96788043931361,12946.076976947606,0.9961747363249349,-0.08738351806700703,-0.00012441133068110253
6,0.7085408852213053,1.4113511596266748,-0.12132866076535448,23.908507297705114,12859.22493863595,-0.12132866076538044,23.908507297701735,12859.224938635954,0.9961766052704973,-0.08736221052967255,-0.0001236249038306028
6,0.7085146286571643,1.4114034623325744,-0.1206637697657001,23.84934527365917,12773.021774821285,-0.12066376976570901,23.849345273657995,12773.021774821289,0.9961784849279106,-0.08734077557496654,-0.00012283605247020882
6,0.7084883720930233,1.4114557689151486,-0.12000106000284848,23.790396064173457,12687.476040429323,-0.12000106000284298,23.790396064174185,12687.476040429323,0.9961803745185291,-0.08731922199122956,-0.0001220449481070082
6,0.7084621155288822,1.411508079374828,-0.11934084103811951,23.731681222969375,12602.62610490952,-0.11934084103811851,23.7316812229695,12602.62610490952,0.9961822721573778,-0.08729757119940695,-0.00012125200340254921
