u_requested,u_grid,direction,dE00,dE11,dJA,dEphi_identity,da1,dlambda_L6,dlambda_L20,dlambda_L42,dlambda_L1000
0.703,0.7030007501875468,f4XX,0.0,-0.10383661118162911,0.0,-2.692916541491286,0.0,-1.9892421043721242e-08,1.2900444601449122e-08,3.352207400553197e-07,-8.881784197001251e-11
0.703,0.7030007501875468,H_G2XX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.703,0.7030007501875468,H_G3XX_TUBULAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7061345733,0.70612528132033,f2,-0.59333533464212,-0.59333533464212,0.0,-19.8948562001533,0.0,-1.3739009929736312e-10,-1.2573275753879896e-08,1.9806378759312793e-08,-1.0658141036401503e-09
0.7061345733,0.70612528132033,f2X,0.0,-0.374088858734467,0.0,-11.973356754424456,0.0,-1.3739009929736312e-10,-1.2573275753879896e-08,1.9806378759312793e-08,-1.0658141036401503e-09
0.7061345733,0.70612528132033,f2F,1.5045188826334763,1.5045188824558406,3.193203495541214,8.391022515752411,0.0,-0.00019156499442285477,-0.02472293183508611,-0.016315645723352645,-0.0006568136257101287
0.7061345733,0.70612528132033,f3,-1.0319016851667584,-3.0957050551450034,-4.380233583857944,-13.891162416257428,0.0,-0.15013192798951636,-3.1020257677760728,-12.899717275516307,-16.43594652200875
0.7061345733,0.70612528132033,f3X,0.0,0.6505982391047382,0.0,33.87249030311068,0.0,8.444633881055097e-09,1.6701529048646078e-06,1.1758594098409958e-06,7.105427357601001e-10
0.7061345733,0.70612528132033,f4,1.878143414657529,-0.3669500958203286,7.972374673793532,-62.975158471090246,0.0,-0.22048426566861898,-4.82411046340836,-16.926864888322513,-18.05099950189515
0.7061345733,0.70612528132033,f4X,0.17693714253752543,-0.2994550013180053,0.7510657508756704,-33.23943249142758,0.0,0.05140724769481241,1.0537060639415063,4.417519039723317,5.636599489733384
0.7061345733,0.70612528132033,f4XX,0.0,-0.11155616373992315,0.0,-6.801139147682988,0.0,-1.0949574580365605e-08,-4.103550832468272e-07,-1.7310597399955438e-07,5.329070518200751e-10
0.7061345733,0.70612528132033,H_G2XX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7061345733,0.70612528132033,H_G3XX_TUBULAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.708,0.7079894973743436,f2,-0.5871070214880092,-0.5871070218432806,0.0,-22.378011317414344,0.0,-8.673617379884034e-10,-1.3811174426336946e-08,1.2967404927621827e-08,7.105427357601001e-10
0.708,0.7079894973743436,f2X,0.0,-0.3718481849546151,0.0,-13.187294325689434,0.0,-8.673617379884034e-10,-1.3811174426336946e-08,1.2967404927621827e-08,7.105427357601001e-10
0.708,0.7079894973743436,f2F,1.5164310601889495,1.5164310600113138,3.205709791790785,8.89997372723883,0.0,-0.0003114084740074574,-0.0872868889389977,-0.01720278710592993,-0.0005715087070257141
0.708,0.7079894973743436,f3,-1.0548873300209038,-3.164661990240347,-4.460028194823315,-15.155779738051931,0.0,-0.18161639683267336,-8.92601607245247,-13.871474537374693,-16.762550373172758
0.708,0.7079894973743436,f3X,0.0,0.6681199916869218,0.0,37.31771098500758,0.0,-1.6397994073713562e-08,-5.196176822153119e-06,-9.174883075502293e-07,1.4210854715202002e-09
0.708,0.7079894973743436,f4,1.8818188062041938,-0.4354215606849898,7.956266697364298,-71.72688901846414,0.0,-0.29078510849489536,-15.030704870366838,-19.135606793696525,-18.637711795932432
0.708,0.7079894973743436,f4X,0.18345497325711332,-0.274587743098742,0.7756414643889998,-36.08590295698377,0.0,0.06304559917735819,3.0700292700913674,4.818310847376495,5.830471626921962
0.708,0.7079894973743436,f4XX,0.0,-0.11619244240090863,0.0,-7.495263480450375,0.0,-1.3107570584480753e-08,-5.147415826911583e-06,-8.499867476530197e-07,7.105427357601001e-10
0.708,0.7079894973743436,H_G2XX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.708,0.7079894973743436,H_G3XX_TUBULAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
