u,shape,delta_G4XX,delta_G3X,delta_G2,delta_G2X,delta_a1,delta_c4,delta_E00_linear,delta_E11_linear,delta_E22_linear,local_background_rank
0.7075168792198049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7074906226556639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7074643660915229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7074381095273818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7074118529632408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7073855963990997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.7073593398349587,3.695781092716489e-11,2.5278498391494982e-11,1.971626511411934e-11,2.8356739224052164e-22,-1.8388751930161403e-11,8.577227399053917e-12,1.1295494409750321e-11,-4.789145502835876e-25,-5.2506581851510546e-27,4.80900615939223e-25,2
0.7073330832708177,1.1268158067531325e-05,7.697288101705908e-06,6.040462347593801e-06,-9.364489016975774e-17,-5.588913735379132e-06,2.613485818381101e-06,3.442659245054565e-06,1.547700436586788e-19,1.4823076576950256e-21,-1.547981734955374e-19,2
0.7073068267066767,0.0006775944249184473,0.0004622603639044269,0.0003649836819294013,6.0316062429924296e-15,-0.0003350171227993664,0.00015705882494961447,0.00020694342840850885,-9.7548362219717e-18,-9.486769009248164e-20,9.747223554403632e-18,2
0.7072805701425356,0.005142146397538148,0.0035033660611600782,0.002783055851348612,-5.0633089238249644e-14,-0.0025343038380392594,0.0011911351691835075,0.0015698768421929855,7.987573559084973e-17,5.963111948670274e-19,-8.037239219851011e-17,2
0.7072543135783946,0.017217166285948778,0.011714376721316755,0.009362688754444707,1.9493884003125503e-13,-0.00845838354749168,0.003985668461362248,0.005254371529749514,-3.001635502043527e-16,4.336808689942018e-19,2.9988097051086344e-16,2
0.7072280570142535,0.038392557617439926,0.026086339186223568,0.020976594472794454,-4.4865862668690783e-13,-0.018800900845269898,0.008881948106985244,0.011712314980605109,6.739418257622555e-16,4.336808689942018e-18,-6.742231862191762e-16,2
0.7072018004501125,0.06793091810750868,0.046092919552851434,0.03728999071769484,6.175423209603047e-13,-0.03315884488786737,0.01570540560314254,0.0207156422919949,-8.924479707848055e-16,6.5052130349130266e-18,9.037390908631607e-16,2
0.7071755438859715,0.10405663567023136,0.0705064938855556,0.057387790259552984,-2.787346681092981e-13,-0.05062864086758535,0.024042007093056428,0.0317200987651277,4.0396255648465584e-16,-8.673617379884035e-18,-3.846876174560111e-16,2
0.7071492873218305,0.14481257999851074,0.09798289905512467,0.08023588107998081,-8.089455731427452e-13,-0.07022989538577926,0.033436848689999854,0.04412691244478035,1.1210299939943861e-15,6.938893903907228e-18,-1.1198971393463456e-15,2
0.7071230307576895,0.18845826028374485,0.12733145558345793,0.10490068465731485,2.115961292252841e-12,-0.09109919125107636,0.04348616737174348,0.057404184510678295,-2.842645038305256e-15,-8.673617379884035e-18,2.861485721417997e-15,2
0.7070967741935483,0.23359234705188694,0.1575968792647068,0.13062022951350594,-3.3833177598242574e-12,-0.11254760721167575,0.053865453588977576,0.07112409975660207,4.443085132456711e-15,-5.204170427930421e-17,-4.414653868461229e-15,2
0.7070705176294073,0.2791487049460106,0.18805502647524314,0.15680657048705496,3.4578804289900774e-12,-0.13405598062943233,0.06432827732530381,0.08496151513437601,-4.386494471320619e-15,-1.5612511283791264e-17,4.392831531844793e-15,2
0.7070442610652663,0.3243466566396823,0.21817794107086094,0.1830219588942599,-2.8805420107653188e-12,-0.1552485177575868,0.07469459069220959,0.09867864277124953,3.524767375809347e-15,1.3877787807814457e-17,-3.55429254888344e-15,2
0.7070180045011253,0.3686322108929866,0.2475931129504969,0.20894903230574413,2.1565340519897234e-12,-0.17586261463377284,0.08483699787463743,0.1121070222031879,-2.559966182432715e-15,1.734723475976807e-18,2.580356665135392e-15,2
