x,u,S_SVT,T_H,v5_target,c3_target,e3_target
1.4007564084605688,0.7139,0.0368482354054012,0.9631517645945988,-240.9870335658762,20.713752754797806,11.905199052317345
1.4007494009294974,0.7139035714285714,0.0362853114038456,0.9637146885961544,-237.39364390942538,20.404745660761545,11.723325423468783
1.4007423934685383,0.7139071428571429,0.0357274079254404,0.9642725920745596,-233.8303775671956,20.098332135231317,11.543073862184505
1.4007353860776908,0.7139107142857143,0.0351745253196629,0.9648254746803372,-230.29727344793872,19.794515463727056,11.36444448137621
1.4007283787569536,0.7139142857142857,0.0346266635644283,0.9653733364355715,-226.79436802945006,19.493298722820274,11.187437273908582
1.4007213715063258,0.7139178571428572,0.0340838222629853,0.9659161777370148,-223.32169533371066,19.194684778004717,11.012052111596288
1.4007143643258064,0.7139214285714285,0.0335460006408666,0.9664539993591332,-219.87928690235492,18.898676281595105,10.838288744218735
1.400707357215394,0.7139249999999999,0.0330131975427964,0.9669868024572036,-216.46717177180642,18.605275670597422,10.666146798520913
1.4007003501750876,0.7139285714285714,0.03248541142981,0.96751458857019,-213.08537644975527,18.31448516469456,10.495625777282786
1.4006933432048865,0.7139321428571428,0.0319626403762491,0.9680373596237508,-209.73392489078068,18.026306764158598,10.326725058348497
1.4006863363047894,0.7139357142857142,0.0314448820668872,0.9685551179331128,-206.41283847279627,17.740742247833822,10.159443893697633
1.4006793294747957,0.7139392857142857,0.0309321337940862,0.9690678662059138,-203.12213597364115,17.45779317113237,9.993781408526552
1.4006723227149032,0.7139428571428571,0.030424392455002,0.969575607544998,-199.86183354797302,17.177460864055853,9.829736600345546
1.400665316025112,0.7139464285714285,0.0299216545488411,0.9700783454511588,-196.63194470440877,16.89974642923842,9.667308338092493
1.4006583094054206,0.71395,0.0294239161741692,0.9705760838258308,-193.43248028303557,16.62465074002162,9.506495361263289
1.400651302855828,0.7139535714285714,0.0289311730262761,0.971068826973724,-190.2634484332012,16.35217443855334,9.347296279060481
1.400644296376333,0.7139571428571428,0.0284434203945921,0.971556579605408,-187.12485459162585,16.08231793391449,9.189709569558552
1.400637289966935,0.7139607142857143,0.0279606531601678,0.9720393468398322,-184.01670146087832,15.815081400277043,9.03373357888966
1.4006302836276323,0.7139642857142857,0.0274828657932083,0.9725171342067916,-180.93898898820663,15.550464775092534,8.879366520446974
1.4006232773584244,0.7139678571428572,0.0270100523506716,0.9729899476493284,-177.8917143447079,15.288467757309874,8.72660647410875
1.40061627115931,0.7139714285714286,0.026542206473928,0.973457793526072,-174.87487190491242,15.029089805628736,8.575451385482117
1.4006092650302884,0.7139749999999999,0.0260793213864996,0.9739206786135004,-171.88845322682593,14.7723301367924,8.425899065172725
1.4006022589713578,0.7139785714285714,0.025621389891794,0.974378610108206,-168.93244703193162,14.518187723877196,8.277947188052545
1.4005952529825176,0.7139821428571428,0.02516840437105,0.97483159562895,-166.0068391865211,14.26666129469622,8.131593292596145
1.400588247063767,0.7139857142857142,0.0247203567812102,0.9752796432187898,-163.11161268254597,14.017749330161863,7.98683478019335
1.4005812412151044,0.7139892857142857,0.0242772386529358,0.975722761347064,-160.24674761936623,13.771450062725492,7.843668914507859
1.4005742354365291,0.7139928571428571,0.023839041088683,0.9761609589113168,-157.41222118586776,13.527761474848885,7.7020928208557455
1.40056722972804,0.7139964285714285,0.023405754760854,0.976594245239146,-154.6080076430576,13.28668129751677,7.562103485608072
1.400560224089636,0.714,0.0229773699100253,0.9770226300899748,-151.83407830713594,13.048207008790389,7.423697755618479
1.400553218521316,0.7140035714285714,0.0225538763432557,0.9774461236567442,-149.0904015330695,12.812335832404152,7.286872337676513
1.400546213023079,0.7140071428571428,0.0221352634324781,0.9778647365675218,-146.37694269870147,12.57906473640848,7.15162379798805
1.400539207594924,0.7140107142857143,0.0217215201129697,0.9782784798870302,-143.69366418934436,12.348390431854183,7.01794856168102
1.40053220223685,0.7140142857142857,0.0213126348819132,0.9786873651180868,-141.04052538296227,12.12030937152749,6.885842912340567
1.400525196948856,0.7140178571428571,0.0209085957970414,0.9790914042029586,-138.41748263589065,11.894817748731311,6.7553029915711225
1.4005181917309404,0.7140214285714286,0.0205093904753735,0.9794906095246264,-135.82448926912497,11.671911496115477,6.626324798588126
1.4005111865831028,0.714025,0.0201150060920415,0.9798849939079584,-133.26149555519933,11.451586284557603,6.498904189838849
1.400504181505342,0.7140285714285713,0.0197254293792225,0.9802745706207776,-130.72844870575514,11.23383752210337,6.373036878657434
1.4004971764976568,0.7140321428571428,0.0193406466251068,0.9806593533748932,-128.2252928593243,11.018660352925199,6.248718434931501
1.4004901715600462,0.7140357142857142,0.0189606436730834,0.9810393563269164,-125.7519690705362,10.806049656403346,6.125944284838994
1.400483166692509,0.7140392857142857,0.0185854059209045,0.9814145940790956,-123.30841529918298,10.596000046194805,6.004709710578238
1.4004761618950443,0.7140428571428571,0.0182149183200128,0.9817850816799872,-120.89456640034706,10.388505869393518,5.8850098501506025
1.4004691571676513,0.7140464285714285,0.017849165374959,0.9821508346250408,-118.51035411511695,10.183561205741164,5.7668396971722995
1.4004621525103285,0.71405,0.0174881311429276,0.9825118688570724,-116.15570706202473,9.981159866899961,5.650194100721178
1.4004551479230751,0.7140535714285714,0.0171317992333679,0.982868200766632,-113.83055072915698,9.781295395783342,5.535067765217504
1.40044814340589,0.7140571428571428,0.0167801528077373,0.9832198471922626,-111.53480746702681,9.583961065952066,5.421455250341023
1.400441138958772,0.7140607142857143,0.0164331745793555,0.9835668254206444,-109.26839648216416,9.389149881072012,5.309350970983856
1.4004341345817204,0.7140642857142857,0.0160908468133743,0.9839091531866256,-107.03123383148336,9.196854574438802,5.19874919724074
1.4004271302747338,0.7140678571428571,0.0157531513268628,0.9842468486731372,-104.82323241741291,9.00706760856791,5.089644054436554
1.4004201260378113,0.7140714285714286,0.0154200694890118,0.984579930510988,-102.64430198382072,8.819781174853086,4.982029523192362
1.400413121870952,0.714075,0.0150915822214592,0.9849084177785408,-100.49434911275135,8.634987193294602,4.875899439530547
1.4004061177741545,0.7140785714285715,0.0147676699987377,0.9852323300012622,-98.37327722197948,8.452677312297585,4.771247495019447
1.400399113747418,0.7140821428571428,0.0144483128488591,0.9855516871511408,-96.28098656348027,8.272842908549126,4.668067236962146
1.4003921097907417,0.7140857142857142,0.0141334903539739,0.985866509646026,-94.217374222414,8.095475086939585,4.566352068609577
1.4003851059041237,0.7140892857142856,0.0138231816512629,0.986176818348737,-92.18233411766603,7.920564680617486,4.466095249448588
1.400378102087564,0.7140928571428571,0.0135173654338576,0.9864826345661424,-90.17575700258162,7.74810225106118,4.367289895499314
1.4003710983410604,0.7140964285714285,0.0132160199519468,0.9867839800480532,-88.19753046698567,7.57807808826082,4.269928979672699
1.400364094664613,0.7141,0.0129191230140083,0.9870808769859916,-86.2475389400105,7.410482210969832,4.1740053321684485
1.40035709105822,0.7141035714285714,0.0126266519881781,0.987373348011822,-84.32566369390611,7.245304367040669,4.079511640917398
1.4003500875218806,0.7141071428571428,0.0123385838037619,0.987661416196238,-82.43178284878502,7.0825340338409175,3.9864404520698633
1.4003430840555935,0.7141107142857143,0.0120548949528866,0.9879451050471132,-80.56577137834815,6.9221604187536085,3.8947841705292126
1.4003360806593583,0.7141142857142857,0.0117755614922981,0.9882244385077018,-78.72750111659462,6.764172459762057,3.8045350605327197
1.4003290773331734,0.7141178571428571,0.011500559045305,0.988499440954695,-76.91684076555543,6.608558826122607,3.7156852462795436
1.4003220740770377,0.7141214285714286,0.0112298628038719,0.988770137196128,-75.133655904034,6.455307919123851,3.628226712607051
1.4003150708909504,0.714125,0.010963447530863,0.9890365524691368,-73.37780899739737,6.304407872936078,3.542151305715694
1.4003080677749105,0.7141285714285714,0.0107012875624392,0.9892987124375608,-71.64915940842504,6.155846555551524,3.4574507339434812
1.400301064728917,0.7141321428571428,0.0104433568106174,0.9895566431893824,-69.94756340927668,6.009611569820702,3.374116568592858
1.4002940617529682,0.7141357142857142,0.010189628765949,0.9898103712340508,-68.27287419430091,5.865690254560934,3.2921402447960935
1.4002870588470635,0.7141392857142856,0.0099400765004353,0.9900599234995646,-66.62494189446298,5.724069685803914,3.211513062457211
1.4002800560112023,0.7141428571428571,0.0096946726705252,0.9903053273294748,-65.00361359237274,5.5847366780947825,3.132226187220506
1.4002730532453829,0.7141464285714285,0.0094533895203171,0.9905466104796828,-63.40873333873124,5.4476777859129735,3.0542706515050413
1.4002660505496043,0.71415,0.0092161988849154,0.9907838011150846,-61.84014216984754,5.312879305184996,2.9776373555890867
1.400259047923866,0.7141535714285714,0.0089830721939568,0.9910169278060432,-60.29767812635465,5.18032727490011,2.902317068749425
1.4002520453681664,0.7141571428571428,0.0087539804753042,0.9912460195246956,-58.78117627310253,5.050007478827064,2.8283004304548025
1.4002450428825044,0.7141607142857143,0.008528894358912,0.991471105641088,-57.290468720251496,4.92190544733387,2.755577951614759
1.4002380404668795,0.7141642857142857,0.0083077840808627,0.9916922159191373,-55.82538464557267,4.796006459311205,2.6841400158838042
1.40023103812129,0.7141678571428571,0.0080906194875803,0.9919093805124196,-54.38575031800498,4.672295544203645,2.61397688102271
1.4002240358457354,0.7141714285714286,0.0078773700402183,0.9921226299597816,-52.971389122432946,4.5507574841457075,2.5450786803162213
1.4002170336402142,0.714175,0.0076680048192258,0.9923319951807742,-51.58212158574351,4.431376816207643,2.4774354240483034
1.4002100315047257,0.7141785714285714,0.0074624925290931,0.9925375074709069,-50.21776540414138,4.314137834749285,2.411037001035386
1.4002030294392689,0.7141821428571429,0.0072608015032791,0.9927391984967208,-48.87813547176852,4.19902459388578,2.345873180218344
1.4001960274438423,0.7141857142857142,0.007062899709327,0.992937100290673,-47.563043910660895,4.0860209100681155,2.281933612315315
1.400189025518445,0.7141892857142856,0.0068687547541324,0.9931312452458676,-46.272300101801996,3.9751103647577493,2.2192078315237564
1.4001820236630764,0.7141928571428571,0.0066783338894607,0.9933216661105392,-45.005710717938065,3.8662763072524506,2.157685257303047
1.400175021877735,0.7141964285714285,0.0064916040175878,0.993508395982412,-43.763079757306166,3.7595018575904433,2.0973551961969257
1.4001680201624196,0.7142,0.0063085316971601,0.9936914683028398,-42.54420857891732,3.6547699095880026,2.038206843726785
1.4001610185171296,0.7142035714285714,0.0061290831492384,0.9938709168507616,-41.348895939171015,3.552063133991293,1.9802292863443764
1.4001540169418636,0.7142071428571428,0.0059532242635315,0.9940467757364684,-40.1769380298373,3.4513639817455544,1.9234115034458095
1.400147015436621,0.7142107142857143,0.0057809206048216,0.9942190793951784,-39.02812851742151,3.3526546873829113,1.867742369447517
1.4001400140014002,0.7142142857142857,0.0056121374195811,0.9943878625804188,-37.90225858392028,3.2559172725295595,1.8132106559240582
1.4001330126362004,0.7142178571428571,0.0054468396427844,0.9945531603572156,-36.79911696898698,3.1611335495338686,1.7598050338089275
1.4001260113410208,0.7142214285714286,0.0052849919049118,0.9947150080950882,-35.718490013496115,3.068285125214511,1.707514075657424
1.4001190101158598,0.714225,0.0051265585391485,0.9948734414608514,-34.66016170453171,2.977353404730749,1.6563262579725584
1.4001120089607169,0.7142285714285714,0.0049715035887797,0.9950284964112204,-33.62391372180125,2.888319595575018,1.606229963594316
1.4001050078755906,0.7142321428571429,0.0048197908147787,0.9951802091852212,-32.60952548546913,2.801164711687278,1.5572134841512764
1.4000980068604802,0.7142357142857143,0.0046713837035941,0.995328616296406,-31.616774205443196,2.715869577694013,1.509265022576558
1.4000910059153846,0.7142392857142856,0.0045262454751338,0.9954737545248662,-30.64543493211176,2.6324148332716493,1.4623726956873495
1.4000840050403025,0.7142428571428571,0.0043843390909255,0.9956156609090744,-29.69528060838862,2.550780937622144,1.4165245368214625
1.400077004235233,0.7142464285714285,0.0042456272625158,0.995754372737484,-28.76608212349516,2.4709481740976154,1.3717084985509758
1.4000700035001752,0.7142499999999999,0.004110072460021,0.995889927539979,-27.857608367893686,2.3928966549236512,1.3279124554448896
1.4000630028351275,0.7142535714285714,0.0039776369208954,0.9960223630791044,-26.9696262898193,2.3166063260597505,1.2851242069020539
1.4000560022400896,0.7142571428571428,0.003848282658889,0.996151717341111,-26.10190095322266,2.242056972180749,1.2433314800452862
1.4000490017150602,0.7142607142857142,0.0037219714731994,0.9962780285268006,-25.25419559716498,2.1692282217827863,1.2025219326782368
1.400042001260038,0.7142642857142857,0.0035986649578171,0.9964013350421828,-24.426271696654947,2.0980995524129167,1.1626831563047355
1.400035000875022,0.7142678571428571,0.003478324511062,0.996521675488938,-23.61788902492218,2.028650296021907,1.123802679209915
1.4000280005600112,0.7142714285714286,0.0033609113453102,0.9966390886546898,-22.82880571712056,1.9608596444396342,1.0858679696028162
1.4000210003150046,0.714275,0.0032463864969108,0.9967536135030892,-22.05877833546666,1.894706654973528,1.048866438820382
1.4000140001400014,0.7142785714285714,0.0031347108362903,0.9968652891637096,-21.307561935795654,1.8301702561285422,1.0127854445920612
1.4000070000350002,0.7142821428571429,0.0030258450782399,0.99697415492176,-20.57491013550952,1.7672292534464875,0.9776122943635037
1.4,0.7142857142857143,0.0029197497923907,0.9970802502076092,-19.860575182951724,1.705862335467657,0.9433342486809664
1.3999930000349998,0.7142892857142857,0.002816385413866,0.997183614586134,-19.164308028140116,1.6460480798088728,0.9099385246329362
1.3999860001399989,0.7142928571428571,0.0027157122541183,0.9972842877458816,-18.48585839491327,1.5877649593626955,0.8774122993514285
1.3999790003149954,0.7142964285714285,0.0026176905119247,0.9973823094880752,-17.82497485431223,1.5309913486024982,0.8457427135644605
1.399972000559989,0.7142999999999999,0.0025222802845876,0.9974777197154124,-17.181404899519702,1.4757055300210666,0.8149168752148573
1.3999650008749782,0.7143035714285714,0.0024294415792729,0.9975705584207272,-16.554895021901736,1.4218857006636354,0.7849218631234798
1.3999580012599624,0.7143071428571428,0.0023391343245308,0.9976608656754692,-15.945190788457392,1.3695099787816,0.7557447307114501
1.39995100171494,0.7143107142857142,0.0022513183819752,0.9977486816180248,-15.352036920518948,1.3185564105933791,0.7273725097736182
1.3999440022399106,0.7143142857142857,0.0021659535581212,0.9978340464418788,-14.775177373698295,1.2690029771520468,0.699792214303108
