u,x,f,R,rank1_scaled,eq46_11,eq46_13,eq46_33,eq46_vec,ks,kg,ksg,ms,mg,msg,q2,B1,B2,disc,cminus,cV,cplus,root_min,alpha7_scaled,trusted
0.6994823705926482,1.4296285968618956,0.3016345167502481,-0.01592377245094215,8.642668976046163e-16,3.3462558190405245e-11,1.667738608359487e-11,3.063122299188987e-16,3.858603184895011e-16,3.090734056038647,16.882416323319006,2.054039834317594,3975.75902186821,-6711.3451993533845,618.5557700084701,47.95997943774136,914.0195631883981,-564330.9856074139,3092755.704320766,-422.3018389819147,0.10789749924641753,1336.321402170313,-422.3018389819147,4.71524924007292e-13,False
0.6994561140285072,1.4296822630379409,0.3016579235613212,-0.015956947525118212,4.957906462497562e-16,1.789240958838545e-11,8.886669375837491e-12,0.0,0.0,3.13109870264596,16.87859833165436,2.0805741526861734,3951.55188711107,-7068.246077586772,736.6330622928442,48.51976853389944,855.3223315129409,-586836.4638842605,3078922.1463217754,-449.68171851423693,0.10812201681829585,1305.0040500271778,-449.68171851423693,5.796972017019288e-13,False
0.699429857464366,1.4297359332432376,0.301681335360219,-0.015990156443684168,3.732900287582267e-16,2.985686060253205e-11,1.498369856214055e-11,1.5387722198756104e-16,0.0,3.171354440102592,16.87478139502585,2.1070286195513166,3927.934565586604,-6242.921134261977,208.99814390282228,49.07634329926751,929.2418355321043,-500556.1597744432,2865715.0280008474,-381.8002285908969,0.10834676174793346,1311.0420641230012,-381.8002285908969,2.004227601807288e-13,False
0.699403600900225,1.4297896074782397,0.3017047521425162,-0.016023405618121333,4.996553852607594e-16,1.2995775003733796e-13,3.479511157419937e-14,4.62715309356037e-16,3.834639571378505e-16,3.211509401357699,16.870965525890377,2.1334086689186886,3909.174703590805,-5386.3611984245845,-593.5517398511496,49.62983184776117,1031.3510439170223,-431364.1576468593,2789141.606376169,-319.36064587737496,0.10857177747340853,1350.7116897943972,-319.36064587737496,8.931360621267592e-13,False
0.699377344336084,1.4298432857434005,0.3017281739037857,-0.016056707853923255,1.25399374963575e-16,3.1317291630775754e-11,1.560812762713339e-11,1.5460027081977813e-16,1.2755653720028505e-16,3.25157925487393,16.867150733041594,2.1597247370489328,3891.7793111134824,-5698.758016481526,-107.09863977614523,50.18046647256857,948.095452731818,-442199.5295391879,2667683.1056475025,-342.6044495400121,0.10879715075695426,1290.69990227183,-342.6044495400121,4.4694826212117025e-13,False
0.699351087771943,1.4298969680391749,0.3017516006395994,-0.016090054138690413,7.553187527442655e-16,9.815404634483807e-12,4.9508091094604104e-12,0.0,1.272925039069687e-16,3.291553432053733,16.863337031579363,2.185969830178111,3868.895055410256,-7517.512006381141,1072.2066152763525,50.728110783724944,705.9313984969289,-596002.7209611279,2882350.0232283412,-495.90855869972273,0.10902282052647022,1201.8399571966515,-495.90855869972273,5.351568847107213e-13,False
0.699324831207802,1.429950654366016,0.3017750323455265,-0.016123427775243556,7.582490372938301e-16,2.8643997774560847e-12,1.4594199547208739e-12,1.5532527486156326e-16,1.2702934823285958e-16,3.3314123838866623,16.859524440435187,2.2121309954857544,3840.4358496676846,-8706.056128271515,2031.0996153723827,51.27250496611684,521.8848203023031,-732564.4755726369,3202621.6679525147,-633.8510950712147,0.10924867364016429,1155.7359153735179,-633.8510950712147,3.962304757346462e-13,False
0.6992985746436609,1.4300043447243784,0.3017984690171353,-0.016156812884536853,2.5372853985219725e-16,7.136027628092195e-13,3.9975378299362837e-13,1.5568805374428978e-16,1.267671906614405e-16,3.3711378073057228,16.855712980058062,2.238196114790492,3806.9750400065714,-9533.206173971581,2933.11838707728,51.81340944790429,364.80398961837795,-866491.1633212952,3599046.604126666,-766.1556739867923,0.10947460250087993,1130.9596636051701,-766.1556739867923,4.2635680891850514e-13,False
0.6992723180795198,1.4300580391147155,0.3018219106499918,-0.016190193477299226,8.914814933451842e-16,2.4642085189761923e-14,4.2919222935058303e-14,1.5605076178904328e-16,2.5301230101883873e-16,3.4107115303599307,16.851902672550576,2.2641531636055863,3768.151151763877,-11666.44879227826,4246.118905598522,52.350589205506395,85.61313277488148,-1184140.7929670152,4743892.7803715905,-1046.217398037997,0.10970049876571929,1131.8305308128788,-1046.217398037997,5.276223938921634e-13,False
0.6992460615153788,1.4301117375374828,0.3018453572396603,-0.016223550938611993,2.556904656517542e-16,9.011495964590752e-13,4.093985867237381e-13,1.5641317555041042e-16,0.0,3.4501125640829646,16.848093542956608,2.289988254738052,3722.53371195683,-12463.151693689493,5130.232546851094,52.883773006561434,-71.44014862311107,-1374973.535128431,5504997.835349016,-1208.8566643287852,0.10992623630226392,1137.4165157056743,-1208.8566643287852,1.2067489041447499e-12,False
