u,x,a1_control,c2_control,c4_control,F_tensor_control,G_tensor_control,H_tensor_control
0.6735933983495874,1.4845751197238,-0.143023859548095,0.39180922953081876,-0.19777725759155573,-0.017923941085384427,-0.017923941085384403,-0.017923941085384396
0.6735671417854463,1.4846329904829791,-0.1430420634549539,0.39182356425679965,-0.19777939030110903,-0.017957440580296604,-0.017957440580296764,-0.017957440580296642
0.6735408852213053,1.484690865754096,-0.1430602100051643,0.39183764602465665,-0.1977813901032638,-0.017990985975279927,-0.017990985975279983,-0.01799098597527997
0.6735146286571643,1.4847487455376784,-0.1430783216019622,0.3918515717926062,-0.19778330780549877,-0.01802456075455318,-0.01802456075455327,-0.018024560754553155
0.6734883720930233,1.4848066298342542,-0.14309639887304773,0.39186534431041653,-0.19778514485519022,-0.018058164452198232,-0.01805816445219809,-0.01805816445219818
0.6734621155288822,1.484864518644351,-0.14311443079719605,0.3918789160744081,-0.19778687640012588,-0.018091805169155394,-0.018091805169155255,-0.018091805169155234
0.6734358589647411,1.4849224119684972,-0.1431324156929176,0.3918922799719973,-0.19778849875324336,-0.018125484121789916,-0.01812548412178988,-0.018125484121789884
0.6734096024006001,1.48498030980722,-0.14315036622272162,0.3919054907007306,-0.19779004055337043,-0.01815919198967895,-0.018159191989679187,-0.018159191989679007
0.6733833458364591,1.485038212161048,-0.14316828237217008,0.3919185482357389,-0.19779150179548155,-0.01819292877880411,-0.01819292877880409,-0.018192928778804143
0.6733570892723181,1.4850961190305096,-0.14318614154160986,0.39193135534083423,-0.19779283164774958,-0.018226711076097916,-0.018226711076097746,-0.018226711076097905
0.6733308327081771,1.4851540304161328,-0.14320396522273612,0.39194400469970625,-0.1977940786088796,-0.018260523080823578,-0.018260523080823703,-0.018260523080823616
0.6733045761440359,1.485211946318446,-0.14322175448473795,0.391956500954637,-0.1977952451147756,-0.018294364003303795,-0.018294364003303764,-0.018294364003303712
0.6732783195798949,1.4852698667379776,-0.14323949887444762,0.3919687992142289,-0.1977963077175345,-0.018328241503997953,-0.01832824150399799,-0.01832824150399796
0.6732520630157539,1.485327791675256,-0.14325719559902067,0.3919808876184394,-0.19779726025242556,-0.018362157611235837,-0.018362157611235788,-0.018362157611235892
0.6732258064516129,1.4853857211308097,-0.1432748578654767,0.3919928230104853,-0.19779813243552377,-0.018396102632449028,-0.018396102632449004,-0.018396102632449028
0.6731995498874719,1.4854436551051675,-0.14329248566013497,0.39200460536921417,-0.1977989242634053,-0.018430076573488184,-0.01843007657348824,-0.018430076573488236
0.6731732933233308,1.485501593598859,-0.1433100570762192,0.392016140780392,-0.19779958672042608,-0.018464095464039394,-0.018464095464039633,-0.018464095464039564
0.6731470367591897,1.4855595366124117,-0.14332759224155378,0.39202751574144773,-0.19780016500044134,-0.018498144548449703,-0.018498144548449596,-0.018498144548449592
0.6731207801950487,1.4856174841463552,-0.14334509289500857,0.3920387377556653,-0.19780066302839938,-0.018532222548542445,-0.018532222548542397,-0.01853222254854234
0.6730945236309077,1.485675436201218,-0.14336254938120568,0.3920497655170856,-0.19780105925978453,-0.018566336519887264,-0.01856633651988719,-0.01856633651988729
0.6730682670667667,1.48573339277753,-0.14337995733991335,0.3920605804900149,-0.19780134405931044,-0.01860048963104455,-0.018600489631044635,-0.018600489631044596
0.6730420105026256,1.48579135387582,-0.14339733074791933,0.3920712426085792,-0.1978015487126261,-0.018634671653444596,-0.018634671653444526,-0.018634671653444578
0.6730157539384846,1.4858493194966171,-0.14341466959154933,0.39208175185188826,-0.19780167321686953,-0.018668882592805393,-0.01866888259280529,-0.01866888259280529
