u,x,f3_delta,f3X_delta,f3XX_delta,f4_delta,f4X_delta,f4XX_delta,f4XXX_delta,tf4_delta,f2XX_delta,f2XF_delta,f2FF_delta,f2XY_delta,f2FY_delta,f2YY_delta,e3_emitted,e3_historical_target
0.7128464285714285,1.402826695792021,9842.576198418787,7198.975019732212,-918.7678628716818,-6496.494505553938,-4087.087611501419,-512.6910284340725,165.31894659869792,-4742.335129697317,3575.1261326898034,-2026.0198755818137,-973.2184814271668,7679.0983421117835,1025.1013230730898,2090.9623606666596,5918234569.130301,117.07379797857682
0.7128428571428571,1.402833724122728,9824.645294537884,7186.036899725164,-918.2979399963033,-6481.134216765809,-4065.294008766552,-510.6307950207769,165.2305538273457,-4730.548715630519,3546.0828522482557,-2018.3881234845715,-977.7500724312954,7666.921505730083,1031.017678509401,2103.9012225706483,-1664792551.6299062,117.52586253527572
0.7128392857142857,1.4028407525238609,9806.514208333516,7172.634445670474,-917.785948495714,-6466.078108583673,-4043.4322484311674,-508.5229407568371,165.1345951193082,-4719.238998295765,3517.204940214903,-2011.196773573168,-982.4364577396512,7655.070492556631,1036.9769000921283,2116.9969884727607,-4578791034.9604225,117.97813709377114
0.7128357142857142,1.4028477809954207,9787.71551417748,7158.905272514259,-917.2334127057171,-6451.163225097922,-4021.154847680782,-506.39094389991163,165.03134315392725,-4707.281276464101,3488.4972937482885,-2003.5751283843385,-986.9476279734259,7642.447270125221,1042.8639444170058,2129.8640010757003,5939274182.929505,118.430618876407
0.7128321428571428,1.4028548095374087,9769.278614908577,7145.210026531154,-916.6039970033962,-6435.723835268032,-3999.9159319939145,-504.33019117900056,164.91426152971331,-4695.521818688847,3459.8216686366404,-1995.903212932957,-991.4069283146007,7629.332683084474,1048.695055781447,2142.6043622408306,-872570443.668434,118.88330512371292
0.7128285714285714,1.4028618381498257,9750.696241165979,7131.061605027422,-915.9292916241455,-6420.5231653086375,-3978.6984179551987,-502.2264905703333,164.7890347094299,-4684.304324455861,3431.298423007955,-1988.7111908210288,-996.0084630822973,7616.575682715533,1054.5595675902382,2155.479161077059,-5247825882.598178,119.33619309423392
0.7128249999999999,1.402868866832673,9731.407820736678,7116.559231222261,-915.21881051711,-6405.524658871446,-3956.9734987549496,-500.08979184563924,164.65737456618513,-4672.457894444014,3402.962226150941,-1981.1272947399198,-1000.4384079671754,7603.12162059016,1060.353975931435,2168.1308970089335,5763682054.652105,119.78928006435888
0.7128214285714285,1.4028758955859513,9712.489647382743,7102.14219349915,-914.4369255180397,-6390.016386302983,-3936.2653974359464,-498.0291120289682,164.5128733519717,-4660.720613560673,3374.680050860754,-1973.412067362631,-1004.8235806660916,7589.104194388022,1066.0959129989706,2180.6659740329346,-121412563.49161845,120.2425633281485
0.7128178571428571,1.402882924409662,9693.492082438781,7087.305969321696,-913.6088367199518,-6374.692430619339,-3915.6704029744606,-495.9324818015353,164.36007261711566,-4649.569684606264,3346.545493449472,-1966.1962796965572,-1009.323451314813,7575.4634657266515,1071.8582793497462,2193.2979021658957,-5746846738.259849,120.69604019716246
0.7128142857142857,1.4028899533038055,9673.745621576914,7072.054346698094,-912.7461148084202,-6359.616537778473,-3894.485640187923,-493.7909074023175,164.20105125474834,-4637.856839640206,3318.60001918686,-1958.664516956707,-1013.6905679968821,7561.228638567352,1077.5625640826986,2205.7498108021405,5528901737.8382635,121.14970800027122
