dx,R,jost_order,root_index,omega_re,omega_im,residual
0.015,30.0,8,2,0.9232985944006622,-0.18295575130151115,5.958667770159846e-09
0.015,30.0,8,3,1.0059592642255673,-0.18110138114094923,2.4510536679629442e-09
0.015,30.0,8,4,1.0859778794336505,-0.1816667313256137,2.9039119476297052e-09
0.015,30.0,10,0,0.7491597128407124,-0.18619103678208115,2.29012574634318e-08
0.015,30.0,10,1,0.8374809086414905,-0.18495081812068942,3.6722043199839717e-09
0.015,30.0,10,2,0.923298629664481,-0.18295573908727522,6.999954834998139e-09
0.015,30.0,10,3,1.005959285392767,-0.1811013762974381,1.101496457932623e-09
0.015,30.0,10,4,1.0859778939292024,-0.18166672972826675,5.718992203305231e-09
0.015,35.0,6,0,0.8090023863707292,-0.1688116396416449,1.9036345647777056e-08
0.015,35.0,6,1,0.8849949555641382,-0.16792371578311294,1.642632722833166e-08
0.015,35.0,6,2,0.9592158243652057,-0.16681331022774232,1.0202174844879222e-08
0.015,35.0,6,3,1.0315241818101273,-0.16633198079767184,1.7533734982279166e-08
0.015,35.0,6,4,1.102817171526973,-0.1676985894112742,6.51318824280568e-10
0.015,35.0,8,0,0.8090011570159541,-0.1688123812790645,1.521120700440759e-08
0.015,35.0,8,1,0.8849940959368583,-0.1679241685276381,7.218287030402654e-09
0.015,35.0,8,2,0.9592152051424924,-0.16681359539478635,5.252299480065647e-09
0.015,35.0,8,3,1.0315237193259754,-0.16633217553490504,9.574825264904547e-09
0.015,35.0,8,4,1.1028168089701802,-0.1676987342241577,1.3823292123865633e-08
0.015,35.0,10,0,0.8090011809887345,-0.16881236810904182,4.405924074623229e-08
0.015,35.0,10,1,0.8849941119165807,-0.16792416382998826,2.238001441500119e-08
0.015,35.0,10,2,0.9592152140973865,-0.16681359310996022,2.0066132542674018e-09
0.015,35.0,10,3,1.0315237254263012,-0.16633217366108335,7.064171980601333e-09
0.015,35.0,10,4,1.1028168122355668,-0.16769873247233838,2.1537182454505246e-09
0.015,40.0,6,0,1.1318438219662263,-0.1673543719238927,3.808383783566324e-08
0.015,40.0,8,0,1.1318440782914556,-0.16735485094401917,7.74884086925526e-08
0.015,40.0,10,0,1.0007430740740089,-0.173079264805939,1.2851121504250217e-06
0.015,40.0,10,1,1.1318440693810787,-0.16735485171055223,2.1871919421796497e-08
0.015,45.0,6,0,0.7079655438721598,-0.1448798516374232,3.047089266131628e-08
0.015,45.0,6,1,0.8317600128917264,-0.14525169192938817,2.655901019282373e-08
0.015,45.0,6,2,0.9529354405890038,-0.1449374655750375,1.3685779887569874e-08
0.015,45.0,6,3,1.012478927127722,-0.14493974763947048,1.8110965547128245e-08
0.015,45.0,6,4,1.0716351867481653,-0.14549330463605317,3.5246427822434214e-08
0.015,45.0,6,5,1.131049644791106,-0.14669164356044742,2.4235770017101832e-08
0.015,45.0,8,0,0.7079648738062204,-0.1448802999679296,5.8150218959104496e-08
0.015,45.0,8,1,0.770163857757701,-0.1451828185056294,4.748374434518865e-08
0.015,45.0,8,2,0.8317596584177603,-0.1452518855515779,2.6668335442954042e-08
0.015,45.0,8,3,0.9529352369205063,-0.14493758349639552,4.9863696939189124e-08
0.015,45.0,8,4,1.0124787755847742,-0.1449398492812447,2.3204886040722702e-08
0.015,45.0,8,5,1.4367747615045123,-0.1487457609976648,5.065222114201617e-08
0.015,45.0,10,0,0.7079648871337128,-0.1448802952079519,3.3309455965811797e-07
0.015,45.0,10,1,0.7701638673251157,-0.1451828137874344,8.912475580550591e-08
0.015,45.0,10,2,0.8317596647213938,-0.14525187984182028,1.0205822813928038e-08
0.015,45.0,10,3,0.8927026322938724,-0.14513009239666164,3.271033845143572e-08
0.015,45.0,10,4,0.9529352372166228,-0.14493758490479344,2.5410709868760724e-08
0.015,45.0,10,5,1.012478775958906,-0.14493985001701526,5.062075024549977e-08
0.015,45.0,10,6,1.0716350666043395,-0.14549340499151436,1.2633119235777364e-07
0.015,45.0,10,7,1.375270892928001,-0.1493029345351624,3.291278950221119e-08
0.01,25.0,8,0,1.066219828254204,-0.23962430085139236,9.702914544953261e-08
0.01,35.0,6,0,0.8087818159940231,-0.1684932302999167,6.240440661899788e-08
0.01,35.0,6,1,0.8846081966301541,-0.16747636651142558,5.407607255415494e-08
0.01,35.0,6,2,0.9585938325466172,-0.16621533537655392,4.107399437449843e-09
0.01,35.0,6,3,1.0305897113391145,-0.16554847531801228,1.0209633075972771e-08
0.01,35.0,6,4,1.1014463763078437,-0.166656129203594,2.1802387268973714e-08
