parameter,coefficient,column_norm_scaled
tf4|1|3,67434016735.05241,6.449376518242946e-07
f2XX|0|3,-7182928547.978728,1.3849787341913384e-12
f2XX|1|3,0.0,5.7709433499258274e-15
f2XF|0|3,0.0,0.0
f2XF|1|3,21990375654696.7,1.0115332248089111e-13
f2FF|0|3,0.0,1.790754005763378e-33
f2FF|1|3,0.0,1.2647246836525714e-16
f2XY|0|3,0.0,0.0
f2XY|1|3,158753561726162.22,4.67459039727016e-12
f2FY|0|3,0.0,5.607919673702603e-17
f2FY|1|3,73753903447040.16,4.9100640647539994e-12
f2YY|0|3,0.0,1.1198028442264448e-16
f2YY|1|3,-220571868193051.72,1.5831177710921225e-12
