u,component,eq83_from_laurent,action_minus,action_plus,scaled_err_minus,scaled_err_plus
0.6230757689422356,M11_0,-0.35373396239293,-0.35373396237432453,-0.35373396237432453,1.860545051357576e-11,1.860545051357576e-11
0.6231020255063766,M11_0,-0.3537020956744913,-0.35370209567681005,-0.35370209567681005,2.3187562980808707e-12,2.3187562980808707e-12
0.6231282820705176,M11_0,-0.35367017047279287,-0.35367017048175814,-0.35367017048175814,8.965272968453064e-12,8.965272968453064e-12
0.6231545386346586,M11_0,-0.3536381860518628,-0.35363818604879343,-0.35363818604879343,3.069378085029939e-12,3.069378085029939e-12
0.6231807951987997,M11_0,-0.35360614214371067,-0.3536061421475009,-0.3536061421475009,3.790245894919053e-12,3.790245894919053e-12
0.6232070517629407,M11_0,-0.3535740408291683,-0.35357404081748656,-0.35357404081748656,1.1681766665105897e-11,1.1681766665105897e-11
0.6232333083270818,M11_0,-0.353541885040655,-0.3535418850122386,-0.3535418850122386,2.8416380359885807e-11,2.8416380359885807e-11
0.6232595648912228,M11_0,-0.353509677600123,-0.35350967762117963,-0.35350967762117963,2.1056656418494413e-11,2.1056656418494413e-11
0.6232858214553638,M11_0,-0.35347742151678824,-0.35347742153034595,-0.35347742153034595,1.3557710509815024e-11,1.3557710509815024e-11
0.6233120780195048,M11_0,-0.35344511957296054,-0.3534451195692251,-0.3534451195692251,3.735456388653802e-12,3.735456388653802e-12
0.6233383345836458,M11_0,-0.35341277473494503,-0.35341277473570815,-0.35341277473570815,7.631117959761013e-13,7.631117959761013e-13
0.623364591147787,M11_0,-0.3533803897107401,-0.3533803897111029,-0.3533803897111029,3.6282088444750116e-13,3.6282088444750116e-13
0.623390847711928,M11_0,-0.35334796512457917,-0.35334796512223826,-0.35334796512223826,2.3409052474221426e-12,2.3409052474221426e-12
0.623417104276069,M11_0,-0.3533154993702167,-0.3533154993795364,-0.3533154993795364,9.319656157913414e-12,9.319656157913414e-12
0.62344336084021,M11_0,-0.3532829919626562,-0.3532829919630892,-0.3532829919630892,4.3298697960381105e-13,4.3298697960381105e-13
0.623469617404351,M11_0,-0.3532504426172741,-0.35325044260557353,-0.35325044260557353,1.1700584945373294e-11,1.1700584945373294e-11
0.6234958739684922,M11_0,-0.3532178508595076,-0.3532178508712178,-0.3532178508712178,1.1710243885687532e-11,1.1710243885687532e-11
0.6235221305326332,M11_0,-0.35318521640902656,-0.3531852164085676,-0.3531852164085676,4.589661983800397e-13,4.589661983800397e-13
0.6235483870967742,M11_0,-0.3531525388148805,-0.35315253880555497,-0.35315253880555497,9.325540339943927e-12,9.325540339943927e-12
0.6235746436609152,M11_0,-0.3531198176228825,-0.35311981762522365,-0.35311981762522365,2.3411272920270676e-12,2.3411272920270676e-12
0.6236009002250562,M11_0,-0.3530870534936458,-0.35308705349315783,-0.35308705349315783,4.879430193227563e-13,4.879430193227563e-13
0.6236271567891973,M11_0,-0.35305424800248725,-0.3530542480029764,-0.3530542480029764,4.89164264649844e-13,4.89164264649844e-13
0.6236534133533383,M11_0,-0.3530214022731801,-0.3530214022708306,-0.3530214022708306,2.3494539647117563e-12,2.3494539647117563e-12
0.6236796699174794,M11_0,-0.3529885169493489,-0.35298851695874384,-0.35298851695874384,9.394929278983e-12,9.394929278983e-12
0.6237059264816204,M11_0,-0.3529555928871094,-0.3529555928870959,-0.3529555928870959,1.354472090042691e-14,1.354472090042691e-14
0.6237321830457614,M11_0,-0.3529226308308005,-0.35292263082136816,-0.35292263082136816,9.432343794912867e-12,9.432343794912867e-12
0.6237584396099025,M11_0,-0.3528896315434657,-0.35288963154621894,-0.35288963154621894,2.7532420787679257e-12,2.7532420787679257e-12
0.6237846961740435,M11_0,-0.35285659578609796,-0.3528565957837461,-0.3528565957837461,2.3518409442147004e-12,2.3518409442147004e-12
0.6238109527381845,M11_0,-0.35282352455158317,-0.3528235245586396,-0.3528235245586396,7.056411011063801e-12,7.056411011063801e-12
0.6238372093023256,M11_0,-0.35279041863777677,-0.3527904186477102,-0.3527904186477102,9.933442957077432e-12,9.933442957077432e-12
0.6238634658664666,M11_0,-0.35275727824298747,-0.35275727823031416,-0.35275727823031416,1.2673306848398624e-11,1.2673306848398624e-11
0.6238897224306076,M11_0,-0.3527241031830274,-0.352724103190102,-0.352724103190102,7.074618668667654e-12,7.074618668667654e-12
0.6239159789947487,M11_0,-0.3526908935012601,-0.3526908934843037,-0.3526908934843037,1.6956380743948785e-11,1.6956380743948785e-11
0.6239422355588897,M11_0,-0.35265764906924124,-0.3526576490594466,-0.3526576490594466,9.794665078999287e-12,9.794665078999287e-12
0.6239684921230307,M11_0,-0.35262436976343137,-0.35262436978462186,-0.35262436978462186,2.1190493804112975e-11,2.1190493804112975e-11
0.6239947486871718,M11_0,-0.3525910558321194,-0.35259105582741296,-0.35259105582741296,4.706457445990964e-12,4.706457445990964e-12
0.6240210052513128,M11_0,-0.35255770631179717,-0.3525577063103754,-0.3525577063103754,1.4217516053349755e-12,1.4217516053349755e-12
0.6240472618154539,M11_0,-0.35252432021048,-0.35252432021979263,-0.35252432021979263,9.312606241707044e-12,9.312606241707044e-12
0.6240735183795949,M11_0,-0.3524908986576761,-0.3524908986581126,-0.3524908986581126,4.3653969328261155e-13,4.3653969328261155e-13
0.6240997749437359,M11_0,-0.35245744425609526,-0.3524574442442564,-0.3524574442442564,1.1838863223090357e-11,1.1838863223090357e-11
0.6241260315078769,M11_0,-0.35242395936701626,-0.3524239593792723,-0.3524239593792723,1.225602952459326e-11,1.225602952459326e-11
0.624152288072018,M11_0,-0.3523904464999779,-0.3523904464971094,-0.3523904464971094,2.8685387398752482e-12,2.8685387398752482e-12
0.6241785446361591,M11_0,-0.3523569079309643,-0.35235690793146773,-0.35235690793146773,5.034306305162772e-13,5.034306305162772e-13
0.6242048012003001,M11_0,-0.35232334633042806,-0.35232334633040885,-0.35232334633040885,1.9206858326015208e-14,1.9206858326015208e-14
0.6242310577644411,M11_0,-0.3522897635591867,-0.35228976355874786,-0.35228976355874786,4.388156504830931e-13,4.388156504830931e-13
0.6242573143285821,M11_0,-0.3522561590735984,-0.35225615907594615,-0.35225615907594615,2.3477331190235873e-12,2.3477331190235873e-12
0.6242835708927231,M11_0,-0.35222253101043627,-0.3522225310009827,-0.3522225310009827,9.453549054683208e-12,9.453549054683208e-12
0.6243098274568643,M11_0,-0.3521888792250372,-0.3521888792251586,-0.3521888792251586,1.2140288774276087e-13,1.2140288774276087e-13
0.6243360840210053,M11_0,-0.3521552036790099,-0.3521552036871283,-0.3521552036871283,8.118450356420226e-12,8.118450356420226e-12
0.6243623405851463,M11_0,-0.3521215041893542,-0.35212150419412247,-0.35212150419412247,4.768296868462585e-12,4.768296868462585e-12
0.6243885971492873,M11_0,-0.35208778068222124,-0.35208778065375684,-0.35208778065375684,2.8464397505700845e-11,2.8464397505700845e-11
0.6244148537134283,M11_0,-0.3520540328587236,-0.3520540328616534,-0.3520540328616534,2.9297675396833256e-12,2.9297675396833256e-12
0.6244411102775693,M11_0,-0.3520202607265727,-0.352020260741791,-0.352020260741791,1.521827108774687e-11,1.521827108774687e-11
0.6244673668417104,M11_0,-0.3519864650903114,-0.35198646509976544,-0.35198646509976544,9.45404865504429e-12,9.45404865504429e-12
0.6244936234058515,M11_0,-0.3519526468804363,-0.351952646863251,-0.351952646863251,1.7185308731626492e-11,1.7185308731626492e-11
0.6245198799699925,M11_0,-0.3519188061663313,-0.35191880615204385,-0.35191880615204385,1.428746010390114e-11,1.428746010390114e-11
0.6245461365341335,M11_0,-0.35188494285023997,-0.351884942890568,-0.351884942890568,4.032801870224034e-11,4.032801870224034e-11
0.6245723930982745,M11_0,-0.35185105711939635,-0.35185105711417713,-0.35185105711417713,5.219213949914092e-12,5.219213949914092e-12
0.6245986496624156,M11_0,-0.35181714879397663,-0.3518171487758992,-0.3518171487758992,1.8077428443064036e-11,1.8077428443064036e-11
0.6246249062265566,M11_0,-0.3517832178934485,-0.3517832178985607,-0.3517832178985607,5.112188450340227e-12,5.112188450340227e-12
0.6246511627906977,M11_0,-0.35174926457121203,-0.3517492645679307,-0.3517492645679307,3.2813196604308814e-12,3.2813196604308814e-12
0.6246774193548387,M11_0,-0.35171528718724515,-0.35171528719683903,-0.35171528719683903,9.593881244995828e-12,9.593881244995828e-12
0.6247036759189797,M11_0,-0.3516812851921439,-0.35168128519213043,-0.35168128519213043,1.3489209749195652e-14,1.3489209749195652e-14
0.6247299324831208,M11_0,-0.3516472601022825,-0.35164726009277786,-0.35164726009277786,9.504619313815965e-12,9.504619313815965e-12
0.6247561890472618,M11_0,-0.3516132141717881,-0.35161321417416364,-0.35161321417416364,2.3755442057904474e-12,2.3755442057904474e-12
0.6247824456114028,M11_0,-0.351579149442043,-0.3515791494415904,-0.3515791494415904,4.5258241598844506e-13,4.5258241598844506e-13
0.6248087021755439,M11_0,-0.3515450679589886,-0.351545067959031,-0.351545067959031,4.241051954068098e-14,4.241051954068098e-14
0.6248349587396849,M11_0,-0.35151097175061613,-0.3515109717505735,-0.3515109717505735,4.263256414560601e-14,4.263256414560601e-14
0.624861215303826,M11_0,-0.35147686310387916,-0.3514768631043333,-0.3514768631043333,4.541367282229203e-13,4.541367282229203e-13
0.624887471867967,M11_0,-0.35144274254971936,-0.3514427425473352,-0.3514427425473352,2.3841484342312924e-12,2.3841484342312924e-12
0.624913728432108,M11_0,-0.35140860847879946,-0.3514086084883339,-0.3514086084883339,9.53442880202715e-12,9.53442880202715e-12
0.624939984996249,M11_0,-0.35137445978993154,-0.35137445978991805,-0.35137445978991805,1.3489209749195652e-14,1.3489209749195652e-14
0.62496624156039,M11_0,-0.35134029656116,-0.35134029655163074,-0.35134029655163074,9.529266264962644e-12,9.529266264962644e-12
0.6249924981245312,M11_0,-0.35130611851727667,-0.35130611851965854,-0.35130611851965854,2.381872477030811e-12,2.381872477030811e-12
