u,x,region,f,h,cT2,cS2,cV2,K11,R11,G11,K12,R12,G12,K13,R13,G13,K21,R21,G21,K22,R22,G22,K23,R23,G23,K31,R31,G31,K32,R32,G32,K33,R33,G33
0.0233293895807875,42.86438770877795,weak_exterior_H,0.9766695878463983,0.9766668918784578,1.0,1.0,1.0,1.0,0.0,0.9538808507541563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9538808507541563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9538808507541563
0.0234516170033658,42.640982916294384,weak_exterior_H,0.9765473390731864,0.9765445869886176,1.0,1.0,1.0,1.0,0.0,0.9536420179100582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9536420179100582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9536420179100582
0.0235738211489756,42.419936661115074,weak_exterior_H,0.9764251132511762,0.9764223041983578,1.0,1.0,1.0,1.0,0.0,0.9534032589578559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9534032589578559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9534032589578559
0.0236895720282739,42.21266634983879,weak_exterior_H,0.9763093415330136,0.9763064777174028,1.0,1.0,1.0,1.0,0.0,0.9531771343946933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9531771343946933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9531771343946933
0.0238117308525697,41.99610713691914,weak_exterior_H,0.9761871603889644,0.9761842379235268,1.0,1.0,1.0,1.0,0.0,0.9529385192350328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9529385192350328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9529385192350328
0.0239338664075941,41.781799186557876,weak_exterior_H,0.97606500217919,0.976062020188468,1.0,1.0,1.0,1.0,0.0,0.9526999778622817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9526999778622817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9526999778622817
0.0240559786959328,41.569707582467736,weak_exterior_H,0.9759428668979512,0.9759398244983448,1.0,1.0,1.0,1.0,0.0,0.952461510240798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.952461510240798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.952461510240798
0.0241716425619915,41.370792135261915,weak_exterior_H,0.975827180934354,0.9758240804828096,1.0,1.0,1.0,1.0,0.0,0.9522356615453983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9522356615453983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9522356615453983
0.0242937095488925,41.16291906707133,weak_exterior_H,0.9757050902869568,0.9757019276823652,1.0,1.0,1.0,1.0,0.0,0.9519973374424799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9519973374424799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9519973374424799
0.0244157532766534,40.957163543924345,weak_exterior_H,0.9755830225511882,0.9755797968857944,1.0,1.0,1.0,1.0,0.0,0.9517590869857177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9517590869857177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9517590869857177
0.0245377737478089,40.75349338035587,weak_exterior_H,0.9754609777213166,0.9754576880791166,1.0,1.0,1.0,1.0,0.0,0.9515209101394301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9515209101394301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9515209101394301
0.0246533506384202,40.56243772566894,weak_exterior_H,0.9753453774276122,0.97534202632335,1.0,1.0,1.0,1.0,0.0,0.9512953367853598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9512953367853598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9512953367853598
0.0247753258276226,40.36273859555366,weak_exterior_H,0.9752233771875164,0.9752199602988773,1.0,1.0,1.0,1.0,0.0,0.9510573031833467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9510573031833467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9510573031833467
0.024897277767616,40.16503367692288,weak_exterior_H,0.9751013998364324,0.975097916222944,1.0,1.0,1.0,1.0,0.0,0.9508193430865809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9508193430865809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9508193430865809
0.025019206460885,39.969293253301174,weak_exterior_H,0.9749794453686342,0.9749758940814716,1.0,1.0,1.0,1.0,0.0,0.9505814564593414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9505814564593414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9505814564593414
0.0251346964130941,39.785640676329905,weak_exterior_H,0.9748639306602545,0.9748603143783632,1.0,1.0,1.0,1.0,0.0,0.9503561579195825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9503561579195825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9503561579195825
0.0252565798435083,39.5936427733318,weak_exterior_H,0.9747420207382214,0.97473833491087,1.0,1.0,1.0,1.0,0.0,0.9501184142620306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9501184142620306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9501184142620306
0.0253784400344477,39.40352514349342,weak_exterior_H,0.97462013368261,0.9746163773361992,1.0,1.0,1.0,1.0,0.0,0.9498807439686676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9498807439686676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9498807439686676
0.025500276988347,39.21526030705374,weak_exterior_H,0.974498269487702,0.974494441640176,1.0,1.0,1.0,1.0,0.0,0.9496431470037359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9496431470037359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9496431470037359
0.0256156800384631,39.0385888057024,weak_exterior_H,0.9743828402801828,0.9743789437811856,1.0,1.0,1.0,1.0,0.0,0.9494181227507162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9494181227507162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9494181227507162
0.0257374717482258,38.85385517980936,weak_exterior_H,0.9742610205870832,0.9742570506501804,1.0,1.0,1.0,1.0,0.0,0.9491806684806063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9491806684806063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9491806684806063
0.0258592402280534,38.67089640611907,weak_exterior_H,0.9741392237378432,0.9741351793559052,1.0,1.0,1.0,1.0,0.0,0.9489432874334862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9489432874334862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9489432874334862
0.025980985480332,38.48968703504396,weak_exterior_H,0.974017449726752,0.974013329884092,1.0,1.0,1.0,1.0,0.0,0.9487059795735648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9487059795735648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9487059795735648
0.0260963016639394,38.319606083563485,weak_exterior_H,0.9739021059357336,0.9738979136592828,1.0,1.0,1.0,1.0,0.0,0.9484812290791927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9484812290791927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9484812290791927
