u,x,phi,A0prime,f3,f4,N4,f,h,X,phiprime,Fbg,f2,f2X,f2F,f2phi,f3X,f3phi,f4X,f4phi,f4Xphi,JA_bracket,Ephi_residual,scalar_coeff,E00_vec,E11_vec
0.5529484223392687,1.8084869394679943,0.5120317016520388,3.932273139993242e-28,0.3478827637358765,-0.6688865735657002,-0.0100819772059288,0.43739942361976863,0.4937291663914505,-0.050240144544220884,-0.4511241156466529,8.727059457394117e-56,8.727059449828675e-56,1.3466134618518136e-39,1.0,5.313078381038598e-40,3.132171800673443e+16,1.2358018652933966e+16,-0.0100819772059288,-31.39941127967803,-1.5533863291637606,-2.835288011098988e-09,1.0875634395273183e-47,4.106288260387731e-64,1.2660243510847626e-71,-1.6843089784884204e-56
0.5529890853639889,1.8083539557417831,0.5120917018514395,2.376715531039789e-27,0.3428491466598826,-0.6707080958099179,-0.0101736588774227,0.4373647120579098,0.49369735783813357,-0.05026382307521054,-0.4512449475744847,3.188170035862005e-54,3.1881700325460504e-54,6.269312309028736e-38,1.0,2.474694030593713e-38,3.990512937453321e+16,1.5751805076133748e+16,-0.0101736588774227,-29.297830827153497,-1.5030460225147682,-3.4012145695358487e-09,1.8177034091071836e-46,5.765998053305103e-63,-0.0,6.90839809583157e-55
0.5530320021185277,1.8082136226642391,0.5121550353952513,1.4287261060616354e-26,0.3378753896688574,-0.6724961450338953,-0.0102672465585107,0.4373280765604967,0.4936637668721965,-0.050288829143979724,-0.4513725377161703,1.1521044596785314e-52,1.1521044591858892e-52,-1.4376843996184716e-36,1.0,-5.677923406211477e-37,-2.531599859334718e+16,-9998181868213202.0,-0.0102672465585107,-27.264429495989578,-1.4529390847659103,-1.3981043872537263e-09,4.036721794122848e-45,-1.4867566503326583e-61,-0.0,3.5314500723717793e-54
0.5530749134003435,1.8080733292564828,0.5122183689390631,7.775963105183313e-26,0.3331825548419629,-0.6741728135567905,-0.0103577623874766,0.43729144566401973,0.49363015898501933,-0.05031384857148147,-0.45150017442854856,3.4127862698400076e-51,3.412786267766469e-51,-2.268446165542731e-34,1.0,-8.963716040797053e-35,-1.3480805005202942e+17,-5.326910988830285e+16,-0.0103577623874766,-25.777718088169117,-1.4058487258923453,-1.98625493938627e-09,4.886323517230697e-44,-3.807152931984934e-61,-4.15143165204755e-67,-1.0326411258030992e-51
0.5531178192077707,1.8079330755105625,0.512281702482875,3.862646808551159e-25,0.3287042123588423,-0.6757645083328331,-0.0104453621363457,0.4372548193687801,0.49359653453776114,-0.05033888108172052,-0.4516278577359487,8.421268210659597e-50,8.42126820128423e-50,8.385152013644071e-34,1.0,3.3150461189569568e-34,2.0188449926512396e+16,7981446545959069.0,-0.0104453621363457,-24.462776113905992,-1.3606957295387947,-3.6389449958092873e-09,3.944515503625224e-42,2.8950694659608203e-59,-0.0,7.099124991250805e-51
0.553158461763516,1.807800240119107,0.5123417026822756,1.6316104507798982e-24,0.3246648352911542,-0.6771918760373332,-0.0105257566253673,0.43722012501998664,0.49356466536927907,-0.05036260750064975,-0.45174886386300983,1.502612086145338e-48,1.5026120849922684e-48,2.090255162616788e-32,1.0,8.267626933629004e-33,2.819692477776872e+16,1.1152784545516712e+16,-0.0105257566253673,-23.127262875621245,-1.3193720709844257,-2.5078959601295553e-09,-3.0363094412155417e-41,2.063707441520701e-58,-0.0,-2.194319244077616e-52
0.5532013569055153,1.807660063586569,0.5124050362260874,6.920945575475783e-24,0.3206213057319172,-0.6786112235755793,-0.0106079789425205,0.43718350768745307,0.4935310099165273,-0.0503876645248146,-0.45187663794928196,2.703656714285499e-47,2.7036567136322476e-47,5.898242899546071e-31,1.0,2.3341958009738107e-31,4.420725440727768e+16,1.749476740233766e+16,-0.0106079789425205,-21.693356365365354,-1.2773902937037664,-7.895180722302525e-10,3.3554553729456297e-40,1.2106876223078851e-57,-0.0,-1.4104080112642425e-48
0.5532442465682231,1.807519926692424,0.5124683697698992,2.731302926847552e-23,0.3168098361239206,-0.679938543212695,-0.010687594418357,0.4371468949511249,0.49349733716970745,-0.050412735214874736,-0.4520044586804985,4.210824684972932e-46,4.210824680689267e-46,-3.626235794863544e-30,1.0,-1.435822616183286e-30,-1.7445541342897928e+16,-6907632109079707.0,-0.010687594418357,-20.231220230205967,-1.2370271342427361,-3.323645029551861e-09,-1.509923921851461e-39,-2.3490638070870238e-56,-5.446497325006539e-62,9.144688163725297e-47
0.5532871307499776,1.80737982942872,0.512531703313711,1.0081417445345204e-22,0.3132363743648989,-0.6811714452633831,-0.0107647078166999,0.4371102868157506,0.49346364859434444,-0.0504378184288722,-0.45213232606596726,5.736900781906646e-45,5.736900775454326e-45,8.548623336970603e-28,1.0,3.386478720331663e-28,3.0177798784590694e+17,1.195472877702934e+17,-0.0107647078166999,-18.685451967173346,-1.1984670995510192,-3.6739849320396173e-09,1.5903028366994998e-38,8.284077937888752e-57,-0.0,4.59579584625273e-45
0.5533277528121922,1.8072471422546108,0.5125917035131117,3.2802397059339703e-22,0.3100759215804453,-0.6822501994024046,-0.0108355494763564,0.43707560966910375,0.4934317187946391,-0.050461592799476894,-0.4522535066432504,6.073676523478406e-44,6.073676522259867e-44,1.0695600273992174e-27,1.0,4.239103865999188e-28,3.5653490544011584e+16,1.413093662157508e+16,-0.0108355494763564,-17.34282929108727,-1.1629385807759491,-6.552739880653219e-10,-7.071609876833176e-38,3.606760086803872e-55,-0.0,-1.4092789666923776e-44
0.5533706263157476,1.8071071221431445,0.5126550370569235,1.0771027708629428e-21,0.3069286067113061,-0.6833140377177014,-0.0109080304705237,0.437039010486162,0.4933979980382689,-0.050486701473164836,-0.4523814649442175,6.5487961107349906e-43,6.548796105341151e-43,-3.0657900661953373e-26,1.0,-1.2157557514064913e-26,-9.475511518453141e+16,-3.75756570976634e+16,-0.0109080304705237,-16.326071580482445,-1.1261531367003474,-2.689703513516703e-09,3.326585369260186e-37,-4.2567415865459125e-55,-0.0,-4.791973695651262e-43
0.553413494333459,1.8069671416386723,0.5127183706007353,3.3506929760013792e-21,0.3039257083411844,-0.6843206567191374,-0.0109782426569796,0.4370024159007788,0.4933642611414223,-0.05051182292422882,-0.4525094699467153,6.337575166988356e-42,6.337575159485397e-42,6.207713618038562e-26,1.0,2.4629201405730948e-26,1.9819991101410604e+16,7863612639570733.0,-0.0109782426569796,-15.449216356598688,-1.0915793680527357,-3.86553829548851e-09,-3.1453665854695233e-37,-8.462504231935586e-54,8.931953860462892e-58,7.135599068855621e-44
0.5534563568636692,1.8068272007332389,0.5127817041445472,9.910687438053276e-21,0.3010696867228746,-0.6852690604152267,-0.0110463587470768,0.4369658259136378,0.4933305084152039,-0.05053695691506835,-0.4526375216847274,5.544572470220897e-41,5.544572465513755e-41,-1.0776732776165998e-24,1.0,-4.277839493228781e-25,-3.931761379221206e+16,-1.5607183044551634e+16,-0.0110463587470768,-14.513155627360128,-1.0598784924431304,-2.771548879071037e-09,-2.244442357227141e-35,1.083200541687755e-52,-0.0,-3.608397524624241e-42
0.5534969584078573,1.806694661659056,0.5128417043439478,2.6507756386046198e-20,0.2985016939241178,-0.6861129462193738,-0.0111091126641516,0.4369311659541969,0.4932985170634748,-0.0505607800104115,-0.4527588769689249,3.9665481616121784e-40,3.9665481594564984e-40,-4.94839205999442e-24,1.0,-1.9652632148394354e-24,-2.5228960431088684e+16,-1.0019729092345682e+16,-0.0111091126641516,-13.620756592159667,-1.0323321199812405,-1.7739493743309381e-09,1.1937593069429521e-34,1.5243111237244553e-51,5.7191073320102995e-56,6.240678605432362e-41
